cod_ine,CCAA,27/02/2020,28/02/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020
01,Andalucía,1,6,12,13,13,12,21,54,71,90
02,Aragón,0,0,0,0,0,1,6,13,38,45
03,Asturias,0,0,1,1,2,5,5,7,22,32
04,Baleares,1,1,2,2,5,6,6,11,13,16
05,Canarias,6,6,7,7,7,8,11,22,25,37
06,Cantabria,0,0,10,10,10,10,10,12,12,12
07,Castilla-La Mancha,0,0,3,7,12,13,15,26,39,71
08,Castilla y León,0,2,3,8,11,11,14,23,56,71
09,Cataluña,2,3,15,15,15,24,24,75,124,156
18,Ceuta,0,0,0,0,0,0,0,0,0,0
10,C. Valenciana,2,8,15,15,19,19,30,37,50,65
11,Extremadura,0,0,6,6,6,6,6,7,8,9
12,Galicia,0,0,0,0,1,1,3,6,22,39
13,Madrid,4,5,29,49,70,90,137,469,782,1024
19,Melilla,0,0,0,0,0,0,0,0,0,0
14,Murcia,0,0,0,0,0,0,0,4,9,11
15,Navarra,0,0,1,1,3,3,3,3,12,46
16,País Vasco,0,0,9,13,17,17,45,149,195,225
17,La Rioja,0,0,1,3,7,11,29,81,144,179
00,Total,16,32,114,150,198,237,365,999,1622,2128
