CCAA,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020
Andalucía,0,0,0,0,0,0,0,0
Aragón,0,0,0,1,1,3,4,6
Asturias,0,0,0,0,0,0,0,1
Baleares,0,0,0,0,0,0,0,1
Canarias,0,0,0,0,0,0,0,0
Cantabria,0,0,0,0,0,0,0,0
Castilla-La Mancha,0,0,0,0,0,0,0,1
Castilla y León,0,0,0,0,0,0,0,0
Cataluña,0,0,0,0,1,3,3,4
Ceuta,0,0,0,0,0,0,0,0
C. Valenciana,0,1,1,1,1,1,1,1
Extremadura,0,0,0,0,0,0,0,1
Galicia,0,0,0,0,0,0,0,0
Madrid,0,0,1,2,8,21,31,56
Melilla,0,0,0,0,0,0,0,0
Murcia,0,0,0,0,0,0,0,0
Navarra,0,0,0,0,0,0,0,0
País Vasco,0,0,1,1,5,6,6,11
La Rioja,0,0,0,0,0,1,2,2
Total,0,1,3,5,16,35,47,84
