CCAA,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020
Andalucía,1,1,1,1,1,3,4
Aragón,0,1,1,1,3,3,3
Asturias,1,2,2,2,2,2,2
Baleares,0,0,0,0,1,1,2
Canarias,0,0,0,0,1,1,3
Cantabria,0,0,0,0,0,0,0
Castilla-La Mancha,1,1,1,2,2,5,9
Castilla y León,1,1,1,1,2,2,4
Cataluña,0,0,0,0,0,0,0
Ceuta,0,0,0,0,0,0,0
C. Valenciana,0,0,1,1,1,1,2
Extremadura,0,0,0,0,0,1,1
Galicia,0,0,0,0,2,2,2
Madrid,2,2,2,53,77,102,135
Melilla,0,0,0,0,0,0,0
Murcia,0,0,0,0,0,0,1
Navarra,1,1,1,1,2,3,3
País Vasco,0,0,1,5,5,15,18
La Rioja,0,0,0,1,1,1,1
Total,7,9,11,68,100,142,190
