Horario,Provincia,Municipio,"Código
Postal",Dirección,Longitud,Latitud,Margen,Rótulo
Horario Flexible,ÁLAVA,Alegría- Dulantzi,1240,"CALLE GASTEIZBIDEA, 59","-2,519194","42,842917",D,ES DULANTZI REPSOL
Horario Flexible,ÁLAVA,Arraia- Maeztu,1120,CARRETERA A-132 VITORIA-ESTELLA KM. 23,"-2,477917","42,753194",I,ES VIRGALA
Horario Flexible,ÁLAVA,Artziniega,1474,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)","-3,122528","43,123361",D,AVIA
Horario Flexible,ÁLAVA,Campezo/Ka npezu,1110,"CR A-132 VITORIA-ESTELLA, 38,1","-2,357278","42,670222",I,PETRONOR
Horario Flexible,ÁLAVA,Labastida,1212,CARRETERA N-124 KM. 35,"-2,849833","42,635194",I,REPSOL
Horario Flexible,ÁLAVA,Laguardia,1300,CARRETERA A-124 KM. 65,"-2,578806","42,547639",I,REPSOL
Horario Flexible,ÁLAVA,Ribera Alta,1420,"ACCESO A2622, 0","-2,901944","42,811250",N,E.S. TOCALU S.L.
Horario Flexible,ÁLAVA,Salvatierra/A gurain,1207,"CALLE EGUILEOR, 1",,,D,ORHELA
Horario Flexible,ALBACETE,Abengibre,2250,"AVENIDA CASTILLA LA MANCHA, 26","-1,539167","39,211417",D,ES 10935
Horario Flexible,ALBACETE,Alatoz,2152,"CR CM-332, 46,4",,,I,REPSOL
Horario Flexible,ALBACETE,Alcadozo,2124,"CM-3203 km 41,9","-1,978917","38,646833",I,CEPSA
Horario Flexible,ALBACETE,Alcalá del Júcar,2210,"CARRETERA CM-3201 47,1 KM. 47,1","-1,433222","39,203167",D,EL JUCAR
Horario Flexible,ALBACETE,Alcaraz,2300,"CR N-322 276,5","-2,492222","38,673111",D,CAMPSA
Horario Flexible,ALBACETE,Alpera,2690,"BONETE, S/Nº","-1,236552","38,958875",N,COOPERATIV A SANTA CRUZ DE ALPERA
Horario Flexible,ALBACETE,Balazote,2320,"N-322 km 326,2","-2,150639","38,878028",D,E.S. BALAZOTE S.L.
Horario Flexible,ALBACETE,Barrax,2639,"CALLE ALBACETE, 57","-2,195139","39,043139",I,E.S. BARRAX S.L.
Horario Flexible,ALBACETE,Casas de Juan Núñez,2151,"AVDA. ALBACETE, 33","-1,560857","39,100792",D,GASOLINERA S DEL REY
Horario Flexible,ALBACETE,Casas-Ibáñez,2200,CARRETERA ALBACETE KM. 94,"-1,477806","39,283944",I,CEPSA
Horario Flexible,ALBACETE,Cenizate,2247,"CALLE VIRGEN DE LAS NIEVES, 17",,,D,VIRGEN DE LAS NIEVES
Horario Flexible,ALBACETE,Elche de la Sierra,2430,"CL BOLEA, 36 (CM-412 km 235,65)","-2,044778","38,451306",D,CAMPSA
Horario Flexible,ALBACETE,Fuente- Álamo,2651,"AVDA. DOCTOR PEREZ GIL, 25","-1,433306","38,689833",N,No 7374
Horario Flexible,ALBACETE,Fuentealbilla,2260,N-322 (CORDOBA-VALENCIA) km 399,"-1,548639","39,269972",I,ES SAN ANTONIOAB AD. FUENTEALBIL LA
Horario Flexible,ALBACETE,Gineta (La),2110,"CR A-31, 235","-1,963944","39,086278",I,REPSOL
Horario Flexible,ALBACETE,Golosalvo,2253,CARRETERA NACIONAL 322 KM. 390,"-1,635111","39,238111",D,CEPSA
Horario Flexible,ALBACETE,Higueruela,2694,"BALTASAR GONZALEZ SAEZ, 34 -36",,,D,n.d
Horario Flexible,ALBACETE,Letur,2434,"CARRETERA A 45 KM. 39,8","-2,111056","38,356556",D,E.S. SIERRA DEL SEGURA
Horario Flexible,ALBACETE,Lezuza,2160,"PASEO LIBERTAD, 62",,,D,E.S. VIRGEN DE LA CRUZ
Horario Flexible,ALBACETE,Madrigueras,2230,"AVENIDA LEVANTE, 15","-1,799472","39,233056",I,REPSOL
Horario Flexible,ALBACETE,Mahora,2240,"CAMINO HORTIGOSA, S/N",,,N,SECADEMA
Horario Flexible,ALBACETE,Minaya,2620,"CARRERA N-301, 195,2","-2,330333","39,276056",D,REPSOL
Horario Flexible,ALBACETE,Montealegre del Castillo,2650,"CALLE CAPATAZ SANTIAGO, 91",,,D,BODEGAS SANTIAGO APOSTOL
Horario Flexible,ALBACETE,Motilleja,2200,MEDIO DÍA 28,,,N,SAT MOTILLEJA
Horario Flexible,ALBACETE,Munera,2612,"CALLE POZO (EL), 106","-2,485028","39,043806",D,INPEALSA
Horario Flexible,ALBACETE,Navas de Jorquera,2246,CTRA DE LEDAÑA S/N km S/N,,,N,COOP SAN GREGORIO
Horario Flexible,ALBACETE,Nerpio,2530,"CR AB-702, 45,6","-2,293444","38,151167",D,CAMPSA
Horario Flexible,ALBACETE,Ossa de Montiel,2611,CARRETERA N 430 KM. 429,"-2,751500","38,967167",I,REPSOL
Horario Flexible,ALBACETE,Pétrola,2692,CARRETERA FUENTEALAMO KM. 36,"-1,553694","38,828806",I,CEPSA
Horario Flexible,ALBACETE,Pozo Cañada,2099,"CALLE ANTONIO MACHADO, 2","-1,736389","38,805278",D,E.S. LEDAÑA
