CCAA,provincia,localidad,nombre,lat,long
Andalucía,Almería,Alhama de Almería,Balneario San Nicolás,36.960081,-2.572423
Andalucía,Almería,Almería,Avenida Hotel,36.8498616,-2.4468189
Andalucía,Almería,Almería,Hotel Catedral,36.8384083,-2.4668314
Andalucía,Almería,Laujar de Andarax,Hotel Almirez,36.991028,-2.908006
Andalucía,Cádiz,Algeciras,Hotel María Luisa,36.1481457,-5.452271
Andalucía,Cádiz,Algeciras,Hotel Mercure Algeciras,36.1429909,-5.448574499999999
Andalucía,Cádiz,Arcos de la frontera,La Fonda Califa,36.7512287,-5.8121427
Andalucía,Cádiz,Cádiz,Las Cortes de Cádiz,36.5214669,-6.2770863
Andalucía,Cádiz,Conil,Almadraba Conil,36.2748635,-6.088493799999999
Andalucía,Cádiz,El Puerto de Santamaría,Alhaja Playa,36.5879583,-6.24639
Andalucía,Cádiz,El Puerto de Santamaría,Hotel del Mar,36.5981061,-6.2411409
Andalucía,Cádiz,El Puerto de Santamaría,Las Dunas,36.5912249,-6.2375848
Andalucía,Cádiz,El Puerto de Santamaría,Los Cántaros,36.59936340000001,-6.224288899999999
Andalucía,Cádiz,Jerez de la Frontera,Hotel Chancillería,36.6869977,-6.141577499999999
Andalucía,Cádiz,Jerez de la Frontera,Life Apartments Guadalete,36.6885051,-6.138310199999999
Andalucía,Cádiz,Los Barrios,Hotel Montera Plaza,36.1779674,-5.4883743
Andalucía,Cádiz,Puerto Real,Hotel Ciudad del Sur,36.536645,-6.166303
Andalucía,Cádiz,Rota,Hostal Boutique La Española,36.6194198,-6.3598056
Andalucía,Cádiz,Rota,Life Apartments Costa Ballena,36.6916523,-6.4120548
Andalucía,Cádiz,Sanlúcar,Guadalquivir,36.7725774,-6.3529689
Andalucía,Cádiz,Sanlúcar,Palacio Arizón,36.776605,-6.358959
Andalucía,Córdoba,Almodóvar,Hostal San Luis,37.8218915,-5.0067936
Andalucía,Córdoba,Córdoba,Apartamentos Barroso,37.8821909,-4.7804399
Andalucía,Córdoba,Córdoba,Apartamentos Monteras Córdoba Centro,37.88492,-4.78367
Andalucía,Córdoba,Córdoba,La Llave de la Judería,37.8803737,-4.7823423
Andalucía,Córdoba,Montoro,Mirador de Montoro,38.018028,-4.3800272
Andalucía,Córdoba,Vva de Córdoba,Hotel Las Monteras,38.2077748,-5.1504327
Andalucía,Granada,Granada,Gran Hotel Luna de Granada,37.1765517,-3.6127781
Andalucía,Granada,Granada,Hotel Dauro,37.16952029999999,-3.597022299999999
Andalucía,Granada,Granada,Room Mate Leo,37.1741972,-3.6002806
Andalucía,Huelva,Huelva,Sercotel Familia Conde,37.2544444,-6.9452778
Andalucía,Huelva,Huelva,Hotel Marina,37.2604157,-6.930445499999999
Andalucía,Huelva,Punta Umbría,Apartamento LEO,37.189751,-6.983483
Andalucía,Jaén,Jaén,Hotel Condestable,37.7733009,-3.788650999999999
Andalucía,Jaén,Linares,Hotel Cervantes,38.09685,-3.632079999999999
Andalucía,Málaga,Antequera,Antequera Golf,37.02047659999999,-4.5740828
Andalucía,Málaga,Antequera,Los Dólmenes,37.0237538,-4.5463791
Andalucía,Málaga,Málaga,Ilunion Málaga,36.7105769,-4.4273599
Andalucía,Málaga,Málaga,Soho Málaga,36.7167335,-4.4222036
Andalucía,Málaga,Málaga,Angel Suites,36.7219189,-4.4211428
Andalucía,Málaga,Málaga,Atarazanas,36.7180877,-4.4240691
Andalucía,Málaga,Marbella,BuleBay Banus,36.48654800000001,-4.969552
Andalucía,Málaga,Mijas,La Cala Resort,36.5423711,-4.7202158
Andalucía,Málaga,Nerja,Marina Turquesa,36.7568058,-3.8684673
Andalucía,Málaga,Nerja,MB Boutique,36.744128,-3.88334
Andalucía,Sevilla,Sevilla,Hostal Avenida Andalucía,37.3868766,-5.952878
Andalucía,Sevilla,Sevilla,Apartur Aljarafe,37.3818827,-6.0672519
Andalucía,Sevilla,Sevilla,Hotel Bellavista Sevilla,37.318767,-5.968344
Andalucía,Sevilla,Sevilla,NH Viapol,37.3785186,-5.977938399999999
Andalucía,Sevilla,Sevilla,Hostal El Cruce,37.386052,-5.988121
Aragón,Huesca,Huesca,Aparthotel Huesca,42.13353,-0.409587
Aragón,Huesca,Huesca,Hostal Rugaca,42.1370274,-0.408124
Aragón,Huesca,Jaca,Hotel A Boira,42.574374,-0.546393
Aragón,Huesca,Tramacastilla de Tena,Hotel El Privilegio de Tena,42.713953,-0.316317
Aragón,Teruel,Alcañiz,Aparthotel Meseguer,41.04365869999999,-0.1297158
Aragón,Teruel,Alcañiz,Camping La Estanca,41.0671076,-0.1867532
Aragón,Teruel,Alcañiz,Hotel Guadalope,41.050771,-0.132052
Aragón,Teruel,Andorra,Hotel Santa Bárbara,40.9747015,-0.4525036000000001
Aragón,Teruel,Berge,Casa Rural Torre Piquer,40.8570576,-0.4287414
Aragón,Teruel,Rubielos de Mora,Hotel Montaña Rubielos,40.1909156,-0.6575354999999999
Aragón,Teruel,Teruel,Hotel Isabel de Segura,40.3338127,-1.1081433
Aragón,Teruel,Teruel,Hotel Mudayyan,40.3418115,-1.1080474
Aragón,Teruel,Teruel,Hotel Reina Cristina,40.341876,-1.1084886
Aragón,Zaragoza,Cariñena,Hotel del Vino,41.329337,-1.217835
Aragón,Zaragoza,Casetas,Hostal San Miguel,41.7185209,-1.0267624
Aragón,Zaragoza,Ejea de los Caballeros,Hotel Salvevir,42.1258806,-1.1434511
Aragón,Zaragoza,Épila,Hotel Carrasco,41.5985833,-1.2839895
Aragón,Zaragoza,Quinto de Ebro,Pensión Quinto,41.4251219,-0.4960129
Aragón,Zaragoza,Zaragoza,Albergue de Zaragoza,41.6576996,-0.8859363
Aragón,Zaragoza,Zaragoza,Apartamentos Augusta,41.6555851,-0.8839384
Aragón,Zaragoza,Zaragoza,Aparthotel Los Girasoles,41.653301,-0.8845993
Aragón,Zaragoza,Zaragoza,Hotel Gran Vía,41.6456301,-0.8903302
Aragón,Zaragoza,Zaragoza,Hotel NH Ciudad de Zaragoza,41.657677,-0.8820256999999999
Aragón,Zaragoza,Zaragoza,Hotel París Centro,41.6554722,-0.8848611
Aragón,Zaragoza,Zaragoza,Hotel Villa Gomá,41.633729,-0.9009244000000001
Asturias,Asturias,Avilés,Hotel Oca Villa de Avilés,43.5584706,-5.9294692
Asturias,Asturias,Cabañaquinta,Apartamentos Llana,43.1615294,-5.624351
Asturias,Asturias,Cangas de Narcea,Apartamentos Legazpi,43.1777093,-6.550264899999999
Asturias,Asturias,Cangas de Onís,Apartamentos La Candaliega,43.3423656,-5.0154144
Asturias,Asturias,Cangas del Narcea,Apartamentos Casa Baratura,43.177536,-6.5515379
Asturias,Asturias,El Pito,Apartamentos Cudillero,43.5461596,-6.1328055
Asturias,Asturias,Felechosa,Apart. Rural Felechosa,43.1046357,-5.5099027
Asturias,Asturias,Gijón,Hotel Los Campones,43.5308001,-5.6954975
Asturias,Asturias,Gijón,Apartamentos Capua,43.5410016,-5.658303999999999
Asturias,Asturias,Gijón,Apartamentos Espronceda,43.5409677,-5.660327500000001
