Provincia,Municipio,Nivel Funcional,Carretera,PKI,PKF,Sentido
A Coruña,Coirós,Autopista Libre \ Autovía,A-6,"563,63","563,71",Ascendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-53,"28,24","27,66",Descendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-53,"27,66","28,24",Ascendente
A Coruña,Curtis,Carretera Convencional,N-634,"671,86","672,08",Convencional
A Coruña,Coirós,Autopista Libre \ Autovía,A-6,"563,76","563,88",Descendente
A Coruña,Betanzos,Autopista Peaje,AP-9,"17,6","18,09",Ascendente
A Coruña,Betanzos,Autopista Peaje,AP-9,"18,72","18,26",Descendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-9,"60,47","60,94",Ascendente
A Coruña,Santiago de Compostela,Autopista Peaje,AP-9,"60,42","59,91",Descendente
A Coruña,Melide,Carretera Convencional,N-547,"43,27","43,42",Convencional
A Coruña,Melide,Carretera Convencional,N-547,"51,42","51,55",Descendente
A Coruña,O Pino,Carretera Convencional,N-547,"78,76","78,96",Descendente
A Coruña,O Pino,Carretera Convencional,N-547,"80,32","80,5",Ascendente
A Coruña,Ordes,Carretera Convencional,N-550,"26,02","26,08",Convencional
A Coruña,Ordes,Carretera Convencional,N-550,"22,47","22,63",Convencional
A Coruña,Ordes,Carretera Convencional,N-550,"23,44","23,66",Convencional
A Coruña,Aranga,Carretera Convencional,N-6,"560,02","560,06",Convencional
A Coruña,Aranga,Carretera Convencional,N-6,"560,19","560,23",Convencional
A Coruña,Curtis,Carretera Convencional,N-634,"668,21","668,31",Convencional
A Coruña,Betanzos,Carretera Convencional,N-651,"2,98","3,03",Convencional
Albacete,La Gineta,Autopista Libre \ Autovía,A-31,"58,2","58,7",Ascendente
Albacete,Albacete,Carretera Convencional,N-322,"373,07","373,34",Convencional
Alicante/Alacant,Elche/Elx,Autopista Libre \ Autovía,A-70,24,"23,39",Descendente
Alicante/Alacant,Pilar de la Horadada,Carretera Convencional,N-332,"43,69","43,89",Convencional
Alicante/Alacant,Elche/Elx,Carretera Convencional,N-340,"733,11","733,25",Convencional
Araba/Álava,Amurrio,Autopista Peaje,AP-68,"26,15","26,38",Ascendente
Araba/Álava,Amurrio,Autopista Peaje,AP-68,"24,55","24,3",Descendente
Araba/Álava,Kuartango,Autopista Peaje,AP-68,"47,16","47,62",Ascendente
Araba/Álava,Kuartango,Autopista Peaje,AP-68,"47,4","47,03",Descendente
Araba/Álava,Armiñón,Autopista Peaje,AP-68,"63,5",64,Ascendente
Araba/Álava,Armiñón,Autopista Peaje,AP-68,"64,07","63,59",Descendente
Asturias,Ribadesella,Carretera Convencional,N-634,"327,086","327,186",Convencional
Asturias,Cudillero,Autopista Libre \ Autovía,A-8,"445,14","445,54",Ascendente
Asturias,Castropol,Autopista Libre \ Autovía,A-8,"505,18","505,29",Ascendente
Asturias,Castropol,Autopista Libre \ Autovía,A-8,"505,02","505,11",Descendente
Asturias,Lena,Autopista Peaje,AP-66,"76,12","76,38",Ascendente
Asturias,Lena,Autopista Peaje,AP-66,"81,23","81,02",Descendente
Asturias,Cangas de Onís,Carretera Convencional,N-625,"161,97","162,07",Convencional
Asturias,Parres,Carretera Convencional,N-625,"157,785","157,85",Convencional
Asturias,Castropol,Carretera Convencional,N-640,"9,28","9,44",Convencional
Asturias,Llanes,Carretera Convencional,N-634,"286,13","286,18",Convencional
Badajoz,Nogales,Carretera Convencional,N-432,"33,67","33,94",Convencional
Badajoz,Zafra,Carretera Convencional,N-432,"66,97","67,37",Convencional
Badajoz,Azuaga,Carretera Convencional,N-432,"136,65","137,1",Convencional
Badajoz,Valle de Matamoros,Carretera Convencional,N-435,"64,08","64,25",Convencional
Badajoz,Monesterio,Carretera Convencional,N-630,"738,23","738,42",Convencional
Barcelona,Castellví de Rosanes,Autopista Peaje,AP-7N,"173,67","173,37",Descendente
Barcelona,Subirats,Autopista Peaje,AP-7N,"181,185","181,5",Ascendente
Barcelona,Subirats,Autopista Peaje,AP-7N,"181,475","181,125",Descendente
Barcelona,Castellví de Rosanes,Autopista Peaje,AP-7N,"173,84","174,195",Ascendente
Barcelona,Llinars del Vallès,Autopista Peaje,AP-7N,"122,22","121,825",Descendente
Barcelona,Vallgorguina,Autopista Peaje,AP-7N,"112,595","113,07",Ascendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"106,875","107,46",Ascendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"106,94","106,475",Descendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"100,535","100,115",Descendente
Barcelona,Sant Celoni,Autopista Peaje,AP-7N,"99,975","100,34",Ascendente
Barcelona,Llinars del Vallès,Autopista Peaje,AP-7N,"121,69","122,24",Ascendente
Bizkaia,Arakaldo,Autopista Peaje,AP-68,"11,62","12,03",Ascendente
Bizkaia,Arakaldo,Autopista Peaje,AP-68,"12,01","11,72",Descendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"51,14","51,19",Ascendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"55,82","55,82",Ascendente
Burgos,Valle de Sedano,Carretera Convencional,N-623,"57,84","57,93",Descendente
Burgos,Valle de Valdebezana,Carretera Convencional,N-623,"83,46","83,46",Descendente
Burgos,Merindad de Montija,Carretera Convencional,N-629,"44,9","45,28",Descendente
Burgos,Merindad de Montija,Carretera Convencional,N-629,"45,4","45,57",Ascendente
Burgos,Monasterio de Rodilla,Autopista Libre \ Autovía,AP-1,"23,5","23,73",Ascendente
Burgos,Santa Olalla de Bureba,Autopista Libre \ Autovía,AP-1,"24,13","23,9",Descendente
Burgos,Grisaleña,Autopista Libre \ Autovía,AP-1,"45,62","45,98",Ascendente
Burgos,Grisaleña,Autopista Libre \ Autovía,AP-1,"44,66","44,28",Descendente
Burgos,Pancorbo,Autopista Libre \ Autovía,AP-1,"55,18","55,44",Ascendente
Burgos,Santa María Rivarredonda,Autopista Libre \ Autovía,AP-1,"53,86","53,64",Descendente
Burgos,Miranda de Ebro,Autopista Libre \ Autovía,AP-1,"75,42","75,68",Ascendente
Burgos,Miranda de Ebro,Autopista Libre \ Autovía,AP-1,"76,58","76,33",Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"47,72","47,82",Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,47,"47,16",Ascendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"44,3","44,5",Ascendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"45,72","45,8",Ascendente
Burgos,Madrigal del Monte,Autopista Libre \ Autovía,A-1,"215,7","215,9",Ascendente
Burgos,Cogollos,Autopista Libre \ Autovía,A-1,"220,06","219,9",Descendente
Burgos,Villaldemiro,Autopista Libre \ Autovía,A-62,"26,88","27,633",Ascendente
Burgos,Villaldemiro,Autopista Libre \ Autovía,A-62,"27,57","26,867",Descendente
Burgos,Monasterio de Rodilla,Carretera Convencional,N-1,"258,68","259,8",Convencional
Burgos,Monasterio de Rodilla,Carretera Convencional,N-1,"263,21","263,36",Ascendente
Burgos,Pancorbo,Carretera Convencional,N-1,"306,71","307,06",Convencional
Burgos,Santa Olalla de Bureba,Carretera Convencional,N-1,"264,83","265,01",Ascendente
Burgos,Pancorbo,Carretera Convencional,N-1,"305,11","305,32",Descendente
Burgos,Valle de Valdebezana,Carretera Convencional,N-232,"566,33","567,08",Ascendente
Burgos,Salas de los Infantes,Carretera Convencional,N-234,439,439,Descendente
Burgos,Tubilla del Agua,Carretera Convencional,N-623,"43,05","43,3",Ascendente
Burgos,Villafranca Montes de Oca,Carretera Convencional,N-120,"83,75",84,Descendente
Cantabria,Ribamontán al Monte,Autopista Libre \ Autovía,A-8,"190,15","190,77",Ascendente
Cantabria,Ribamontán al Monte,Autopista Libre \ Autovía,A-8,190,"189,583",Descendente
Cantabria,Penagos,Autopista Libre \ Autovía,A-8,"208,832","209,145",Ascendente
Cantabria,Penagos,Autopista Libre \ Autovía,A-8,"208,3","207,85",Descendente
Cantabria,Cabezón de la Sal,Autopista Libre \ Autovía,A-8,"247,3","246,91",Descendente
Castellón/Castelló,Segorbe,Autopista Libre \ Autovía,A-23,"23,05","23,61",Ascendente
Castellón/Castelló,Segorbe,Autopista Libre \ Autovía,A-23,"25,07","25,36",Ascendente
Castellón/Castelló,Sant Jordi/San Jorge,Carretera Convencional,N-232,"13,41","13,92",Convencional
Castellón/Castelló,Jérica,Carretera Convencional,N-234,"40,92","41,23",Convencional
Castellón/Castelló,Viver,Carretera Convencional,N-234,"46,32","46,46",Convencional
Castellón/Castelló,Barracas,Carretera Convencional,N-234,"61,74","62,19",Convencional
Castellón/Castelló,La Llosa,Carretera Convencional,N-340,"947,32","947,39",Convencional
Ciudad Real,Villarta de San Juan,Autopista Libre \ Autovía,A4,"141,934","142,099",Ascendente
Ciudad Real,Villarta de San Juan,Autopista Libre \ Autovía,A4,"142,099","141,934",Descendente
Ciudad Real,Valdepeñas,Autopista Libre \ Autovía,A4,"211,41","211,58",Ascendente
Ciudad Real,Manzanares,Carretera Convencional,N-310,"60,9","60,725",Convencional
