cod_ine,CCAA,Públicos,Privados,Total
01,ANDALUCÍA,572,162,734
02,ARAGÓN,113,22,135
03,ASTURIAS,86,7,93
15,C. FORAL DE NAVARRA,46,19,65
05,CANARIAS,187,50,237
06,CANTABRIA,40,0,40
07,CASTILLA Y LEÓN,180,20,200
08,CASTILLA-LA MANCHA,155,13,168
09,CATALUÑA,511,141,652
10,COMUNIDAD VALENCIANA,450,101,551
11,EXTREMADURA,97,5,102
12,GALICIA,215,48,263
04,ILLES BALEARS,78,46,124
21,LA RIOJA-CEUTA-MELILLA,29,5,34
13,MADRID,479,225,704
16,PAÍS VASCO,158,21,179
14,REGIÓN DE MURCIA,112,11,123
