fecha,cod_ine,CCAA,no_fuerza_mayor,fuerza_mayor,media_mes_fuerza_mayor
2020-04-30,01,Andalucía,31268,446124,345939.45
2020-04-30,02,Aragón,10470,76516,53594.1
2020-04-30,03,Asturias,6086,53135,39426.95
2020-04-30,04,Islas Baleares,5729,135885,87588
2020-04-30,05,Canarias,10907,220630,167547.15
2020-04-30,06,Cantabria,3975,31572,23753.6
2020-04-30,08,Castilla-la Mancha,5771,93571,73362.2
2020-04-30,07,Castilla y León,13298,132207,98230.95
2020-04-30,09,Cataluña,74379,604305,462850.5
2020-04-30,10,Comunidad Valenciana,49901,299733,224021.35
2020-04-30,11,Extremadura,2744,37145,28302.25
2020-04-30,12,Galicia,14797,150241,116171.55
2020-04-30,13,Madrid,57259,509048,374653.4
2020-04-30,14,Murcia,5062,74624,55338.8
2020-04-30,15,Navarra,3860,45897,35175
2020-04-30,16,País Vasco,14877,137995,103275.65
2020-04-30,17,La Rioja,1402,20216,15186.25
2020-04-30,18,Ceuta,389,2398,1870.1
2020-04-30,19,Melilla,149,3220,2177.9
2020-04-30,00,Total,312323,3074462,2308465.15
