cod_ine,CCAA,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
01,Andalucía,0,0,38,33,72,72,38,50,66,71,77,92,139,148,155,160,182,228,258,463,665
02,Aragón,0,0,0,0,0,0,3,3,3,4,4,8,8,8,174,204,257,320,378,440,537
03,Asturias,3,3,4,4,12,16,20,21,30,35,40,52,65,76,78,90,109,135,154,190,216
04,Baleares,1,1,4,6,10,11,17,18,19,28,39,67,80,82,100,111,170,239,375,422,461
05,Canarias,7,8,8,9,6,7,7,7,8,15,18,20,25,30,32,57,77,94,102,123,137
06,Cantabria,10,10,10,10,10,11,11,11,12,12,14,19,21,25,24,35,43,60,74,99,113
08,Castilla-La Mancha,12,12,15,27,34,38,48,51,53,71,95,153,197,236,252,296,397,494,579,657,1149
07,Castilla y León,5,5,5,27,37,54,89,117,140,213,308,423,585,752,871,1028,1259,1498,1759,2021,2331
09,Cataluña,0,0,0,0,150,150,150,644,728,1274,1697,2348,3106,3455,4125,4966,5701,6917,7849,8635,9528
18,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
10,C. Valenciana,2,12,16,19,20,25,30,36,37,44,57,73,92,161,185,200,240,432,592,695,812
11,Extremadura,4,5,6,6,7,8,8,6,8,8,24,33,49,51,60,91,113,139,164,205,215
12,Galicia,4,7,7,4,5,6,16,19,19,25,47,67,95,153,168,187,259,333,435,531,587
13,Madrid,474,951,951,941,1186,1542,1899,2063,2291,3031,3882,5044,6326,7491,8301,9330,10827,12400,13850,15362,16543
19,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11
14,Murcia,1,1,1,1,1,1,1,1,1,4,9,12,12,16,17,20,43,45,90,113,130
15,Navarra,0,0,0,0,1,1,4,7,11,23,35,70,98,125,161,192,236,278,294,311,334
16,País Vasco,5,11,14,18,21,165,216,283,344,466,621,814,1023,1503,1646,1796,2165,2490,2809,3098,3405
17,La Rioja,2,2,2,2,13,18,18,18,24,43,48,62,364,397,431,496,569,641,745,843,904
00,Total,530,1028,1081,1107,1585,2125,2575,3355,3794,5367,7015,9357,12285,14709,16780,19259,22647,26743,30513,34219,38080
