"cod_ine","CCAA","date","total"
1,"Andalucía",27-02-20,1
1,"Andalucía",28-02-20,6
1,"Andalucía",29-02-20,8
1,"Andalucía",1-03-20,12
1,"Andalucía",2-03-20,12
1,"Andalucía",3-03-20,13
1,"Andalucía",4-03-20,13
1,"Andalucía",5-03-20,12
1,"Andalucía",6-03-20,21
1,"Andalucía",7-03-20,27
1,"Andalucía",8-03-20,35
1,"Andalucía",9-03-20,54
1,"Andalucía",10-03-20,71
1,"Andalucía",11-03-20,90
1,"Andalucía",12-03-20,115
1,"Andalucía",13-03-20,219
1,"Andalucía",14-03-20,269
1,"Andalucía",15-03-20,437
1,"Andalucía",16-03-20,554
1,"Andalucía",17-03-20,683
1,"Andalucía",18-03-20,859
1,"Andalucía",19-03-20,1008
1,"Andalucía",20-03-20,1287
1,"Andalucía",21-03-20,1515
1,"Andalucía",22-03-20,1725
2,"Aragón",27-02-20,0
2,"Aragón",28-02-20,1
2,"Aragón",29-02-20,1
2,"Aragón",1-03-20,0
2,"Aragón",2-03-20,0
2,"Aragón",3-03-20,0
2,"Aragón",4-03-20,0
2,"Aragón",5-03-20,1
2,"Aragón",6-03-20,6
2,"Aragón",7-03-20,11
2,"Aragón",8-03-20,13
2,"Aragón",9-03-20,13
2,"Aragón",10-03-20,38
2,"Aragón",11-03-20,45
2,"Aragón",12-03-20,64
2,"Aragón",13-03-20,80
2,"Aragón",14-03-20,80
2,"Aragón",15-03-20,147
2,"Aragón",16-03-20,174
2,"Aragón",17-03-20,207
2,"Aragón",18-03-20,226
2,"Aragón",19-03-20,281
2,"Aragón",20-03-20,360
2,"Aragón",21-03-20,424
2,"Aragón",22-03-20,532
3,"Asturias",27-02-20,0
3,"Asturias",28-02-20,0
3,"Asturias",29-02-20,0
3,"Asturias",1-03-20,1
3,"Asturias",2-03-20,1
3,"Asturias",3-03-20,1
3,"Asturias",4-03-20,2
3,"Asturias",5-03-20,5
3,"Asturias",6-03-20,5
3,"Asturias",7-03-20,5
3,"Asturias",8-03-20,7
3,"Asturias",9-03-20,7
3,"Asturias",10-03-20,22
3,"Asturias",11-03-20,32
3,"Asturias",12-03-20,47
3,"Asturias",13-03-20,67
3,"Asturias",14-03-20,92
3,"Asturias",15-03-20,137
3,"Asturias",16-03-20,177
3,"Asturias",17-03-20,193
3,"Asturias",18-03-20,242
3,"Asturias",19-03-20,292
3,"Asturias",20-03-20,344
3,"Asturias",21-03-20,486
3,"Asturias",22-03-20,545
4,"Baleares",27-02-20,1
4,"Baleares",28-02-20,1
4,"Baleares",29-02-20,2
4,"Baleares",1-03-20,2
4,"Baleares",2-03-20,2
4,"Baleares",3-03-20,2
4,"Baleares",4-03-20,5
4,"Baleares",5-03-20,6
4,"Baleares",6-03-20,6
4,"Baleares",7-03-20,6
4,"Baleares",8-03-20,8
4,"Baleares",9-03-20,11
4,"Baleares",10-03-20,13
4,"Baleares",11-03-20,16
4,"Baleares",12-03-20,22
4,"Baleares",13-03-20,30
4,"Baleares",14-03-20,28
4,"Baleares",15-03-20,28
4,"Baleares",16-03-20,73
4,"Baleares",17-03-20,92
4,"Baleares",18-03-20,112
4,"Baleares",19-03-20,169
4,"Baleares",20-03-20,203
4,"Baleares",21-03-20,246
4,"Baleares",22-03-20,331
5,"Canarias",27-02-20,6
5,"Canarias",28-02-20,6
5,"Canarias",29-02-20,6
5,"Canarias",1-03-20,7
5,"Canarias",2-03-20,7
5,"Canarias",3-03-20,7
5,"Canarias",4-03-20,7
5,"Canarias",5-03-20,8
5,"Canarias",6-03-20,11
5,"Canarias",7-03-20,18
5,"Canarias",8-03-20,17
5,"Canarias",9-03-20,22
5,"Canarias",10-03-20,25
5,"Canarias",11-03-20,37
5,"Canarias",12-03-20,51
5,"Canarias",13-03-20,70
5,"Canarias",14-03-20,90
5,"Canarias",15-03-20,109
5,"Canarias",16-03-20,119
5,"Canarias",17-03-20,148
5,"Canarias",18-03-20,181
5,"Canarias",19-03-20,220
5,"Canarias",20-03-20,287
5,"Canarias",21-03-20,348
5,"Canarias",22-03-20,414
6,"Cantabria",27-02-20,0
6,"Cantabria",28-02-20,0
6,"Cantabria",29-02-20,0
6,"Cantabria",1-03-20,1
6,"Cantabria",2-03-20,10
6,"Cantabria",3-03-20,10
6,"Cantabria",4-03-20,10
6,"Cantabria",5-03-20,10
