"cod_ine","CCAA","date","total"
"01","Andalucía",2020-02-27,"1"
"01","Andalucía",2020-02-28,"6"
"01","Andalucía",2020-02-29,"8"
"01","Andalucía",2020-03-01,"12"
"01","Andalucía",2020-03-02,"12"
"01","Andalucía",2020-03-03,"13"
"01","Andalucía",2020-03-04,"13"
"01","Andalucía",2020-03-05,"12"
"01","Andalucía",2020-03-06,"21"
"01","Andalucía",2020-03-07,"27"
"01","Andalucía",2020-03-08,"35"
"01","Andalucía",2020-03-09,"54"
"01","Andalucía",2020-03-10,"71"
"01","Andalucía",2020-03-11,"90"
"01","Andalucía",2020-03-12,"115"
"01","Andalucía",2020-03-13,"219"
"01","Andalucía",2020-03-14,"269"
"01","Andalucía",2020-03-15,"437"
"01","Andalucía",2020-03-16,"554"
"01","Andalucía",2020-03-17,"683"
"01","Andalucía",2020-03-18,"859"
"01","Andalucía",2020-03-19,"1008"
"01","Andalucía",2020-03-20,"1287"
"01","Andalucía",2020-03-21,"1515"
"01","Andalucía",2020-03-22,"1725"
"02","Aragón",2020-02-27,"0"
"02","Aragón",2020-02-28,"1"
"02","Aragón",2020-02-29,"1"
"02","Aragón",2020-03-01,"0"
"02","Aragón",2020-03-02,"0"
"02","Aragón",2020-03-03,"0"
"02","Aragón",2020-03-04,"0"
"02","Aragón",2020-03-05,"1"
"02","Aragón",2020-03-06,"6"
"02","Aragón",2020-03-07,"11"
"02","Aragón",2020-03-08,"13"
"02","Aragón",2020-03-09,"13"
"02","Aragón",2020-03-10,"38"
"02","Aragón",2020-03-11,"45"
"02","Aragón",2020-03-12,"64"
"02","Aragón",2020-03-13,"80"
"02","Aragón",2020-03-14,"80"
"02","Aragón",2020-03-15,"147"
"02","Aragón",2020-03-16,"174"
"02","Aragón",2020-03-17,"207"
"02","Aragón",2020-03-18,"226"
"02","Aragón",2020-03-19,"281"
"02","Aragón",2020-03-20,"360"
"02","Aragón",2020-03-21,"424"
"02","Aragón",2020-03-22,"532"
"03","Asturias",2020-02-27,"0"
"03","Asturias",2020-02-28,"0"
"03","Asturias",2020-02-29,"0"
"03","Asturias",2020-03-01,"1"
"03","Asturias",2020-03-02,"1"
"03","Asturias",2020-03-03,"1"
"03","Asturias",2020-03-04,"2"
"03","Asturias",2020-03-05,"5"
"03","Asturias",2020-03-06,"5"
"03","Asturias",2020-03-07,"5"
"03","Asturias",2020-03-08,"7"
"03","Asturias",2020-03-09,"7"
"03","Asturias",2020-03-10,"22"
"03","Asturias",2020-03-11,"32"
"03","Asturias",2020-03-12,"47"
"03","Asturias",2020-03-13,"67"
"03","Asturias",2020-03-14,"92"
"03","Asturias",2020-03-15,"137"
"03","Asturias",2020-03-16,"177"
"03","Asturias",2020-03-17,"193"
"03","Asturias",2020-03-18,"242"
"03","Asturias",2020-03-19,"292"
"03","Asturias",2020-03-20,"344"
"03","Asturias",2020-03-21,"486"
"03","Asturias",2020-03-22,"545"
"04","Baleares",2020-02-27,"1"
"04","Baleares",2020-02-28,"1"
"04","Baleares",2020-02-29,"2"
"04","Baleares",2020-03-01,"2"
"04","Baleares",2020-03-02,"2"
"04","Baleares",2020-03-03,"2"
"04","Baleares",2020-03-04,"5"
"04","Baleares",2020-03-05,"6"
"04","Baleares",2020-03-06,"6"
"04","Baleares",2020-03-07,"6"
"04","Baleares",2020-03-08,"8"
"04","Baleares",2020-03-09,"11"
"04","Baleares",2020-03-10,"13"
"04","Baleares",2020-03-11,"16"
"04","Baleares",2020-03-12,"22"
"04","Baleares",2020-03-13,"30"
"04","Baleares",2020-03-14,"28"
"04","Baleares",2020-03-15,"28"
"04","Baleares",2020-03-16,"73"
"04","Baleares",2020-03-17,"92"
"04","Baleares",2020-03-18,"112"
"04","Baleares",2020-03-19,"169"
"04","Baleares",2020-03-20,"203"
"04","Baleares",2020-03-21,"246"
"04","Baleares",2020-03-22,"331"
"05","Canarias",2020-02-27,"6"
"05","Canarias",2020-02-28,"6"
"05","Canarias",2020-02-29,"6"
"05","Canarias",2020-03-01,"7"
"05","Canarias",2020-03-02,"7"
"05","Canarias",2020-03-03,"7"
"05","Canarias",2020-03-04,"7"
"05","Canarias",2020-03-05,"8"
"05","Canarias",2020-03-06,"11"
"05","Canarias",2020-03-07,"18"
"05","Canarias",2020-03-08,"17"
"05","Canarias",2020-03-09,"22"
"05","Canarias",2020-03-10,"25"
"05","Canarias",2020-03-11,"37"
"05","Canarias",2020-03-12,"51"
"05","Canarias",2020-03-13,"70"
"05","Canarias",2020-03-14,"90"
"05","Canarias",2020-03-15,"109"
"05","Canarias",2020-03-16,"119"
"05","Canarias",2020-03-17,"148"
"05","Canarias",2020-03-18,"181"
"05","Canarias",2020-03-19,"220"
"05","Canarias",2020-03-20,"287"
"05","Canarias",2020-03-21,"348"
"05","Canarias",2020-03-22,"414"
"06","Cantabria",2020-02-27,"0"
"06","Cantabria",2020-02-28,"0"
"06","Cantabria",2020-02-29,"0"
"06","Cantabria",2020-03-01,"1"
"06","Cantabria",2020-03-02,"10"
"06","Cantabria",2020-03-03,"10"
"06","Cantabria",2020-03-04,"10"
"06","Cantabria",2020-03-05,"10"
"06","Cantabria",2020-03-06,"10"
"06","Cantabria",2020-03-07,"10"
"06","Cantabria",2020-03-08,"12"
"06","Cantabria",2020-03-09,"12"
