cod_ine,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07
01,,,,,,0,1,6,8,12,12,12,12,12,21,27,34,54,71,90,115,219,269,437,554,683,859,1008,1287,1515,1725,1961,2470,3008,3404,3790,4271,4676,5398,5809,6379,6957,7353,7847,8279,8559,8743,8973,9234,9482,9682,9976,10063,10171,10394,10559,10638,10738,10902,10996,11104,11235,11368,11500,11663,11731,11807,11859,11941,11981,12094,12140,12175,12194,12210,12236,12268
02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4411,4489,4551,4608,4654,4684,4761,4833,4867,4922,4955,4985,5004,5042,5091,5116,5136,5164,5188,5207,5231,5258
03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2081,2124,2153,2172,2181,2192,2218,2229,2234,2238,2249,2254,2255,2266,2283,2298,2303,2305,2306,2308,2310,2326
04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1724,1740,1749,1767,1788,1807,1821,1847,1854,1859,1870,1879,1883,1894,1902,1908,1908,1910,1921,1929
05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988,2009,2035,2047,2067,2085,2094,2113,2140,2155,2167,2178,2187,2202,2205,2206,2212,2221,2225,2231,2231,2235
06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,1973,1998,2012,2023,2055,2071,2083,2104,2115,2146,2173,2184,2201,2205,2206,2207,2213,2220
08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14588,14725,14936,15053,15128,15365,15509,15609,15664,15706,15785,15832,15910,15967,16017,16050,16080,16144,16184
07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14644,14781,14951,15141,15510,15692,15990,16222,16404,16589,16690,16885,16993,17165,17283,17334,17429,17520,17625
09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39943,40448,41676,43112,43802,44892,45544,46261,46811,47755,48158,48654,48916,49307,49850,50234,50366,50771,50924,51190
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,109,109
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9486,9584,9657,9708,9750,9825,9869,9939,10066,10160,10180,10204,10236,10331,10347,10411,10436,10436,10500,10537,10592
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581,2656,2663,2673,2692,2692,2692,2715,2718,2718,2736,2749,2751,2764,2785,2811,2824,2844,2849,2852,2865,2877
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8675,8697,8848,8902,8967,9011,9051,9097,9134
13,0,0,0,0,0,1,5,9,19,26,51,93,139,193,305,508,729,992,1495,2198,2921,3703,4643,5541,6353,7612,9558,11307,13351,15675,17345,18846,21508,24371,27307,30673,33027,34046,34916,37461,39258,41028,42836,44552,45434,45950,47493,48866,50268,51205,52051,52579,52915,53876,54942,55829,56660,57442,57926,58132,58734,59317,59988,60404,60912,61139,61267,61844,62304,62638,62896,63010,63121,63229,63509,63784,63870
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,104,104,104,105,105,106,107,108,110,110,114,114,114,115,115,117,119,119,119,119
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424,1423,1430,1438,1440,1445,1455,1460,1468,1468,1474,1474,1475,1480,1486,1488,1491,1492,1492,1496,1498,1501
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4349,4413,4449,4475,4531,4577,4581,4627,4712,4733,4759,4794,4815,4848,4888,4902,4918,4936,4966,4983
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11731,11789,11843,11974,12094,12204,12366,12455,12513,12564,12619,12701,12824,12887,12938,12952,12965,13008,13041
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539,3547,3583,3636,3664,3684,3704,3741,3790,3821,3861,3892,3897,3910,3918,3936,3947,3952,3961,3967,3980,3986
