fecha,cod_ine,CCAA,total
2020-04-16,01,Andalucía,10592
2020-04-17,01,Andalucía,10672
2020-04-18,01,Andalucía,10772
2020-04-16,02,Aragón,4411
2020-04-17,02,Aragón,4489
2020-04-18,02,Aragón,4551
2020-04-16,03,Asturias,2081
2020-04-17,03,Asturias,2124
2020-04-18,03,Asturias,2153
2020-04-16,04,Baleares,
2020-04-17,04,Baleares,
2020-04-18,04,Baleares,1724
2020-04-16,05,Canarias,1988
2020-04-17,05,Canarias,2009
2020-04-18,05,Canarias,2035
2020-04-16,06,Cantabria,
2020-04-17,06,Cantabria,
2020-04-18,06,Cantabria,
2020-04-16,08,Castilla-La Mancha,
2020-04-17,08,Castilla-La Mancha,
2020-04-18,08,Castilla-La Mancha,
2020-04-16,07,Castilla y León,
2020-04-17,07,Castilla y León,
2020-04-18,07,Castilla y León,
2020-04-16,09,Cataluña,
2020-04-17,09,Cataluña,
2020-04-18,09,Cataluña,
2020-04-16,18,Ceuta,98
2020-04-17,18,Ceuta,98
2020-04-18,18,Ceuta,101
2020-04-16,10,C. Valenciana,
2020-04-17,10,C. Valenciana,9486
2020-04-18,10,C. Valenciana,9584
2020-04-16,11,Extremadura,2581
2020-04-17,11,Extremadura,2656
2020-04-18,11,Extremadura,2663
2020-04-16,12,Galicia,
2020-04-17,12,Galicia,
2020-04-18,12,Galicia,8084
2020-04-16,13,Madrid,
2020-04-17,13,Madrid,
2020-04-18,13,Madrid,52946
2020-04-16,19,Melilla,103
2020-04-17,19,Melilla,
2020-04-18,19,Melilla,104
2020-04-16,14,Murcia,1424
2020-04-17,14,Murcia,1423
2020-04-18,14,Murcia,1430
2020-04-16,15,Navarra,
2020-04-17,15,Navarra,
2020-04-18,15,Navarra,4349
2020-04-16,16,País Vasco,
2020-04-17,16,País Vasco,
2020-04-18,16,País Vasco,
2020-04-16,17,La Rioja,3539
2020-04-17,17,La Rioja,3547
2020-04-18,17,La Rioja,3583
2020-04-16,00,Total,
2020-04-17,00,Total,
2020-04-18,00,Total,
