Fecha,cod_ine,CCAA,Casos,PCR+,TestAc+,Hospitalizados,UCI,Fallecidos
2020-02-20,01,Andalucía,0,0,,,,
2020-02-20,02,Aragón,,0,,,,
2020-02-20,03,Asturias,,0,,,,
2020-02-20,04,Baleares,,1,,,,
2020-02-20,05,Canarias,,1,,,,
2020-02-20,06,Cantabria,,0,,,,
2020-02-20,08,Castilla La Mancha,,0,,,,
2020-02-20,07,Castilla y León,,0,,,,
2020-02-20,09,Cataluña,,0,,,,
2020-02-20,18,Ceuta,,0,,,,
2020-02-20,10,C. Valenciana,,0,,26,0,
2020-02-20,11,Extremadura,,0,,,,
2020-02-20,12,Galicia,,0,,,,
2020-02-20,13,Madrid,,1,,,,
2020-02-20,19,Melilla,,0,,,,
2020-02-20,14,Murcia,,0,,,,
2020-02-20,15,Navarra,,0,,,,
2020-02-20,16,País Vasco,,0,,,,
2020-02-20,17,La Rioja,,0,,,,
2020-02-21,01,Andalucía,,0,,,,
2020-02-21,02,Aragón,,0,,,,
2020-02-21,03,Asturias,,0,,,,
2020-02-21,04,Baleares,,1,,,,
2020-02-21,05,Canarias,,1,,,,
2020-02-21,06,Cantabria,,0,,,,
2020-02-21,08,Castilla La Mancha,,0,,,,
2020-02-21,07,Castilla y León,,0,,,,
2020-02-21,09,Cataluña,,0,,,,
2020-02-21,18,Ceuta,,0,,,,
2020-02-21,10,C. Valenciana,,0,,30,1,
2020-02-21,11,Extremadura,,0,,,,
2020-02-21,12,Galicia,,0,,,,
2020-02-21,13,Madrid,,1,,,,
2020-02-21,19,Melilla,,0,,,,
2020-02-21,14,Murcia,,0,,,,
2020-02-21,15,Navarra,,0,,,,
2020-02-21,16,País Vasco,,0,,,,
2020-02-21,17,La Rioja,,0,,,,
2020-02-22,01,Andalucía,,0,,,,
2020-02-22,02,Aragón,,0,,,,
2020-02-22,03,Asturias,,0,,,,
2020-02-22,04,Baleares,,1,,,,
2020-02-22,05,Canarias,,1,,,,
2020-02-22,06,Cantabria,,0,,,,
2020-02-22,08,Castilla La Mancha,,0,,,,
