Fecha,cod_ine,CCAA,Casos_Diagnosticados,Fallecidos,Hospitalizados,UCI
2020-01-01,01,Andalucía,0,0,1,0
2020-01-04,01,Andalucía,0,0,1,0
2020-01-06,01,Andalucía,0,0,1,0
2020-01-07,01,Andalucía,0,0,1,0
2020-01-11,01,Andalucía,0,0,1,0
2020-01-12,01,Andalucía,0,0,1,0
2020-01-15,01,Andalucía,0,0,1,0
2020-01-21,01,Andalucía,0,0,3,0
2020-01-23,01,Andalucía,0,0,1,0
2020-01-27,01,Andalucía,0,0,1,0
2020-01-28,01,Andalucía,0,0,2,0
2020-01-30,01,Andalucía,0,0,1,0
2020-02-01,01,Andalucía,0,0,0,1
2020-02-02,01,Andalucía,0,0,1,0
2020-02-03,01,Andalucía,0,0,2,0
2020-02-04,01,Andalucía,0,0,2,0
2020-02-05,01,Andalucía,0,0,1,0
2020-02-06,01,Andalucía,0,0,0,1
2020-02-07,01,Andalucía,0,0,1,0
2020-02-10,01,Andalucía,0,0,1,0
2020-02-11,01,Andalucía,0,0,1,0
2020-02-12,01,Andalucía,0,0,1,0
2020-02-13,01,Andalucía,0,0,1,0
2020-02-14,01,Andalucía,0,0,4,0
2020-02-15,01,Andalucía,0,0,3,0
2020-02-18,01,Andalucía,0,0,2,0
2020-02-19,01,Andalucía,0,0,3,0
2020-02-20,01,Andalucía,0,0,1,1
2020-02-21,01,Andalucía,0,0,2,0
2020-02-22,01,Andalucía,0,0,1,0
2020-02-23,01,Andalucía,0,0,1,0
2020-02-24,01,Andalucía,0,0,1,0
2020-02-25,01,Andalucía,0,0,4,0
2020-02-26,01,Andalucía,1,0,3,0
2020-02-27,01,Andalucía,1,0,2,0
2020-02-28,01,Andalucía,6,0,2,0
2020-02-29,01,Andalucía,3,0,2,1
2020-03-01,01,Andalucía,0,0,4,2
2020-03-02,01,Andalucía,1,0,9,0
2020-03-03,01,Andalucía,1,0,13,3
2020-03-04,01,Andalucía,0,0,11,3
2020-03-05,01,Andalucía,5,0,10,0
2020-03-06,01,Andalucía,13,0,7,2
2020-03-07,01,Andalucía,5,0,14,1
2020-03-08,01,Andalucía,18,0,13,2
2020-03-09,01,Andalucía,19,0,14,0
2020-03-10,01,Andalucía,18,0,33,4
2020-03-11,01,Andalucía,46,0,34,6
2020-03-12,01,Andalucía,76,0,41,2
2020-03-13,01,Andalucía,157,2,56,8
2020-03-14,01,Andalucía,123,5,52,5
2020-03-15,01,Andalucía,167,4,64,6
2020-03-16,01,Andalucía,129,5,91,17
2020-03-17,01,Andalucía,252,8,103,16
2020-03-18,01,Andalucía,248,5,126,15
2020-03-19,01,Andalucía,339,15,171,21
2020-03-20,01,Andalucía,318,14,196,20
2020-03-21,01,Andalucía,381,18,232,29
2020-03-22,01,Andalucía,367,28,214,37
2020-03-23,01,Andalucía,555,29,366,29
2020-03-24,01,Andalucía,559,36,349,41
2020-03-25,01,Andalucía,645,31,347,38
2020-03-26,01,Andalucía,675,46,375,58
2020-03-27,01,Andalucía,643,48,359,38
2020-03-28,01,Andalucía,647,28,240,41
2020-03-29,01,Andalucía,405,40,193,30
2020-03-30,01,Andalucía,483,52,254,41
2020-03-31,01,Andalucía,514,47,216,23
2020-04-01,01,Andalucía,469,43,210,20
2020-04-02,01,Andalucía,466,54,203,25
2020-04-03,01,Andalucía,371,44,132,18
2020-04-04,01,Andalucía,374,51,84,9
2020-04-05,01,Andalucía,121,40,69,12
2020-04-06,01,Andalucía,216,42,116,9
2020-04-07,01,Andalucía,277,39,108,12
2020-04-08,01,Andalucía,290,54,100,13
2020-04-09,01,Andalucía,210,32,73,11
2020-04-10,01,Andalucía,209,46,75,4
2020-04-11,01,Andalucía,155,23,68,5
2020-04-12,01,Andalucía,108,33,39,9
2020-04-13,01,Andalucía,146,21,56,7
2020-04-14,01,Andalucía,150,34,59,2
2020-04-15,01,Andalucía,127,27,37,8
2020-04-16,01,Andalucía,121,25,47,4
2020-04-17,01,Andalucía,126,26,43,4
2020-04-18,01,Andalucía,71,19,40,1
2020-04-19,01,Andalucía,52,19,22,3
2020-04-20,01,Andalucía,72,28,34,4
2020-04-21,01,Andalucía,114,23,34,4
2020-04-22,01,Andalucía,68,15,17,3
2020-04-23,01,Andalucía,68,23,15,0
2020-04-24,01,Andalucía,73,11,28,2
2020-04-25,01,Andalucía,53,12,24,3
2020-04-26,01,Andalucía,15,13,15,0
2020-04-27,01,Andalucía,55,11,22,4
2020-04-28,01,Andalucía,38,10,19,5
2020-04-29,01,Andalucía,47,9,17,1
2020-04-30,01,Andalucía,61,6,12,1
2020-05-01,01,Andalucía,42,6,11,0
2020-05-02,01,Andalucía,29,7,13,1
2020-05-03,01,Andalucía,11,9,7,1
2020-05-04,01,Andalucía,22,13,12,1
2020-05-05,01,Andalucía,55,9,14,0
2020-05-06,01,Andalucía,28,5,8,3
2020-05-07,01,Andalucía,24,6,11,1
2020-05-08,01,Andalucía,28,2,10,2
2020-05-09,01,Andalucía,20,7,9,0
2020-05-10,01,Andalucía,19,4,4,3
2020-05-11,01,Andalucía,23,4,6,1
2020-05-12,01,Andalucía,21,3,6,0
2020-05-13,01,Andalucía,17,7,2,0
2020-05-14,01,Andalucía,18,8,2,1
2020-05-15,01,Andalucía,35,4,5,0
2020-05-16,01,Andalucía,8,3,2,1
2020-05-17,01,Andalucía,6,2,3,0
2020-05-18,01,Andalucía,16,5,6,1
2020-05-19,01,Andalucía,16,2,4,2
2020-05-20,01,Andalucía,29,0,8,1
2020-05-21,01,Andalucía,12,4,4,1
2020-05-22,01,Andalucía,13,4,4,0
2020-05-23,01,Andalucía,7,2,2,0
2020-05-24,01,Andalucía,3,4,2,0
2020-05-25,01,Andalucía,8,3,1,0
2020-05-26,01,Andalucía,8,2,0,0
2020-05-27,01,Andalucía,14,0,3,0
2020-05-28,01,Andalucía,12,2,2,0
2020-05-29,01,Andalucía,14,0,0,0
2020-05-30,01,Andalucía,14,2,3,0
2020-05-31,01,Andalucía,10,0,2,0
2020-06-01,01,Andalucía,19,0,4,0
2020-06-02,01,Andalucía,13,0,5,0
2020-06-03,01,Andalucía,18,1,3,1
2020-06-04,01,Andalucía,13,1,3,0
2020-06-05,01,Andalucía,15,0,3,1
2020-06-06,01,Andalucía,11,2,0,0
2020-06-07,01,Andalucía,4,0,0,0
2020-06-08,01,Andalucía,5,0,0,0
2020-06-09,01,Andalucía,8,0,1,0
2020-06-10,01,Andalucía,4,2,1,0
2020-06-11,01,Andalucía,7,0,0,0
2020-06-12,01,Andalucía,4,1,0,0
2020-06-13,01,Andalucía,5,0,1,0
2020-06-14,01,Andalucía,1,0,2,0
2020-06-15,01,Andalucía,2,1,1,0
2020-06-16,01,Andalucía,6,0,1,0
2020-06-17,01,Andalucía,7,2,0,0
2020-06-18,01,Andalucía,23,0,2,0
2020-06-19,01,Andalucía,8,1,2,0
2020-06-20,01,Andalucía,13,0,1,0
2020-06-21,01,Andalucía,2,1,2,0
2020-06-22,01,Andalucía,5,0,1,1
