"cod_ine","CCAA","date","total"
1,"Andalucía",3-03-20,0
1,"Andalucía",4-03-20,0
1,"Andalucía",5-03-20,0
1,"Andalucía",6-03-20,0
1,"Andalucía",7-03-20,0
1,"Andalucía",8-03-20,0
1,"Andalucía",9-03-20,0
1,"Andalucía",10-03-20,0
1,"Andalucía",11-03-20,0
1,"Andalucía",12-03-20,0
1,"Andalucía",13-03-20,0
1,"Andalucía",14-03-20,2
1,"Andalucía",15-03-20,6
1,"Andalucía",16-03-20,7
1,"Andalucía",17-03-20,11
1,"Andalucía",18-03-20,19
1,"Andalucía",19-03-20,23
1,"Andalucía",20-03-20,30
1,"Andalucía",21-03-20,40
1,"Andalucía",22-03-20,47
2,"Aragón",3-03-20,0
2,"Aragón",4-03-20,0
2,"Aragón",5-03-20,0
2,"Aragón",6-03-20,1
2,"Aragón",7-03-20,1
2,"Aragón",8-03-20,2
2,"Aragón",9-03-20,2
2,"Aragón",10-03-20,3
2,"Aragón",11-03-20,4
2,"Aragón",12-03-20,6
2,"Aragón",13-03-20,7
2,"Aragón",14-03-20,7
2,"Aragón",15-03-20,7
2,"Aragón",16-03-20,11
2,"Aragón",17-03-20,12
2,"Aragón",18-03-20,13
2,"Aragón",19-03-20,15
2,"Aragón",20-03-20,17
2,"Aragón",21-03-20,22
2,"Aragón",22-03-20,24
3,"Asturias",3-03-20,0
3,"Asturias",4-03-20,0
3,"Asturias",5-03-20,0
3,"Asturias",6-03-20,0
3,"Asturias",7-03-20,0
3,"Asturias",8-03-20,0
3,"Asturias",9-03-20,0
3,"Asturias",10-03-20,0
3,"Asturias",11-03-20,0
3,"Asturias",12-03-20,1
3,"Asturias",13-03-20,1
3,"Asturias",14-03-20,1
3,"Asturias",15-03-20,1
3,"Asturias",16-03-20,1
3,"Asturias",17-03-20,1
3,"Asturias",18-03-20,1
3,"Asturias",19-03-20,1
3,"Asturias",20-03-20,2
3,"Asturias",21-03-20,5
3,"Asturias",22-03-20,8
4,"Baleares",3-03-20,0
4,"Baleares",4-03-20,0
4,"Baleares",5-03-20,0
4,"Baleares",6-03-20,0
4,"Baleares",7-03-20,0
4,"Baleares",8-03-20,0
4,"Baleares",9-03-20,0
4,"Baleares",10-03-20,0
4,"Baleares",11-03-20,0
4,"Baleares",12-03-20,1
4,"Baleares",13-03-20,1
4,"Baleares",14-03-20,1
4,"Baleares",15-03-20,1
4,"Baleares",16-03-20,1
4,"Baleares",17-03-20,1
4,"Baleares",18-03-20,1
4,"Baleares",19-03-20,2
4,"Baleares",20-03-20,2
4,"Baleares",21-03-20,4
4,"Baleares",22-03-20,4
5,"Canarias",3-03-20,0
5,"Canarias",4-03-20,0
5,"Canarias",5-03-20,0
5,"Canarias",6-03-20,0
5,"Canarias",7-03-20,0
5,"Canarias",8-03-20,0
5,"Canarias",9-03-20,0
5,"Canarias",10-03-20,0
