cod_ine,CCAA,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18
01,Andalucía,0,,,0,,0,0,,,,0,0,,,0,,,,,,0,,0,,,,0,0,,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,5,8,5,15,14,18,28,29,36,31,46,48,28,40,52,47,43,54,44,51,40,42,39,54,32,46,23,33,21,34,27,25,26,19,19,28,23,15,23,11,12,13,11,10,9,6,6,7,9,13,9,5,6,2,7,4,4,3,7,8,4,3,2,5,2,0,4,4,2,4,3,2,0,2,0,2,0,0,0,1,1,0,2,0,0,0,2,0,1,0,0,1,0,2,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,2,1,2,0,0,1,1,1,0,4,2,3,2,2,1,1,2,5,6,1,5,3,4,5,6,7,5,11,5,9,11,10,5,7,16,11,14,11,14,17,15,11,10,9,9,12,13,17,13,9,16,9,21,23,16,14,24,22,13,14,9,11,15,13,18,19,18,20,14,20,15,18,23,21,23,21,27,33,27,24,35,33,32,34,34,32,36,41,36,45,47,39,50,30,36,42,39,44,44,34,44,34,30,33,7
02,Aragón,0,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,0,0,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,2,2,1,0,3,0,1,1,4,0,3,6,5,4,11,11,10,24,19,10,15,19,31,27,29,22,29,20,29,36,31,25,23,32,33,20,22,29,16,19,19,17,10,13,25,12,12,14,10,9,11,7,14,5,1,6,6,10,5,6,10,3,6,3,4,4,5,2,4,1,3,1,2,2,1,0,1,0,3,1,2,2,1,0,2,3,2,0,2,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,0,8,3,3,6,2,3,6,9,4,8,9,17,5,9,13,13,6,11,5,5,8,17,15,6,12,9,12,4,9,2,10,3,1,6,7,13,10,3,4,2,3,8,12,8,9,6,9,10,3,11,5,8,6,7,5,11,13,9,8,5,14,3,4,9,3,14,3,3,4,10,13,5,9,3,4,3,5,7,5,7,8,8,1,10,17,7,12,19,6,7,8,22,12,12,16,14,15,16,20,28,25,36,20,26,17,39,17,29,43,15,14,33,38,8
09,Cataluña,0,0,0,0,,0,0,0,0,0,,,,0,0,0,0,,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,6,12,13,7,19,23,41,55,72,82,98,136,132,179,170,200,185,193,215,199,203,186,182,171,149,173,164,178,174,161,146,137,133,145,134,120,138,116,111,92,104,89,80,81,80,78,67,77,69,65,55,54,64,52,52,38,47,34,22,28,35,23,18,20,21,12,15,9,15,18,13,18,16,9,14,10,9,8,9,7,8,5,6,8,7,3,4,3,7,1,2,2,1,5,5,7,1,2,0,3,2,1,0,1,1,2,1,0,1,1,2,1,1,1,2,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,2,1,1,2,3,5,6,0,0,2,2,2,1,0,0,3,4,0,0,3,3,2,0,3,3,5,2,5,3,3,8,3,1,4,7,2,2,4,5,3,3,3,6,3,3,1,4,2,2,5,11,8,4,2,3,11,4,5,5,6,6,3,9,4,5,7,4,2,8,7,8,9,7,4,7,7,7,10,8,8,6,4,7,7,3,3,13,9,7,8,11,4,7,16,9,5,13,15,15,13,7,19,14,18,15,20,23,29,14,10,12,7,10,20,14,6,1,9,3,3,0
18,Ceuta,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,,0,0,0,,0,0,0,,0,,,,,0,,,,,,,0,,,,,,,0,,,0,,,0,0,0,,,,0,0,0,0,0,,,,0,,0,0,,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,3,0,1,1,1,3,2,0,1,3,0,3,1,1,0,2,1,0,2,1,0,0,0,0,0
10,C. Valenciana,0,,,,,,,0,,,,,0,,,,,,0,,,,,,,,,,,,,,,0,,,,0,,,,0,,1,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,5,2,15,9,19,22,29,25,31,33,38,49,46,36,54,61,47,50,55,47,42,38,58,31,28,32,40,32,35,32,34,27,23,11,15,16,18,17,12,11,11,13,14,21,6,9,11,8,10,6,8,10,5,7,8,5,7,4,7,8,2,3,2,4,2,2,4,3,2,0,3,2,2,2,1,0,0,0,2,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,2,0,1,1,1,0,1,2,2,0,0,3,1,2,1,3,2,3,3,1,4,3,4,3,4,3,5,4,5,3,4,4,5,5,4,1,2,3,5,4,10,9,5,6,2,2,2,9,6,2,6,3,2,5,5,6,2,3,1,6,3,5,4,4,6,7,7,5,2,8,7,7,5,9,6,5,4,7,12,4,6,9,13,11,13,16,9,14,8,14,10,15,15,16,12,18,21,13,21,19,21,15,19,10,1
12,Galicia,0,,,,,,,0,,,0,,,,,,,0,0,,,,0,0,,0,0,,,,,,,,,0,0,0,,,,,,,0,,,0,,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,5,5,4,5,7,7,9,11,19,11,27,20,22,25,27,17,27,16,28,12,22,31,13,14,12,16,12,11,12,19,6,10,14,8,6,13,8,6,9,2,3,8,4,6,6,4,6,3,1,4,1,0,1,1,3,0,1,1,1,0,1,0,2,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,1,1,3,2,1,0,0,1,0,3,3,2,2,1,5,4,3,3,2,2,3,8,2,3,2,6,6,3,5,3,5,6,3,1,1,3,2,2,2,5,2,6,5,1,5,0,5,8,3,4,3,4,2,3,6,8,5,5,7,4,7,5,10,8,7,5,9,5,2,8,6,11,15,12,7,7,11,9,8,10,10,14,11,10,16,12,8,11,5,4,13,11
13,Madrid,0,0,0,,,,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,10,9,23,25,38,48,61,79,109,107,114,154,208,234,230,273,281,286,290,330,274,245,235,247,261,248,179,144,192,189,169,176,122,156,139,123,141,134,126,112,105,95,98,99,98,83,80,80,65,58,53,46,56,53,39,49,41,47,33,34,44,40,42,21,31,31,22,22,23,19,15,26,20,15,16,20,19,23,25,24,16,14,15,7,14,14,19,17,17,10,13,7,9,6,10,13,12,9,10,4,6,11,4,11,6,5,5,4,6,7,1,1,3,1,3,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,1,0,3,1,1,2,0,4,4,1,5,4,4,7,9,8,8,6,9,7,9,8,9,14,14,10,12,14,19,9,12,20,11,21,25,21,9,15,21,20,15,24,23,33,29,22,30,28,31,36,42,32,35,37,35,42,36,43,32,44,45,48,28,41,29,21,42,39,35,38,38,31,25,26,33,35,30,27,7,24,33,38,31,32,34,21,28,40,26,30,40,12,27,27,23,31,15,33,27,17,23,15,11,28,22,19,25,18,9,2,0
14,Murcia,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,,,,,0,,,0,0,0,0,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,3,1,1,2,5,4,2,3,1,7,0,2,0,3,0,3,3,2,3,2,2,2,1,4,3,0,3,1,2,1,1,5,5,2,4,6,3,3,2,2,5,2,5,6,3,4,4,4,6,10,7,9,7,8,8,9,13,12,6,11,12,10,13,12,12,4,12,11,7,7,3,7,8,2
05,Canarias,,,,,,,,,0,,,,,,0,,,,,0,0,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,3,0,4,4,5,6,9,10,5,5,4,7,7,7,5,3,2,3,0,4,2,0,2,0,3,2,6,3,3,1,1,1,3,4,3,4,0,1,1,1,1,2,2,1,1,0,1,4,0,1,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,1,2,1,1,1,0,0,2,3,1,1,4,2,2,3,3,3,4,0,2,6,2,1,2,2,4,1,2,2,0,6,5,1,2,0,0,0,2,1,0,0,2,1,2,0,2,2,2,0,2,0,1,6,1,0,2,4,1,3,0,2,0,2,3,0,1,0,3,2,2,2,0,1,2,3,2,2,2,2,1,1,1,3,1,2,1
08,Castilla La Mancha,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,8,11,13,20,23,24,40,47,49,85,83,104,111,95,104,67,89,90,90,77,75,94,67,71,61,88,64,54,56,43,54,66,59,45,50,42,44,43,34,30,26,31,28,26,24,23,28,18,12,16,16,15,21,16,10,18,14,15,12,12,11,8,7,6,4,4,10,4,11,10,6,3,6,1,2,3,2,5,3,2,3,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,2,1,2,2,2,0,1,1,2,1,2,2,1,3,3,1,5,3,1,3,9,8,8,4,11,8,4,6,5,6,6,4,4,9,4,6,8,21,6,6,7,12,7,3,9,7,16,5,7,5,8,6,12,8,9,4,5,9,5,4,11,12,6,12,11,7,17,14,8,4,8,7,5,16,16,13,14,11,10,14,5,19,13,16,10,4,15,6,2
