cod_ine,CCAA,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21
01,Andalucía,,,,,,,,,,,,,,,,,,,,32,50,92,92,92,197,229,319,384,501,605,724,865,1132,1433,1626,1843,2106,2294,2671,2867,3147,3444,3673,3896,4107,4227,4335,4463,4599,4715,4808,4950,4993,5054,5147,5226,5298,5341,5424,5473,5509,5565,5616,5675,5715,5747,5767,5792,5831,5873,5935,5961,5961,5973,5983,6012,6027,6038,6069,6080,6092,6101,6114,6128,6146,6161,6174,6178,6182,6196,6210
02,Aragón,,,,,,,,,,,,,,,,,,,,22,28,30,42,59,64,74,81,101,127,192,241,298,384,459,562,693,835,835,1094,1176,1234,1320,1431,1505,1588,1637,1663,1716,1765,1822,1860,1901,1938,1966,2006,2108,2151,2180,2216,2244,2271,2304,2340,2359,2372,2395,2403,2425,2454,2477,2494,2503,2519,2526,2539,2552,2564,2578,2583,2588,2595,2606,2614,2625,2637,2648,2655,2659,2667,2434,2442
03,Asturias,,,,,,,,,,0,0,1,1,1,4,4,4,7,11,13,15,18,24,28,39,57,78,105,129,155,180,210,251,281,322,370,427,452,491,529,554,602,634,657,674,695,727,747,775,797,831,863,884,902,914,927,966,980,988,993,999,1007,1009,1012,1020,1022,1028,1035,1041,1047,1048,1052,1055,1057,1061,1068,1072,1076,1077,1080,1080,1080,1080,1084,1087,1087,1087,1088,1088,1089,1089
04,Baleares,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,21,26,29,31,48,60,79,87,127,164,205,237,283,344,352,398,467,516,586,633,663,681,703,729,749,775,776,803,809,824,854,869,902,934,952,960,983,1001,1018,1036,1053,1057,1057,1069,1074,1077,1085,1089,1094,1097,1105,1117,1121,1121,1121,1121,1121,1122,1127,1127,1132,1132,1134,1134,1137,1142,1144
05,Canarias,,,,,,,,,,,,,,,,,,,,10,15,15,15,15,40,56,73,82,115,139,150,172,207,235,279,328,377,425,444,483,532,566,605,632,644,651,689,703,730,738,745,758,763,771,781,802,811,822,825,826,837,841,855,868,878,880,881,900,906,909,914,918,919,919,920,920,921,927,935,935,936,937,937,937,938,939,939,942,942,943,944
06,Cantabria,,,,,,,,,,,,,,,,,,,,0,3,3,3,3,18,18,25,40,61,92,116,157,200,241,300,355,406,449,481,522,543,567,592,619,639,658,677,700,720,747,773,805,827,853,873,890,903,911,924,934,948,956,965,978,982,991,995,1000,1006,1007,1009,1009,1010,1011,1015,1018,1020,1022,1023,1027,1027,1027,1029,1030,1031,1032,1033,1035,1035,1036,1036
08,Castilla La Mancha,,,,,,,,,,,,,,,,,,21,31,46,72,128,191,247,319,402,498,633,751,998,1126,1410,1751,1980,2266,2673,3106,3430,3698,4187,4590,4982,5306,5556,5774,5967,6203,6449,6622,6803,6907,7040,7782,7830,7896,7987,8018,8093,8137,8173,8199,8243,8304,8342,8385,8417,8444,8464,8523,8567,8618,8645,8676,8698,8725,8765,8796,8828,8867,8895,8918,8940,8963,8980,9001,9027,9054,9066,9082,9122,9138
07,Castilla y León,,,,,,,,,,,,,,,,,,,,24,25,25,25,45,95,95,281,362,476,629,798,977,1197,1457,1823,2214,2648,3160,3411,3629,3951,4207,4472,4685,4905,5041,5180,5322,5523,5674,5817,5957,6077,6175,6306,6449,6518,6831,6981,7080,7174,7264,7397,7506,7555,7653,7703,7777,7854,7957,8010,8054,8085,8123,8153,8246,8300,8357,8394,8468,8482,8493,8517,8560,8595,8649,8690,8717,8729,8734,8735
09,Cataluña,,,,,,,,,,,,,,,,,,16,31,50,74,137,200,287,375,525,679,825,994,1681,1917,2158,3209,4349,5371,6714,7954,8447,9126,9925,11446,12398,13101,14251,14798,15258,15643,16235,16970,17780,18194,18772,18963,19224,20264,20553,21242,22013,22235,22375,22796,23295,23647,24130,24420,25665,25799,26230,26546,26763,26932,27049,27257,27321,27745,28085,28248,28608,28687,28784,28820,29138,29267,29305,29339,29339,29400,29421,29459,29497,29497
18,Ceuta,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
