fecha,cod_ine,CCAA,total
2020-03-21,01,Andalucía,605
2020-03-22,01,Andalucía,724
2020-03-23,01,Andalucía,865
2020-03-24,01,Andalucía,1132
2020-03-25,01,Andalucía,1433
2020-03-21,02,Aragón,192
2020-03-22,02,Aragón,241
2020-03-23,02,Aragón,298
2020-03-24,02,Aragón,384
2020-03-25,02,Aragón,459
2020-03-21,03,Asturias,133
2020-03-22,03,Asturias,171
2020-03-23,03,Asturias,194
2020-03-24,03,Asturias,224
2020-03-25,03,Asturias,263
2020-03-21,04,Baleares,60
2020-03-22,04,Baleares,79
2020-03-23,04,Baleares,87
2020-03-24,04,Baleares,127
2020-03-25,04,Baleares,164
2020-03-21,05,Canarias,139
2020-03-22,05,Canarias,150
2020-03-23,05,Canarias,172
2020-03-24,05,Canarias,207
2020-03-25,05,Canarias,235
2020-03-21,06,Cantabria,92
2020-03-22,06,Cantabria,116
2020-03-23,06,Cantabria,157
2020-03-24,06,Cantabria,200
2020-03-25,06,Cantabria,241
2020-03-21,08,Castilla-La Mancha,635
2020-03-22,08,Castilla-La Mancha,838
2020-03-23,08,Castilla-La Mancha,1547
2020-03-24,08,Castilla-La Mancha,1826
2020-03-25,08,Castilla-La Mancha,2162
2020-03-21,07,Castilla y León,575
2020-03-22,07,Castilla y León,709
2020-03-23,07,Castilla y León,860
2020-03-24,07,Castilla y León,1057
2020-03-25,07,Castilla y León,1244
2020-03-21,09,Cataluña,1681
2020-03-22,09,Cataluña,1681
2020-03-23,09,Cataluña,1681
2020-03-24,09,Cataluña,3599
2020-03-25,09,Cataluña,5434
2020-03-21,18,Ceuta,0
2020-03-22,18,Ceuta,0
2020-03-23,18,Ceuta,0
2020-03-24,18,Ceuta,0
2020-03-25,18,Ceuta,2
2020-03-21,10,C. Valenciana,476
2020-03-22,10,C. Valenciana,590
2020-03-23,10,C. Valenciana,702
2020-03-24,10,C. Valenciana,917
2020-03-25,10,C. Valenciana,1071
2020-03-21,11,Extremadura,65
2020-03-22,11,Extremadura,87
2020-03-23,11,Extremadura,131
2020-03-24,11,Extremadura,161
2020-03-25,11,Extremadura,209
2020-03-21,12,Galicia,168
2020-03-22,12,Galicia,227
2020-03-23,12,Galicia,270
2020-03-24,12,Galicia,338
2020-03-25,12,Galicia,412
2020-03-21,13,Madrid,7388
2020-03-22,13,Madrid,8441
2020-03-23,13,Madrid,9561
2020-03-24,13,Madrid,10443
2020-03-25,13,Madrid,11153
2020-03-21,19,Melilla,8
2020-03-22,19,Melilla,12
2020-03-23,19,Melilla,12
2020-03-24,19,Melilla,12
2020-03-25,19,Melilla,14
2020-03-21,14,Murcia,61
2020-03-22,14,Murcia,78
2020-03-23,14,Murcia,80
2020-03-24,14,Murcia,99
2020-03-25,14,Murcia,127
2020-03-21,15,Navarra,222
2020-03-22,15,Navarra,288
2020-03-23,15,Navarra,339
2020-03-24,15,Navarra,405
2020-03-25,15,Navarra,506
2020-03-21,16,País Vasco,654
2020-03-22,16,País Vasco,988
2020-03-23,16,País Vasco,1252
2020-03-24,16,País Vasco,1425
2020-03-25,16,País Vasco,1577
2020-03-21,17,La Rioja,128
2020-03-22,17,La Rioja,134
2020-03-23,17,La Rioja,166
2020-03-24,17,La Rioja,206
2020-03-25,17,La Rioja,254
2020-03-21,00,Total,13282
2020-03-22,00,Total,15554
2020-03-23,00,Total,18374
2020-03-24,00,Total,22762
2020-03-25,00,Total,26960
