cod_ine,CCAA,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22
01,Andalucía,184,220,232,242,311
02,Aragón,,,,,
03,Asturias,,,,,
04,Baleares,,,,,
05,Canarias,,,,,
06,Cantabria,,,,,
08,Castilla-La Mancha,,,,,
07,Castilla y León,,,,,
09,Cataluña,,,,,
18,Ceuta,4,4,4,4,6
10,C. Valenciana,322,313,321,315,33
11,Extremadura,50,56,57,73,86
12,Galicia,,,,,
13,Madrid,,1261,,,
19,Melilla,,3,5,5,6
14,Murcia,9,9,13,15,22
15,Navarra,23,35,38,50,59
16,País Vasco,,,,,
17,La Rioja,602,625,637,720,794
00,Total,1194,2526,1307,1424,1317
