"cod_ine","CCAA","date","total"
1,"Andalucía",4-03-20,1
1,"Andalucía",5-03-20,1
1,"Andalucía",6-03-20,1
1,"Andalucía",9-03-20,1
1,"Andalucía",10-03-20,1
1,"Andalucía",11-03-20,3
1,"Andalucía",12-03-20,4
1,"Andalucía",13-03-20,8
1,"Andalucía",16-03-20,11
1,"Andalucía",17-03-20,13
1,"Andalucía",18-03-20,21
1,"Andalucía",19-03-20,25
1,"Andalucía",20-03-20,38
1,"Andalucía",21-03-20,53
1,"Andalucía",22-03-20,55
2,"Aragón",4-03-20,0
2,"Aragón",5-03-20,1
2,"Aragón",6-03-20,1
2,"Aragón",9-03-20,1
2,"Aragón",10-03-20,3
2,"Aragón",11-03-20,3
2,"Aragón",12-03-20,3
2,"Aragón",13-03-20,3
2,"Aragón",16-03-20,7
2,"Aragón",17-03-20,9
2,"Aragón",18-03-20,9
2,"Aragón",19-03-20,14
2,"Aragón",20-03-20,28
2,"Aragón",21-03-20,33
2,"Aragón",22-03-20,45
3,"Asturias",4-03-20,1
3,"Asturias",5-03-20,2
3,"Asturias",6-03-20,2
3,"Asturias",9-03-20,2
3,"Asturias",10-03-20,2
3,"Asturias",11-03-20,2
3,"Asturias",12-03-20,2
3,"Asturias",13-03-20,2
3,"Asturias",16-03-20,3
3,"Asturias",17-03-20,5
3,"Asturias",18-03-20,5
3,"Asturias",19-03-20,6
3,"Asturias",20-03-20,7
3,"Asturias",21-03-20,12
3,"Asturias",22-03-20,15
4,"Baleares",4-03-20,0
4,"Baleares",5-03-20,0
4,"Baleares",6-03-20,0
4,"Baleares",9-03-20,0
4,"Baleares",10-03-20,1
4,"Baleares",11-03-20,1
4,"Baleares",12-03-20,2
4,"Baleares",13-03-20,2
4,"Baleares",16-03-20,4
4,"Baleares",17-03-20,4
4,"Baleares",18-03-20,4
4,"Baleares",19-03-20,7
4,"Baleares",20-03-20,10
4,"Baleares",21-03-20,14
4,"Baleares",22-03-20,14
5,"Canarias",4-03-20,0
5,"Canarias",5-03-20,0
5,"Canarias",6-03-20,0
5,"Canarias",9-03-20,0
5,"Canarias",10-03-20,1
5,"Canarias",11-03-20,1
5,"Canarias",12-03-20,3
5,"Canarias",13-03-20,2
5,"Canarias",16-03-20,9
5,"Canarias",17-03-20,13
5,"Canarias",18-03-20,17
5,"Canarias",19-03-20,23
5,"Canarias",20-03-20,25
5,"Canarias",21-03-20,29
5,"Canarias",22-03-20,32
6,"Cantabria",4-03-20,0
6,"Cantabria",5-03-20,0
6,"Cantabria",6-03-20,0
6,"Cantabria",9-03-20,0
6,"Cantabria",10-03-20,0
6,"Cantabria",11-03-20,0
6,"Cantabria",12-03-20,0
6,"Cantabria",13-03-20,0
6,"Cantabria",16-03-20,2
6,"Cantabria",17-03-20,2
6,"Cantabria",18-03-20,3
6,"Cantabria",19-03-20,4
6,"Cantabria",20-03-20,7
6,"Cantabria",21-03-20,9
6,"Cantabria",22-03-20,9
8,"Castilla-La Mancha",4-03-20,1
8,"Castilla-La Mancha",5-03-20,1
8,"Castilla-La Mancha",6-03-20,1
8,"Castilla-La Mancha",9-03-20,2
8,"Castilla-La Mancha",10-03-20,2
8,"Castilla-La Mancha",11-03-20,5
8,"Castilla-La Mancha",12-03-20,9
8,"Castilla-La Mancha",13-03-20,10
8,"Castilla-La Mancha",16-03-20,23
8,"Castilla-La Mancha",17-03-20,23
8,"Castilla-La Mancha",18-03-20,29
8,"Castilla-La Mancha",19-03-20,37
8,"Castilla-La Mancha",20-03-20,53
8,"Castilla-La Mancha",21-03-20,65
8,"Castilla-La Mancha",22-03-20,76
7,"Castilla y León",4-03-20,1
7,"Castilla y León",5-03-20,1
7,"Castilla y León",6-03-20,1
7,"Castilla y León",9-03-20,1
7,"Castilla y León",10-03-20,2
7,"Castilla y León",11-03-20,2
7,"Castilla y León",12-03-20,4
7,"Castilla y León",13-03-20,8
7,"Castilla y León",16-03-20,24
7,"Castilla y León",17-03-20,24
7,"Castilla y León",18-03-20,43
7,"Castilla y León",19-03-20,54
7,"Castilla y León",20-03-20,69
7,"Castilla y León",21-03-20,85
7,"Castilla y León",22-03-20,106
9,"Cataluña",4-03-20,0
9,"Cataluña",5-03-20,0
9,"Cataluña",6-03-20,0
9,"Cataluña",9-03-20,0
9,"Cataluña",10-03-20,0
9,"Cataluña",11-03-20,0
9,"Cataluña",12-03-20,0
9,"Cataluña",13-03-20,25
9,"Cataluña",16-03-20,33
9,"Cataluña",17-03-20,33
9,"Cataluña",18-03-20,33
9,"Cataluña",19-03-20,33
9,"Cataluña",20-03-20,33
9,"Cataluña",21-03-20,298
9,"Cataluña",22-03-20,298
18,"Ceuta",4-03-20,0
18,"Ceuta",5-03-20,0
