Fecha,cod_ine,CCAA,Total Pacientes COVID ingresados,% Camas Ocupadas COVID,Total pacientes COVID en UCI,% Camas Ocupadas UCI COVID,Ingresos COVID últimas 24 h,Altas COVID últimas 24 h
2020-08-19,01,Andalucía,322,"2,20",40,,88,40
2020-08-19,02,Aragón,512,"13,40",60,,57,46
2020-08-19,03,Asturias,20,"0,70",3,,6,2
2020-08-19,04,Baleares,159,"5,30",24,,32,13
2020-08-19,05,Canarias,103,"2,20",13,,17,2
2020-08-19,06,Cantabria,31,"2,00",4,,6,0
2020-08-19,08,Castilla La Mancha,122,"2,70",11,,20,9
2020-08-19,07,Castilla y León,197,"3,90",11,,35,16
2020-08-19,09,Cataluña,978,"4,30",136,,107,113
2020-08-19,18,Ceuta,0,"0,00",0,,0,0
2020-08-19,10,C. Valenciana,347,"3,20",35,,65,29
2020-08-19,11,Extremadura,42,"1,60",6,,9,3
2020-08-19,12,Galicia,86,"1,10",7,,16,5
2020-08-19,13,Madrid,1245,"9,50",126,,226,133
2020-08-19,19,Melilla,6,"3,40",0,,0,0
2020-08-19,14,Murcia,68,"3,20",11,,8,3
2020-08-19,15,Navarra,52,"3,50",6,,5,8
2020-08-19,16,País Vasco,333,"8,30",27,,57,46
2020-08-19,17,La Rioja,13,"1,70",2,,4,0
2020-08-19,00,España,4636,"4,30",522,,758,468
2020-08-20,01,Andalucía,315,"2,10",37,,63,71
2020-08-20,02,Aragón,540,"13,60",60,,70,54
2020-08-20,03,Asturias,21,"0,70",3,,8,1
2020-08-20,04,Baleares,165,"5,60",25,,30,21
2020-08-20,05,Canarias,96,"2,00",13,,15,6
2020-08-20,06,Cantabria,35,"2,20",4,,7,2
2020-08-20,08,Castilla La Mancha,130,"2,90",10,,23,15
2020-08-20,07,Castilla y León,210,"4,00",17,,41,25
2020-08-20,09,Cataluña,911,"4,20",121,,85,168
2020-08-20,18,Ceuta,0,0,0,,0,0
2020-08-20,10,C. Valenciana,339,"3,00",37,,63,45
2020-08-20,11,Extremadura,37,"1,20",7,,6,1
2020-08-20,12,Galicia,87,"1,10",7,,23,15
2020-08-20,13,Madrid,1297,"9,80",137,,217,152
2020-08-20,19,Melilla,7,"4,00",0,,1,0
2020-08-20,14,Murcia,109,"3,60",22,,27,12
2020-08-20,15,Navarra,56,"3,20",8,,14,9
2020-08-20,16,País Vasco,330,"9,10",30,,67,61
2020-08-20,17,La Rioja,18,"2,30",3,,5,0
