Fecha publicación,cod_ine,CCAA,Dosis entregadas Pfizer,Dosis entregadas Moderna,Dosis entregadas AstraZeneca,Dosis entregadas Janssen,Dosis entregadas totales,Dosis administradas,Porcentaje de dosis administradas por 100 habitantes,Porcentaje sobre entregadas,Personas con al menos una dosis,Personas con pauta completa,Porcentaje con pauta completa,Fecha de la última vacuna registrada
2021-01-04,01,Andalucía,140.295,,,,,25.809,"0,30","18,4",,,"0,00",03/01/2021
2021-01-04,02,Aragón,23.715,,,,,2.004,"0,15","8,5",,,"0,00",02/01/2021
2021-01-04,03,Asturias,23.720,,,,,9.380,"0,92","39,5",,,"0,00",03/01/2021
2021-01-04,04,Baleares,8.940,,,,,153,"0,01","1,7",,,"0,00",28/12/2020
2021-01-04,05,Canarias,20.835,,,,,4.846,"0,22","23,25",,,"0,00",03/01/2021
2021-01-04,06,Cantabria,11.850,,,,,304,"0,05","2,6",,,"0,00",30/12/2020
2021-01-04,07,Castilla y Leon,51.390,,,,,10.928,"0,46","21,26",,,"0,00",03/01/2021
2021-01-04,08,Castilla La Mancha,35.550,,,,,1.983,"0,10","5,6",,,"0,00",03/01/2021
2021-01-04,09,Cataluña,120.545,,,,,8.150,"0,11","6,8",,,"0,00",03/01/2021
2021-01-04,10,C. Valenciana,61.225,,,,,3.252,"0,06","5,3",,,"0,00",03/01/2021
2021-01-04,11,Extremadura,21.725,,,,,686,"0,06","3,2",,,"0,00",03/01/2021
2021-01-04,12,Galicia,37.555,,,,,9.124,"0,34","24,3",,,"0,00",02/01/2021
2021-01-04,17,La Rioja,5.915,,,,,324,"0,10","5,5",,,"0,00",31/12/2020
2021-01-04,13,Madrid,89.040,,,,,2.883,"0,04","3,2",,,"0,00",03/01/2021
2021-01-04,14,Murcia,25.685,,,,,442,"0,03","1,7",,,"0,00",04/01/2021
2021-01-04,15,Navarra,6.975,,,,,1.583,"0,24","22,7",,,"0,00",04/01/2021
2021-01-04,16,País Vasco,31.605,,,,,396,"0,02","1,3",,,"0,00",02/01/2021
2021-01-04,18,Ceuta,1.005,,,,,380,"0,45","37,8",,,"0,00",31/12/2020
2021-01-04,19,Melilla,1.005,,,,,207,"0,25","20,6",,,"0,00",30/12/2020
2021-01-04,00,España,718.575,,,,,82.834,"0,17","11,5",,,"0,00",
2021-01-05,01,Andalucía,140.295,,,,,40.263,"0,47","28,7",,,"0,00",04/01/2021
2021-01-05,02,Aragón,23.715,,,,,2.985,"0,22","12,6",,,"0,00",04/01/2021
2021-01-05,03,Asturias,23.720,,,,,12.929,"1,27","54,5",,,"0,00",05/01/2021
2021-01-05,04,Baleares,12.840,,,,,2.656,"0,22","20,7",,,"0,00",04/01/2021
2021-01-05,05,Canarias,27.660,,,,,5.857,"0,26","21,2",,,"0,00",04/01/2021
2021-01-05,06,Cantabria,11.850,,,,,601,"0,10","5,1",,,"0,00",05/01/2021
2021-01-05,07,Castilla y Leon,51.390,,,,,16.430,"0,69",32,,,"0,00",04/01/2021
2021-01-05,08,Castilla La Mancha,35.550,,,,,4.092,"0,20","11,5",,,"0,00",04/01/2021
2021-01-05,09,Cataluña,120.545,,,,,11.191,"0,15","9,3",,,"0,00",04/01/2021
2021-01-05,10,C. Valenciana,61.225,,,,,8.586,"0,17",14,,,"0,00",05/01/2021
2021-01-05,11,Extremadura,21.725,,,,,1.806,"0,17","8,3",,,"0,00",04/01/2021
2021-01-05,12,Galicia,37.555,,,,,12.012,"0,45",32,,,"0,00",04/01/2021
2021-01-05,17,La Rioja,5.915,,,,,585,"0,19","9,9",,,"0,00",04/01/2021
2021-01-05,13,Madrid,98.790,,,,,5.335,"0,08","5,4",,,"0,00",04/01/2021
2021-01-05,14,Murcia,25.685,,,,,4.949,"0,33","19,3",,,"0,00",05/01/2021
2021-01-05,15,Navarra,11.850,,,,,2.651,"0,40","22,4",,,"0,00",05/01/2021
2021-01-05,16,País Vasco,31.605,,,,,5.553,"0,25","17,6",,,"0,00",04/01/2021
2021-01-05,18,Ceuta,1.005,,,,,517,"0,62","51,4",,,"0,00",04/01/2021
2021-01-05,19,Melilla,1.005,,,,,341,"0,40","33,9",,,"0,00",04/01/2021
2021-01-05,00,España,743.925,,,,,139.339,"0,29","18,7",,,"0,00",
2021-01-07,01,Andalucía,140.295,,,,,53.934,"0,64","38,4",,,"0,00",06/01/2021
2021-01-07,02,Aragón,23.715,,,,,6.186,"0,46","26,1",,,"0,00",06/01/2021
