Fecha publicación,CCAA,Población > 70 años con dosis de recuerdo,% Población > 70 años con dosis de recuerdo,Población 60-69 años con dosis de recuerdo,% Población 60-69 años con dosis de recuerdo,Población 50-59 años con dosis de recuerdo,% Población 50-59 años con dosis de recuerdo,Población 40-49 años con dosis de recuerdo,% Población 40-49 años con dosis de recuerdo,Personas vacunadas con dosis adicionales,% Personas vacunadas con dosis adicionales
2021-12-22,Andalucía,913.446,"84,48",532.433,"57,70",110.556,"9,12",102.337,"8,20",118.107,"37,08"
2021-12-22,Aragón,189.791,"86,58",99.252,"64,93",18.488,"10,01",21.652,"11,58",24.494,"41,75"
2021-12-22,Asturias,184.737,"91,33",114.819,"77,90",32.227,"21,11",23.270,"15,48",36.093,"79,86"
2021-12-22,Baleares,107.166,"82,23",57.578,"52,40",13.992,"9,31",15.956,"9,47",19.814,"38,93"
2021-12-22,Canarias,189.073,"77,79",117.606,"53,03",59.872,"18,72",43.548,"13,77",71.224,"53,11"
2021-12-22,Cantabria,86.325,"88,04",43.706,"57,27",11.102,"13,21",11.437,"13,09",14.998,"70,75"
2021-12-22,Castilla y León,436.048,"91,23",266.676,"83,04",73.440,"20,93",54.535,"17,11",71.634,"74,96"
2021-12-22,Castilla La Mancha,260.670,"88,25",145.925,"67,95",44.999,"16,11",40.782,"14,64",54.068,"69,99"
2021-12-22,Cataluña,870.256,"81,35",497.068,"63,38",95.671,"9,36",124.560,"11,05",138.766,"39,99"
2021-12-22,C. Valenciana,629.488,"86,78",314.679,"56,00",110.350,"15,51",82.094,"10,94",136.285,"64,61"
2021-12-22,Extremadura,149.903,"86,54",98.681,"75,50",28.052,"17,46",20.380,"14,06",30.392,"76,24"
2021-12-22,Galicia,491.017,"92,37",317.503,"91,86",280.210,"71,88",58.342,"14,34",103.863,"83,90"
2021-12-22,La Rioja,43.130,"83,29",28.537,"76,74",8.409,"18,71",7.777,"16,50",11.254,"79,82"
2021-12-22,Madrid,698.761,"79,20",359.001,"53,17",182.467,"19,47",138.145,"13,52",136.842,"57,31"
2021-12-22,Murcia,146.487,"83,17",90.645,"62,27",25.697,"12,43",30.368,"13,18",42.321,"63,46"
2021-12-22,Navarra,90.469,"92,34",57.994,"82,22",15.833,"17,27",12.484,"13,12",18.336,"77,01"
2021-12-22,País Vasco,323.126,"86,33",185.946,"68,91",60.587,"18,84",32.680,"10,26",68.837,"69,53"
2021-12-22,Ceuta,4.920,"78,99",5.252,"69,94",1.407,"13,41",706,"6,42",1.230,"33,16"
2021-12-22,Melilla,3.782,"70,15",4.299,"59,22",3.241,"32,94",2.012,"19,55",895,"19,98"
2021-12-22,Fuerzas Armadas,10,"25,00",1.772,"49,87",2.796,"29,77",6.712,"30,64",921,"72,75"
2021-12-22,Sanidad Exterior,0,"0,00",0,"0,00",4,"0,47",10,"0,57",9,"0,21"
2021-12-22,España,5.818.605,"85,05",3.339.372,"64,14",1.179.400,"17,73",829.787,"11,95",1.100.383,"55,60"
2021-12-23,Andalucía,926.118,"85,64",582.438,"63,13",120.942,"9,98",108.695,"8,70",126.540,"39,72"
2021-12-23,Aragón,191.677,"87,43",105.237,"68,85",20.176,"10,92",23.365,"12,49",26.125,"44,53"
2021-12-23,Asturias,185.454,"91,68",122.653,"83,26",46.595,"30,55",24.675,"16,42",36.009,"79,68"
2021-12-23,Baleares,108.185,"82,97",59.011,"53,64",15.525,"10,32",16.328,"9,67",20.234,"39,76"
2021-12-23,Canarias,191.723,"78,88",121.979,"55,00",67.555,"21,11",45.230,"14,29",72.516,"54,07"
2021-12-23,Cantabria,86.947,"88,67",48.198,"63,15",11.453,"13,63",11.820,"13,52",15.344,"72,39"
2021-12-23,Castilla y León,437.334,"91,49",268.610,"83,62",77.631,"22,12",56.548,"17,74",72.314,"75,67"
2021-12-23,Castilla La Mancha,262.691,"88,93",157.909,"73,63",52.650,"18,86",43.895,"15,76",55.828,"72,26"
2021-12-23,Cataluña,884.272,"82,65",520.611,"66,41",115.092,"11,26",135.015,"11,98",143.874,"41,46"
2021-12-23,C. Valenciana,635.492,"87,58",347.618,"61,94",118.290,"16,62",87.763,"11,69",141.656,"67,16"
2021-12-23,Extremadura,150.425,"86,84",102.335,"78,32",32.642,"20,32",21.502,"14,83",30.594,"76,74"
2021-12-23,Galicia,492.094,"92,57",318.821,"92,24",304.923,"78,22",59.029,"14,51",104.705,"84,58"
2021-12-23,La Rioja,43.335,"83,68",29.443,"79,20",8.593,"19,12",7.931,"16,82",11.278,"79,99"
2021-12-23,Madrid,709.910,"80,47",374.830,"55,51",199.209,"21,26",144.495,"14,14",138.957,"58,20"
2021-12-23,Murcia,147.075,"83,51",91.879,"63,12",26.884,"13,01",31.342,"13,60",42.580,"63,85"
2021-12-23,Navarra,90.666,"92,53",59.630,"84,54",16.231,"17,71",12.847,"13,50",18.375,"77,17"
2021-12-23,País Vasco,325.061,"86,84",190.572,"70,63",68.864,"21,42",33.534,"10,53",69.660,"70,36"
2021-12-23,Ceuta,4.920,"78,99",5.252,"69,94",1.407,"13,41",706,"6,42",1.230,"33,16"
2021-12-23,Melilla,3.810,"70,66",4.353,"59,95",3.834,"38,97",2.086,"20,27",917,"20,47"
2021-12-23,Fuerzas Armadas,10,"25,00",1.834,"51,50",2.851,"30,36",6.801,"31,05",930,"73,46"
2021-12-23,Sanidad Exterior,1,"1,32",2,"0,72",17,"1,98",20,"1,13",12,"0,28"
2021-12-23,España,5.877.200,"85,89",3.513.215,"67,50",1.311.364,"19,72",873.627,"12,58",1.129.678,"57,08"
2021-12-27,Andalucía,931.158,"86,10",602.179,"65,28",126.704,"10,45",111.715,"18,94",130.575,"40,99"
2021-12-27,Aragón,193.069,"88,03",110.018,"71,91",22.212,"12,02",25.444,"13,59",27.649,"47,10"
2021-12-27,Asturias,186.607,"92,24",126.607,"85,85",62.123,"40,77",25.707,"17,09",36.428,"80,50"
2021-12-27,Baleares,108.379,"83,11",60.644,"55,12",20.237,"13,45",16.756,"9,92",20.862,"40,99"
2021-12-27,Canarias,194.019,"79,81",127.162,"57,32",81.288,"25,41",48.243,"15,24",74.393,"55,47"
2021-12-27,Cantabria,87.543,"89,28",55.762,"73,28",11.912,"14,17",12.328,"14,09",15.859,"74,82"
2021-12-27,Castilla y León,438.358,"91,69",270.326,"84,12",80.523,"22,94",58.529,"18,36",72.973,"76,35"
2021-12-27,Castilla La Mancha,263.421,"89,17",162.025,"75,57",60.214,"21,58",45.288,"16,26",56.978,"73,75"
2021-12-27,Cataluña,897.369,"83,86",542.438,"69,19",152.136,"14,88",146.856,"13,01",149.815,"43,16"
2021-12-27,C. Valenciana,641.732,"88,43",372.614,"66,46",125.323,"17,61",92.987,"12,39",146.104,"69,26"
2021-12-27,Extremadura,150.860,"87,09",106.784,"81,81",37.017,"23,03",22.838,"15,74",31.079,"77,95"
2021-12-27,Galicia,492.928,"92,73",319.292,"92,38",337.795,"86,65",59.691,"14,67",105.368,"85,11"
2021-12-27,La Rioja,43.481,"83,96",30.046,"80,85",9.174,"20,43",8.189,"17,37",11.297,"80,12"
2021-12-27,Madrid,720.118,"81,62",396.630,"58,74",231.355,"24,69",157.928,"15,45",142.728,"59,78"
2021-12-27,Murcia,147.687,"83,85",93.374,"64,15",28.384,"13,73",32.146,"13,95",42.869,"64,28"
2021-12-27,Navarra,90.788,"92,65",60.345,"85,57",17.679,"19,29",13.538,"14,22",18.517,"77,77"
2021-12-27,País Vasco,327.200,"87,41",198.041,"73,43",85.083,"26,49",35.552,"11,15",71.027,"71,74"
2021-12-27,Ceuta,4.942,"79,31",5.347,"71,20",2.063,"19,69",1.064,"9,67",1.254,"33,80"
2021-12-27,Melilla,3.842,"71,24",4.411,"60,72",4.311,"43,81",2.150,"20,89",941,"21,00"
2021-12-27,Fuerzas Armadas,10,"25,00",1.859,"52,26",2.885,"30,71",6.891,"31,49",938,"74,09"
2021-12-27,Sanidad Exterior,1,"1,32",2,"0,72",18,"2,10",26,"1,47",19,"0,43"
2021-12-27,España,5.923.512,"86,56",3.645.906,"70,06",1.498.436,"22,53",923.866,"13,30",1.157.673,"58,48"
2021-12-28,Andalucía,934.805,"86,44",617.731,"66,97",132.564,"10,93",114.499,"9,16",134.121,"42,10"
2021-12-28,Aragón,193.394,"88,18",111.319,"72,77",24.267,"13,13",26.615,"14,22",28.132,"47,93"
2021-12-28,Asturias,187.283,"92,57",128.235,"87,00",69.481,"45,62",26.516,"17,63",37.187,"82,18"
2021-12-28,Baleares,108.574,"83,26",62.593,"56,89",26.315,"17,50",17.238,"10,20",21.522,"42,29"
2021-12-28,Canarias,195.906,"80,58",130.949,"59,03",89.994,"28,13",50.499,"15,95",75.573,"56,35"
2021-12-28,Cantabria,87.905,"89,64",58.818,"77,30",12.711,"15,12",12.836,"14,67",16.176,"76,32"
2021-12-28,Castilla y León,438.779,"91,77",271.349,"84,44",89.809,"25,60",61.865,"19,40",73.506,"76,91"
2021-12-28,Castilla La Mancha,263.421,"89,17",162.023,"75,57",60.217,"21,58",45.288,"16,25",56.978,"73,73"
2021-12-28,Cataluña,901.485,"84,24",554.721,"70,77",172.203,"16,85",153.533,"13,60",152.428,"43,91"
2021-12-28,C. Valenciana,645.163,"88,90",387.993,"69,21",136.973,"19,25",101.465,"13,52",149.215,"70,74"
2021-12-28,Extremadura,150.949,"87,14",107.514,"82,41",40.624,"25,28",24.192,"16,68",31.496,"79,00"
2021-12-28,Galicia,493.541,"92,84",319.702,"92,50",339.621,"87,12",75.915,"18,66",105.847,"85,50"
2021-12-28,La Rioja,43.527,"84,05",30.227,"81,36",9.992,"22,27",8.479,"17,99",11.308,"80,20"
2021-12-28,Madrid,727.503,"82,46",412.064,"61,03",248.144,"26,48",164.977,"16,14",144.617,"60,57"
2021-12-28,Murcia,147.911,"83,97",94.707,"65,07",31.774,"15,38",33.569,"14,57",43.149,"64,70"
2021-12-28,Navarra,90.825,"92,68",60.677,"86,06",19.143,"20,90",14.140,"14,85",18.577,"78,02"
2021-12-28,País Vasco,328.179,"87,67",201.398,"74,69",92.463,"28,81",36.782,"11,53",71.609,"72,33"
2021-12-28,Ceuta,4.949,"79,43",5.389,"71,76",2.333,"22,26",1.207,"10,97",1.257,"33,88"
2021-12-28,Melilla,3.864,"71,64",4.472,"61,54",4.853,"49,30",2.217,"21,54",961,"21,45"
2021-12-28,Fuerzas Armadas,10,"25,00",1.896,"53,29",2.919,"31,10",6.949,"31,76",949,"74,96"
2021-12-28,Sanidad Exterior,2,"2,63",4,"1,43",30,"3,50",37,"2,09",23,"0,53"
2021-12-28,España,5.947.975,"86,92",3.723.781,"71,56",1.606.430,"24,16",978.818,"14,09",1.174.631,"59,34"
2021-12-29,Andalucía,938.840,"86,81",635.496,"68,90",141.986,"11,71",117.388,"9,39",137.870,"43,28"
2021-12-29,Aragón,193.800,"88,37",113.165,"73,98",28.404,"15,37",28.192,"15,06",28.799,"49,06"
2021-12-29,Asturias,187.482,"92,67",129.281,"87,71",79.799,"52,40",27.188,"18,08",37.788,"83,50"
2021-12-29,Baleares,108.819,"83,44",64.436,"58,57",32.489,"21,62",17.648,"10,44",22.050,"43,32"
2021-12-29,Canarias,197.789,"81,35",134.808,"60,76",99.184,"31,00",53.740,"16,98",76.749,"57,23"
2021-12-29,Cantabria,88.256,"90,00",61.390,"80,71",13.691,"16,28",13.373,"15,28",16.493,"77,82"
2021-12-29,Castilla y León,439.273,"91,87",272.563,"84,81",99.486,"28,36",64.738,"20,30",74.210,"77,65"
2021-12-29,Castilla La Mancha,264.588,"89,56",168.882,"78,77",80.937,"29,01",49.507,"17,77",58.236,"75,36"
2021-12-29,Cataluña,907.345,"84,78",568.660,"72,56",200.796,"19,65",160.673,"14,22",156.081,"44,96"
2021-12-29,C. Valenciana,649.298,"89,47",406.867,"72,57",147.680,"20,75",109.101,"14,53",151.701,"71,91"
2021-12-29,Extremadura,151.165,"87,26",108.832,"83,43",46.396,"28,87",25.857,"17,82",31.953,"80,14"
2021-12-29,Galicia,494.295,"92,98",320.114,"92,62",340.878,"87,44",100.312,"24,66",106.204,"85,79"
2021-12-29,La Rioja,43.561,"84,12",30.344,"81,67",10.886,"24,26",8.694,"18,45",11.315,"80,25"
2021-12-29,Madrid,734.652,"83,27",426.372,"63,15",265.619,"28,34",172.255,"16,85",146.316,"61,28"
2021-12-29,Murcia,148.301,"84,19",96.908,"66,59",37.167,"18,00",34.769,"15,08",43.377,"65,04"
2021-12-29,Navarra,90.865,"92,73",60.963,"86,47",21.874,"23,89",14.625,"15,36",18.655,"78,35"
2021-12-29,País Vasco,329.098,"87,91",204.825,"75,97",100.344,"31,28",38.073,"11,94",72.074,"72,80"
2021-12-29,Ceuta,4.958,"79,54",5.421,"72,20",2.556,"24,39",1.420,"12,91",1.261,"33,99"
2021-12-29,Melilla,3.887,"72,03",4.538,"62,45",5.049,"51,27",2.702,"26,25",986,"22,01"
2021-12-29,Fuerzas Armadas,10,"25,00",1.912,"53,74",2.932,"31,24",7.042,"32,18",953,"75,28"
2021-12-29,Sanidad Exterior,5,"6,58",8,"2,88",51,"5,93",59,"3,32",50,"1,14"
