fecha,cod_ine,distrito,casos,poblacion_2020,tasa_100000hab
2020-04-06,07901,Centro,654,140790,465
2020-04-06,07902,Arganzuela,1003,156232,642
2020-04-06,07903,Retiro,904,120856,748
2020-04-06,07904,Salamanca,968,148264,653
2020-04-06,07905,Chamartín,963,148137,650
2020-04-06,07906,Tetuán,1332,161946,822
2020-04-06,07907,Chamberí,843,141384,596
2020-04-06,07908,Fuencarral - El Pardo,1803,250891,719
2020-04-06,07909,Moncloa - Aravaca,715,122214,585
2020-04-06,07910,Latina,1557,243313,640
2020-04-06,07911,Carabanchel,1531,261480,586
2020-04-06,07912,Usera,895,143371,624
2020-04-06,07913,Puente de Vallecas,1978,241965,817
2020-04-06,07914,Moratalaz,836,95728,873
2020-04-06,07915,Ciudad Lineal,1338,220803,606
2020-04-06,07916,Hortaleza,1124,194203,579
2020-04-06,07917,Villaverde,906,155208,584
2020-04-06,07918,Villa de Vallecas,891,115173,774
2020-04-06,07919,Vicálvaro,539,74419,724
2020-04-06,07920,San Blas - Canillejas,910,161890,562
2020-04-06,07921,Barajas,283,50269,563
