CCAA,03/03/2020,04/03/2020,05/03/2020,06/03/2020,09/03/2020,10/03/2020,11/03/2020
Andalucía,"0,15","0,15","0,14","0,25","0,64","0,84","1,07"
Aragón,"0,00","0,00","0,08","0,45","0,99","2,88","3,41"
Asturias,"0,10","0,20","0,49","0,49","0,68","2,15","3,13"
Baleares,"0,17","0,43","0,52","0,52","0,96","1,13","1,39"
Canarias,"0,33","0,33","0,37","0,51","1,02","1,16","1,49"
Cantabria,"1,72","1,72","1,72","1,72","2,07","2,07","2,07"
Castilla-La Mancha,"0,34","0,59","0,64","0,74","1,28","1,92","3,49"
Castilla y León,"0,33","0,46","0,46","0,58","0,96","2,33","2,96"
Cataluña,"0,20","0,20","0,31","0,31","0,98","1,62","2,02"
Ceuta,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
C. Valenciana,"0,30","0,38","0,38","0,60","0,74","1,00","1,28"
Extremadura,"0,56","0,56","0,56","0,56","0,66","0,75","0,84"
Galicia,"0,00","0,04","0,04","0,11","0,22","0,81","1,44"
Madrid,"0,74","1,05","1,35","2,06","7,04","11,74","15,34"
Melilla,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Murcia,"0,00","0,00","0,00","0,00","0,27","0,60","0,74"
Navarra,"0,15","0,46","0,46","0,46","0,46","1,83","7,03"
País Vasco,"0,59","0,77","0,77","2,04","6,75","8,83","10,19"
La Rioja,"0,95","2,21","3,47","9,15","25,57","45,45","56,50"
Total,"0,32","0,42","0,51","0,78","2,14","3,48","4,55"
