fecha,cod_ine,municipio_distrito,casos_confirmados_ultimos_14dias,tasa_incidencia_acumulada_ultimos_14dias,casos_confirmados_totales,tasa_incidencia_acumulada_total
2020-04-28,07903,Madrid-Retiro,152,"136,72",1320,"1187,33"
2020-04-28,07904,Madrid-Salamanca,206,"130,93",1491,"947,62"
2020-04-28,07901,Madrid-Centro,185,"130,07",1077,"757,23"
2020-04-28,07902,Madrid-Arganzuela,200,"112,11",1470,"823,98"
2020-04-28,07905,Madrid-Chamartín,218,"148,42",1475,"1004,19"
2020-04-28,07906,Madrid-Tetuán,243,"148,64",1976,"1208,73"
2020-04-28,07907,Madrid-Chamberí,250,"168,37",1421,"957,02"
2020-04-28,07908,Madrid-Fuencarral-El Pardo,300,"133,61",2709,"1206,47"
2020-04-28,07909,Madrid-Moncloa-Aravaca,230,"181,27",1216,"958,36"
2020-04-28,07910,Madrid-Latina,372,"149,06",2529,"1013,34"
2020-04-28,07911,Madrid-Carabanchel,342,"138,79",2452,"995,06"
2020-04-28,07912,Madrid-Usera,161,"108,45",1312,"883,79"
2020-04-28,07913,Madrid-Puente de Vallecas,274,"107,14",2825,"1104,66"
2020-04-28,07920,Madrid-San Blas-Canillejas,177,"127,45",1363,"981,46"
2020-04-28,07921,Madrid-Barajas,47,"89,22",407,"772,57"
2020-04-28,07914,Madrid-Moratalaz,138,"141,72",1239,"1272,39"
2020-04-28,07915,Madrid-Ciudad Lineal,295,"111,47",2066,"780,64"
2020-04-28,07916,Madrid-Hortaleza,189,"89,46",1636,"774,35"
2020-04-28,07917,Madrid-Villaverde,192,"120,72",1332,"837,51"
2020-04-28,07918,Madrid-Villa de Vallecas,70,"65,65",1141,"1070,07"
2020-04-28,07919,Madrid-Vicálvaro,52,"72,33",732,"1018,25"
2020-04-28,28115,Pozuelo de Alarcón,181,"204,98",704,"797,28"
2020-04-28,28007,Alcorcón,212,"121,25",1653,"945,43"
2020-04-28,28096,Navalcarnero,23,"81,48",150,"531,37"
2020-04-28,28129,San Agustín del Guadalix,11,"75,53",55,"377,67"
2020-04-28,28127,Las Rozas de Madrid,149,"155,45",694,"724,06"
2020-04-28,28089,Moraleja de Enmedio,,"74,68",24,"448,1"
2020-04-28,28155,Valdaracete,,0,,"823,72"
2020-04-28,28116,Pozuelo del Rey,,0,,"404,04"
2020-04-28,28118,Puebla de la Sierra,,0,,0
2020-04-28,28110,Perales de Tajuña,,0,7,"188,02"
2020-04-28,28160,Valdemorillo,15,"123,75",45,"371,26"
2020-04-28,28094,Navalafuente,,"251,89",6,"755,67"
2020-04-28,28167,Velilla de San Antonio,,"40,02",63,"504,28"
2020-04-28,28176,Villanueva de la Cañada,31,"127,13",119,"488,02"
2020-04-28,28177,Villanueva del Pardillo,14,"82,89",80,"473,68"
2020-04-28,28100,Nuevo Baztán,,"15,04",27,"406,2"
2020-04-28,28175,Villamantilla,,0,7,"829,38"
2020-04-28,28174,Villamanta,,"93,85",12,"563,12"
2020-04-28,28029,Cabanillas de la Sierra,,0,10,"1727,12"
2020-04-28,28037,Cenicientos,,"101,99",20,"1019,89"
2020-04-28,28902,Puentes Viejas,,0,,"437,64"
2020-04-28,28013,Aranjuez,44,"69,37",425,"670,02"
2020-04-28,28038,Cercedilla,19,"253,77",96,"1282,22"
2020-04-28,28136,Santorcaz,,0,7,"1236,75"
2020-04-28,28049,Coslada,64,"72,4",769,"869,88"
2020-04-28,28091,Morata de Tajuña,6,"77,25",93,"1197,37"
2020-04-28,28126,Robregordo,,0,,0
2020-04-28,28097,Navarredonda y San Mamés,,"1204,82",,"2409,64"
2020-04-28,28169,Venturada,,"70,82",,"212,46"
2020-04-28,28093,Navacerrada,,"107,6",15,"538,02"
2020-04-28,28088,Montejo de la Sierra,,0,,"279,33"
2020-04-28,28057,Fresno de Torote,,"83,26",14,"1165,7"
2020-04-28,28112,Pinilla del Valle,,0,,0
2020-04-28,28159,Valdemaqueda,,"116,96",,"467,84"
2020-04-28,28099,Navas del Rey,,"67,93",47,"1596,47"
2020-04-28,28101,Olmeda de las Fuentes,,0,,"1244,81"
2020-04-28,28028,Bustarviejo,,"56,27",6,"337,65"
2020-04-28,28018,Becerril de la Sierra,9,"155,93",31,"537,08"
2020-04-28,28058,Fuenlabrada,157,"76,96",1427,"699,46"
2020-04-28,28062,Garganta de los Montes,,0,,"364,96"
2020-04-28,28113,Pinto,35,"65,85",229,"430,84"
2020-04-28,28003,Alameda del Valle,,0,,0
2020-04-28,28020,Berzosa del Lozoya,,"657,89",,"1315,79"
2020-04-28,28137,Los Santos de la Humosa,,0,19,"1131,63"
2020-04-28,28004,El Álamo,26,"263,34",64,"648,23"
2020-04-28,28109,Pelayos de la Presa,,"75,05",16,"600,38"
2020-04-28,28061,Galapagar,80,"241,18",227,"684,35"
2020-04-28,28066,Griñón,7,"60,63",79,"684,22"
2020-04-28,28063,Gargantilla del Lozoya y Pinilla de Buitrago,,0,,"1027,4"
2020-04-28,28008,Aldea del Fresno,9,"298,41",43,"1425,73"
2020-04-28,28035,Carabaña,,"57,21",13,"743,71"
2020-04-28,28145,Talamanca de Jarama,,"63,86",25,"798,21"
2020-04-28,28051,Chapinería,,0,6,"262,24"
2020-04-28,28040,Ciempozuelos,37,"144,16",189,"736,38"
2020-04-28,28002,Ajalvir,,"84,28",13,"273,91"
2020-04-28,28131,San Lorenzo de El Escorial,50,"282,25",123,"694,33"
2020-04-28,28064,Gascones,,0,,0
2020-04-28,28132,San Martín de la Vega,16,"78,57",81,"397,74"
2020-04-28,28092,Móstoles,279,"127,66",1865,"853,36"
2020-04-28,28074,Leganés,233,"118,33",2794,"1418,94"
2020-04-28,28024,Braojos,,0,,"1242,24"
