Fecha,Casos
2020-04-15,27558
2020-04-19,30663
2020-04-20,31053
2020-04-21,31788
2020-04-22,33153
2020-04-23,34355
2020-04-24,35295
2020-04-25,37103
2020-04-26,37584
2020-04-27,37994
2020-04-28,38369
2020-04-29,39230
2020-04-30,39987
2020-05-01,41239
2020-05-02,41785
2020-05-03,42111
2020-05-04,43325
2020-05-05,43956
2020-05-06,44758
2020-05-07,45924
2020-05-08,46749
2020-05-09,47481
2020-05-10,48046
2020-05-11,48320
2020-05-12,48860
2020-05-13,49113
2020-05-14,50088
2020-05-15,50455
2020-05-16,50723
2020-05-17,50938
2020-05-18,51090
2020-05-29,51482
2020-04-06,51482
