fecha,casos_total,casos_pcr,casos_test_ac,altas,fallecimientos,ingresos_uci,hospitalizados
2020-02-21,2,,,,,,
2020-02-22,2,,,,,,
2020-02-23,2,,,,,,
2020-02-24,2,,,,,,
2020-02-25,3,,,,,,
2020-02-26,9,,,,,,
2020-02-27,17,,,,,,
2020-02-28,33,,,,,,
2020-02-29,54,,,,,,
2020-03-01,81,,,,,,
2020-03-02,135,,,,,,
2020-03-03,192,,,,,,
2020-03-04,263,,,,1,,
2020-03-05,341,,,,3,,
2020-03-06,532,,,,5,,
2020-03-07,755,,,,8,,
2020-03-08,1078,,,,17,,
2020-03-09,1509,,,25,28,,
2020-03-10,2273,,,140,35,,
2020-03-11,3252,,,188,48,,
2020-03-12,4395,,,201,86,,
2020-03-13,5866,,,200,123,,
2020-03-14,7586,,,544,141,,
2020-03-15,9709,,,556,292,,
2020-03-16,11437,,,575,314,,
2020-03-17,13919,,,1086,496,,
2020-03-18,17610,,,1160,590,,
2020-03-19,21645,,,1210,765,,
2020-03-20,26136,,,1542,993,,
2020-03-21,31640,,,2131,1326,,
2020-03-22,36507,,,2672,1672,,
2020-03-23,41128,,,3140,2136,,
2020-03-24,48766,,,3697,2707,,
2020-03-25,57282,,,5054,3303,,
2020-03-26,66211,,,6326,3918,,
2020-03-27,75361,,,8491,4663,,
2020-03-28,83630,,,10896,5502,,
2020-03-29,90036,,,13219,6217,,
2020-03-30,95834,,,14823,6913,,
2020-03-31,103979,,,16926,7733,,
2020-04-01,111384,,,20023,8662,,
2020-04-02,118910,,,23509,9539,,
2020-04-03,126145,,,26540,10384,,
2020-04-04,132799,,,30173,11164,,
2020-04-05,138362,,,33701,11834,,
2020-04-06,141995,,,35723,12462,,
2020-04-07,147257,,,38620,13219,,
2020-04-08,152813,,,43091,13976,,
2020-04-09,158527,,,47116,14757,,
2020-04-10,163125,,,50860,15399,,
2020-04-11,167729,,,54118,15899,,
2020-04-12,171685,,,57026,16505,,
2020-04-13,174844,,,59165,17056,,
2020-04-14,178032,,,61924,17591,,
2020-04-15,182530,,,65682,18276,,
2020-04-16,187597,94081,1313,69461,18893,,
2020-04-17,192274,104876,2080,72952,19478,,
2020-04-18,197161,151578,3867,74662,20043,,
2020-04-19,202312,184395,9732,77357,20453,,
2020-04-20,205947,186484,11164,80587,20852,,
2020-04-21,209545,189238,11839,82514,21282,,
2020-04-22,213268,191375,13259,85915,21717,,
2020-04-23,217992,194121,15066,89250,22157,,
2020-04-24,221479,196092,16455,92355,22524,,
2020-04-25,225341,198363,17862,95708,22902,,
2020-04-26,228128,199946,19006,98732,23190,,
2020-04-27,230733,201525,19970,100875,23521,,114080
2020-04-28,233578,202873,21377,102548,23822,,114958
2020-04-29,236904,212891,24013,108947,24275,10720,115844
2020-04-30,240027,214109,25918,112050,24543,10776,116660
2020-05-01,243235,215450,27785,114678,24824,10860,117392
2020-05-02,245635,216628,29007,117248,25100,10909,117948
2020-05-03,247122,217466,29656,118902,25264,10974,118495
