Fecha,Nota sobre los datos publicados con información de edad y sexo.
2020-03-23,Datos obtenidos del análisis sobre 18.959 casos notificados con información de edad.
2020-03-24,Datos obtenidos del análisis sobre 20.471 casos notificados con información de edad y 20.459 con información de edad y sexo.
2020-03-25,Datos obtenidos del análisis sobre 21.872 casos notificados con información de edad y 21.851 con información de edad y sexo.
2020-03-26,Datos obtenidos del análisis sobre 32.816 casos notificados con información de edad y 32.807 con información de edad y sexo.
2020-03-27,Datos obtenidos del análisis sobre 34.240 casos notificados con información de edad y sexo.
2020-03-28,Datos obtenidos del análisis sobre 36.197 casos notificados con información de edad y sexo.
2020-03-29,Datos obtenidos del análisis sobre 50.220 casos notificados con información de edad y sexo.
2020-03-30,Datos obtenidos del análisis sobre 51.605 casos notificados con información de edad y sexo.
2020-03-31,Datos obtenidos del análisis sobre 55.470 casos notificados con información de edad y sexo.
2020-04-01,Datos obtenidos del análisis sobre 56.097 casos notificados con información de edad y sexo.
2020-04-02,Datos obtenidos del análisis sobre 69.160 casos notificados con información de edad y sexo.
2020-04-03,Datos obtenidos del análisis sobre 70.674 casos notificados con información de edad y sexo.
2020-04-04,Datos obtenidos del análisis sobre 70.674 casos notificados con información de edad y sexo.
2020-04-05,Datos obtenidos del análisis sobre 87.529 casos notificados con información de edad y sexo.
