cod_ine,CCAA,2020-03-01,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18
01,Andalucía,,11,11,11,11,11,11,11,11,11,33,33,36,36,38,50,66,71,77,92,139,148,155,160,182,228,258,463,665,798,900,1041,1193,1437,1630,1838,1967,2032,2224,2634,2790,2948,3116,3229,3411,3569,3847,3992,4295,4741,4890,5039,5272,5710,6334,6821,6897,7021,7230,7679,8076,8435,8779,9020,9205,9297,9481,9918,10148,10319,10611,10671
02,Aragón,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,8,8,125,174,204,257,320,378,440,537,565,578,659,718,797,888,934,946,963,1012,1087,1121,1121,1175,1178,1182,1530,1680,1781,1929,1960,2010,2081,2189,2291,2382,2474,2558,2624,2704,2790,2880,2953,3006,3076,3116,3186,3312,3471,3534,3655,3727,3772
03,Asturias,,0,1,1,1,1,1,1,3,3,4,4,12,16,20,21,30,35,40,52,65,76,78,90,109,135,154,190,216,222,244,294,340,372,414,430,434,458,487,522,545,575,596,599,616,642,665,688,716,749,759,780,809,835,860,890,908,917,936,953,971,983,1012,1022,1026,1031,1038,1046,1053,1055,1061,1063
04,Baleares,,1,1,1,1,1,1,1,1,1,4,6,10,11,17,18,19,28,39,67,80,82,100,111,170,239,375,422,461,531,537,616,696,737,757,848,862,871,881,918,938,958,993,1005,1005,1017,1047,1081,1102,1123,1136,1166,1196,1219,1245,1268,1284,1294,1307,1321,1345,1374,1395,1401,1415,1423,1465,1492,1513,1519,1523,1533
05,Canarias,,4,5,5,5,5,7,7,7,8,8,9,9,9,9,9,9,15,18,20,25,30,32,57,77,94,102,123,137,157,192,249,359,386,432,447,458,589,622,673,730,785,789,813,878,927,969,1017,1036,1047,1047,1075,1107,1131,1149,1149,1150,1166,1190,1223,1258,1318,1342,1346,1391,1456,1475,1496,1506,1524,1524,1537
06,Cantabria,,0,0,0,6,7,7,10,10,10,10,10,10,11,11,11,12,12,14,19,21,24,24,35,43,60,74,99,113,118,129,175,214,265,281,297,317,323,363,442,510,534,610,626,646,718,850,913,1046,1127,1241,1290,1372,1483,1509,1551,1616,1620,1658,1696,1758,1786,1862,1933,1963,1981,2054,2110,2152,2195,2273,2287
08,Castilla La Mancha,,2,2,2,2,2,5,5,12,12,15,27,27,38,48,51,53,71,95,153,197,236,236,252,397,494,579,657,1149,1259,1353,1557,1766,1982,2205,2365,2532,2943,2998,3378,3600,3838,3963,4178,4242,4337,4577,4782,4876,5196,5282,5306,5382,5512,5615,5702,5772,5794,5824,5862,5895,5981,6062,6129,6172,6181,6205,6244,6294,6328,6378,6392
07,Castilla y León,,0,0,0,0,1,2,3,5,5,5,27,37,54,89,117,140,213,308,423,585,752,871,1028,1259,1498,1759,2021,2331,2533,2711,2988,3242,3506,3757,4010,4154,4266,4521,4725,4924,5103,5262,5366,5429,5614,5777,5943,6033,6208,6272,6323,6448,6569,6686,6813,6856,6900,6935,7036,7149,7231,7317,7429,7453,7472,7544,7621,7672,7735,8716,8716
09,Cataluña,,2,5,6,12,19,32,39,45,58,79,103,147,192,247,402,631,961,1008,1482,1717,1966,2168,2633,3077,3683,3876,4589,5149,5374,6150,7320,8014,8705,9267,9610,10040,10387,11480,11961,12787,13275,13691,13934,14446,15089,15477,16138,16753,17006,17897,18319,19060,19615,19640,19913,20332,21898,22553,22881,23231,23664,24063,24349,24454,24966,25326,25849,25904,26067,26172,26203
18,Ceuta,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,7,12,17,17,20,22,30,41,44,53,59,74,73,76,76,84,98,104,107,110,114,126,138,140,141,142,145,150,150,154,154,154,154,154,156,159,160,163,163,163
10,C. Valenciana,,1,1,1,1,2,2,2,2,12,16,19,20,25,30,36,37,44,57,73,92,161,185,200,240,432,592,695,812,930,1103,1344,1772,2085,2289,2624,2803,3069,3360,3702,4024,4306,4547,4629,4719,5011,5388,5809,6033,6243,6317,6423,6599,6886,7078,7287,7447,7506,7655,7747,8010,8181,8796,8861,8945,9089,9268,9490,9708,9761,9907,9970
11,Extremadura,,1,1,1,3,3,4,4,4,5,6,6,7,8,8,8,8,8,24,33,49,51,60,91,113,139,164,205,215,223,282,328,381,397,462,481,511,578,615,649,707,736,767,858,921,1051,1237,1358,1510,1582,1652,1733,1797,1887,1960,2017,2072,2090,2146,2189,2265,2312,2354,2369,2409,2422,2456,2482,2587,2609,2636,2652
12,Galicia,,0,0,0,0,0,3,4,4,4,4,4,5,6,16,19,19,25,47,67,95,153,168,187,259,333,435,531,587,610,688,800,910,997,1082,1143,1186,1240,1298,1383,1456,1507,1536,1548,1588,1625,1676,1730,1783,1803,1816,1841,5393,5573,5816,5981,6075,6234,6561,6802,6959,7138,7225,7347,7444,7820,7996,8157,8283,8820,9155,9204
13,Madrid,,,109,157,157,157,474,474,474,770,770,941,1186,1542,1899,2063,2291,3031,3882,5044,6326,7491,8301,9330,10827,12400,13850,15362,16543,17322,18410,19836,21121,22414,23663,24683,25385,26247,27433,28491,29436,30475,31313,31762,32277,33032,33645,34212,34902,35367,35565,35841,36314,36707,37154,37530,37704,37808,38002,38331,38670,38975,39227,39529,39604,39751,39984,40199,40383,40586,40698,40736
19,Melilla,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,11,11,12,16,17,18,18,18,18,24,27,30,30,44,46,46,50,55,61,77,81,87,92,95,96,96,96,98,101,101,104,108,108,108,111,113,115,115,119,119,122,124,125
14,Murcia,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,9,12,12,16,17,20,43,45,90,113,130,156,193,203,219,255,275,344,353,476,513,516,545,638,652,662,702,761,766,791,842,920,990,1113,1153,1202,1229,1251,1260,1277,1381,1465,1527,1662,1767,1782,1786,1819,1861,1998,2034,2073,2084,2180
