cod_ine,CCAA,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
01,Andalucía,0,0,38,33,72,72,38,50,66,71,77,92,139,148,155,160,182,228,258,463,665,798,900,1041,1193,1437,1630,1838,1967,2032,2224,2634,2790,2948,3116,3229,3411,3569,3847,3992,4295,4741,4890,5039,5272,5710
02,Aragón,0,0,0,0,0,0,3,3,3,4,4,8,8,8,174,204,257,320,378,440,537,565,578,659,718,797,888,934,946,963,1012,1087,1132,1121,1175,1178,1182,1530,1680,1781,1929,1960,2010,2081,2189,2291
03,Asturias,3,3,4,4,12,16,20,21,30,35,40,52,65,76,78,90,109,135,154,190,216,222,244,294,340,372,414,430,434,458,487,522,545,575,596,599,616,642,665,688,716,749,759,700,809,835
04,Baleares,1,1,4,6,10,11,17,18,19,28,39,67,80,82,100,111,170,239,375,422,461,531,537,616,696,737,757,848,862,871,881,918,938,958,993,1005,1005,1017,1047,1081,1102,1123,1136,1166,1196,1219
05,Canarias,7,8,8,9,6,7,7,7,8,15,18,20,25,30,32,57,77,94,102,123,137,157,186,249,359,386,432,447,458,589,622,673,730,785,789,813,878,927,969,1017,1036,1048,1047,1075,1107,1131
06,Cantabria,10,10,10,10,10,11,11,11,12,12,14,19,21,25,24,35,43,60,74,99,113,118,129,175,214,265,281,297,317,323,363,442,510,534,610,626,646,718,850,913,1046,1127,1241,1290,1372,1483
08,Castilla-La Mancha,12,12,15,27,34,38,48,51,53,71,95,153,197,236,252,296,397,494,579,657,1149,1259,1353,1557,1766,1982,2205,2365,2532,2943,2998,3378,3600,3838,3963,4178,4242,4337,4577,4782,4876,5196,5282,5306,5382,5512
07,Castilla y León,5,5,5,27,37,54,89,117,140,213,308,423,585,752,871,1028,1259,1498,1759,2021,2331,2533,2711,2988,3242,3506,3757,4010,4154,4266,4521,4725,4924,5103,5262,5366,5429,5614,5777,5943,6033,6208,6272,6323,6448,6569
09,Cataluña,0,0,0,0,150,150,150,644,728,1274,1697,2348,3106,3455,4125,4966,5701,6917,7849,8635,9528,10088,10738,12250,13063,13513,14258,14975,15602,15967,16651,17297,12787,13275,13691,13934,14446,15089,15477,16138,16753,17006,17897,18319,19060,19615
18,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,7,7,12,17,17,20,22,30,41,44,53,59,74,73,76,76,84,98,104,107,110,114,126
10,C. Valenciana,2,12,16,19,20,25,30,36,37,44,57,73,92,161,185,200,240,432,592,695,812,930,1103,1344,1772,2085,2289,2624,2803,3069,3360,3702,4024,4306,4547,4629,4719,5011,5388,5809,6033,6243,6317,6423,6599,6886
11,Extremadura,4,5,6,6,7,8,8,6,8,8,24,33,49,51,60,91,113,139,164,205,215,223,282,328,381,397,462,481,511,578,615,649,707,736,767,858,921,1051,1237,1358,1510,1582,1652,1733,1797,1887
12,Galicia,4,7,7,4,5,6,16,19,19,25,47,67,95,153,168,187,259,333,435,531,587,610,688,800,910,997,1082,1143,1186,1240,1298,1383,1456,1507,1536,1548,1588,1625,1676,1730,1783,1803,1816,1841,5393,5573
13,Madrid,474,951,951,941,1186,1542,1899,2063,2291,3031,3882,5044,6326,7491,8301,9330,10827,12400,13850,15362,16543,17322,18410,19836,21121,22414,23663,24683,25385,26247,27433,28491,29436,30475,31313,31762,32277,33032,33645,34212,34902,35367,35565,35841,36314,36707
19,Melilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,11,11,12,16,17,18,18,18,18,24,27,30,30,44,46,46,50,55,61,77,81,87,92,95,96
14,Murcia,1,1,1,1,1,1,1,1,1,4,9,12,12,16,17,20,43,45,90,113,130,156,193,203,219,255,275,344,353,476,513,516,545,638,652,662,702,761,766,791,842,920,990,1113,1153,1202
15,Navarra,0,0,0,0,1,1,4,7,11,23,35,70,98,125,161,192,236,278,294,311,334,380,421,450,462,560,603,650,695,730,808,845,892,954,992,1123,1190,1316,1445,1552,1737,1855,1918,1978,2082,2113
16,País Vasco,5,11,14,18,21,165,216,283,344,466,621,814,1023,1503,1646,1796,2165,2490,2809,3098,3405,3568,3728,4151,4514,4680,4741,4867,5026,5193,5428,5813,6144,6556,6972,7124,7277,7651,8136,8459,8941,9602,9840,9974,10474,10936
17,La Rioja,2,2,2,2,13,18,18,18,24,43,48,62,364,397,431,496,569,641,745,843,904,964,994,1061,1172,1256,1337,1420,1458,1519,1585,1654,1729,1777,1816,1833,1866,1899,1937,1964,1999,2037,2049,2064,2091,2159
00,Total,530,1028,1081,1107,1585,2125,2575,3355,3794,5367,7015,9357,12285,14709,16780,19259,22647,26743,30513,34219,38080,40437,43208,48021,52165,55668,59109,62391,64727,67504,70853,74797,72963,76169,78893,80587,82514,85915,89250,92355,95708,98732,100875,102548,108947,112050
