fecha,cod_ine,CCAA,total
2020-02-21,01,Andalucía,0
2020-02-22,01,Andalucía,0
2020-02-23,01,Andalucía,0
2020-02-24,01,Andalucía,0
2020-02-25,01,Andalucía,0
2020-02-26,01,Andalucía,0
2020-02-27,01,Andalucía,1
2020-02-28,01,Andalucía,6
2020-02-29,01,Andalucía,8
2020-03-01,01,Andalucía,12
2020-03-02,01,Andalucía,12
2020-03-03,01,Andalucía,12
2020-03-04,01,Andalucía,12
2020-03-05,01,Andalucía,12
2020-03-06,01,Andalucía,21
2020-03-07,01,Andalucía,27
2020-03-08,01,Andalucía,34
2020-03-09,01,Andalucía,54
2020-03-10,01,Andalucía,71
2020-03-11,01,Andalucía,90
2020-03-12,01,Andalucía,115
2020-03-13,01,Andalucía,219
2020-03-14,01,Andalucía,269
2020-03-15,01,Andalucía,437
2020-03-16,01,Andalucía,554
2020-03-17,01,Andalucía,683
2020-03-18,01,Andalucía,859
2020-03-19,01,Andalucía,1008
2020-03-20,01,Andalucía,1287
2020-03-21,01,Andalucía,1515
2020-03-22,01,Andalucía,1725
2020-03-23,01,Andalucía,1961
2020-03-24,01,Andalucía,2470
2020-03-25,01,Andalucía,3008
2020-03-26,01,Andalucía,3404
2020-03-27,01,Andalucía,3790
2020-03-28,01,Andalucía,4271
2020-03-29,01,Andalucía,4676
2020-03-30,01,Andalucía,5398
2020-03-31,01,Andalucía,5809
2020-04-01,01,Andalucía,6379
2020-04-02,01,Andalucía,6957
2020-04-03,01,Andalucía,7353
2020-04-04,01,Andalucía,7847
2020-04-05,01,Andalucía,8279
2020-04-06,01,Andalucía,8559
2020-04-07,01,Andalucía,8743
2020-04-08,01,Andalucía,8973
2020-04-09,01,Andalucía,9234
2020-04-10,01,Andalucía,9482
2020-04-11,01,Andalucía,9682
2020-04-12,01,Andalucía,9976
2020-04-13,01,Andalucía,10062
2020-04-14,01,Andalucía,10283
2020-04-15,01,Andalucía,10561
2020-04-16,01,Andalucía,10773
2020-04-17,01,Andalucía,11018
2020-04-18,01,Andalucía,11168
2020-04-19,01,Andalucía,11389
2020-04-20,01,Andalucía,11518
2020-04-21,01,Andalucía,11648
2020-04-22,01,Andalucía,11879
2020-04-23,01,Andalucía,12195
2020-04-24,01,Andalucía,12449
2020-04-25,01,Andalucía,12774
2020-04-26,01,Andalucía,12972
2020-04-27,01,Andalucía,13108
