cod_ine,CCAA,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24
01,Andalucía,0,0,0,0,0,0,1,6,8,12,12,12,12,12,21,27,34,54,71,90,115,219,269,437,554,683,859,1008,1287,1515,1725,1961,2470,3008,3404,3790,4271,4676,5398,5809,6379,6957,7353,7847,8279,8559,8743,8973,9234,9482,9682,9976,10062,10169,10392,10557,10635,10734,10898,10991,11095,11225,11358,11486,11645,11712,11787,11836,11917,11949,12061,12105,12139,12156,12167,12190,12222,12239,12250,12267,12285,12293,12317,12359,12401,12420,12450,12458,12489,12502,12547,12576,12597,12600
02,Aragón,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,7,30,38,45,64,80,121,147,207,226,281,360,424,532,638,758,907,1116,1338,1592,1858,2078,2272,2491,2700,2889,3078,3232,3347,3449,3549,3685,3831,3969,4070,4187,4245,4338,4411,4489,4551,4608,4654,4684,4761,4833,4867,4922,4955,4985,5004,5042,5091,5116,5136,5164,5188,5207,5231,5258,5274,5291,5316,5336,5359,5372,5389,5432,5456,5478,5503,5520,5551,5588,5618,5627,5646
03,Asturias,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,7,8,10,15,32,37,40,86,123,160,224,269,310,429,524,569,621,754,812,891,960,1037,1143,1206,1295,1367,1435,1504,1573,1627,1681,1702,1729,1774,1822,1865,1949,2001,2030,2089,2110,2163,2186,2203,2213,2220,2230,2241,2245,2249,2261,2263,2269,2284,2295,2310,2311,2313,2315,2316,2322,2330,2338,2344,2346,2350,2352,2356,2357,2364,2366,2366,2370,2373,2374,2374,2376,2377,2397
04,Baleares,1,1,1,1,1,1,1,1,2,2,2,2,5,6,6,6,8,11,13,16,22,28,28,42,73,92,112,169,203,246,331,400,478,562,660,755,862,958,1000,1069,1131,1204,1257,1271,1293,1320,1369,1412,1448,1488,1507,1534,1550,1571,1605,1636,1667,1723,1739,1748,1766,1786,1805,1819,1845,1852,1857,1868,1877,1881,1892,1898,1904,1904,1906,1917,1925,1931,1940,1946,1949,1949,1953,1954,1963,1980,1989,1991,2003,2016,2024,2037,2039,2041
05,Canarias,1,1,1,1,2,5,6,6,6,7,7,7,7,8,11,11,17,22,25,37,51,70,90,109,119,148,181,220,287,348,414,481,557,657,784,878,1025,1125,1204,1262,1380,1444,1490,1564,1622,1649,1725,1762,1834,1858,1887,1918,1944,1958,1975,1988,2009,2035,2047,2067,2085,2094,2113,2140,2155,2167,2178,2187,2202,2205,2206,2212,2221,2225,2231,2231,2235,2240,2250,2258,2260,2268,2271,2275,2280,2284,2289,2294,2294,2300,2307,2312,2321,2322
06,Cantabria,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,12,12,12,12,16,29,31,51,58,58,68,83,144,215,282,347,425,510,671,810,937,1023,1100,1171,1213,1268,1321,1384,1441,1483,1501,1572,1619,1659,1719,1752,1777,1796,1823,1845,1884,1990,1949,1973,1998,2012,2023,2055,2071,2083,2104,2115,2146,2173,2184,2201,2205,2206,2207,2213,2220,2232,2241,2244,2245,2246,2256,2256,2263,2265,2268,2271,2273,2277,2279,2284,2287,2289
08,Castilla La Mancha,0,0,0,0,0,0,0,0,0,1,3,7,12,13,15,15,15,26,39,71,115,194,289,401,567,567,675,801,1044,1423,1819,2078,2465,2780,3383,3934,4512,5246,5858,6424,7047,7682,8523,9324,10031,10602,11077,11788,12489,13063,13456,13698,14054,14329,14680,15151,15997,16349,14588,14725,14936,15053,15128,15365,15509,15609,15664,15706,15785,15832,15910,15967,16017,16050,16080,16144,16184,16237,16278,16343,16387,16431,16453,16470,16513,16587,16618,16648,16677,16739,16789,16830,16855,16889
07,Castilla y León,0,0,0,0,0,0,0,2,2,3,3,8,11,11,14,14,22,23,56,71,92,169,223,292,334,431,668,868,1147,1466,1744,2055,2460,2940,3488,4132,4791,5414,5801,6211,6847,7355,7875,8332,8749,9116,9581,10058,10518,11102,11543,12118,12628,13180,13697,14380,14903,15293,14644,14781,14951,15141,15510,15692,15990,16222,16404,16589,16690,16885,16993,17165,17283,17334,17429,17520,17625,17716,17822,17952,17995,18048,18105,18173,18272,18369,18470,18512,18549,18586,18627,18674,18737,18789
09,Cataluña,0,0,0,0,0,1,2,3,5,6,15,15,15,24,24,24,49,59,82,123,202,349,558,742,1017,1414,1866,2702,3270,4203,5046,5747,7864,9937,11592,12940,14263,15025,16104,18520,19991,21804,23460,24734,26032,26824,28323,29647,31043,31824,32984,34027,34726,35197,36505,37354,38316,39943,40448,41676,43112,43802,44892,45544,46261,46811,47755,48158,48654,48916,49307,49850,50234,50366,50771,50924,51190,51733,51935,52162,54807,55144,55287,55313,55562,55685,55824,55921,55825,55888,55888,57036,57114,57148
18,Ceuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,5,5,6,6,9,10,17,17,21,25,34,51,55,62,73,83,83,83,84,84,91,93,93,95,96,98,98,98,100,100,100,100,100,100,100,100,100,100,100,101,101,101,101,101,101,101,109,109,109,110,110,110,114,114,116,116,116,116,116,117,119,119,124,125,124
