fecha,cod_ine,CCAA,total
2020-04-16,01,Andalucía,10592
2020-04-17,01,Andalucía,10672
2020-04-18,01,Andalucía,10772
2020-04-19,01,Andalucía,10936
2020-04-20,01,Andalucía,11030
2020-04-21,01,Andalucía,11139
2020-04-22,01,Andalucía,11270
2020-04-23,01,Andalucía,11403
2020-04-24,01,Andalucía,11536
2020-04-25,01,Andalucía,11703
2020-04-26,01,Andalucía,11774
2020-04-27,01,Andalucía,11852
2020-04-28,01,Andalucía,11913
2020-04-29,01,Andalucía,12004
2020-04-30,01,Andalucía,12048
2020-04-16,02,Aragón,4411
2020-04-17,02,Aragón,4489
2020-04-18,02,Aragón,4551
2020-04-19,02,Aragón,4608
2020-04-20,02,Aragón,4654
2020-04-21,02,Aragón,4684
2020-04-22,02,Aragón,4761
2020-04-23,02,Aragón,4833
2020-04-24,02,Aragón,4867
2020-04-25,02,Aragón,4922
2020-04-26,02,Aragón,4955
2020-04-27,02,Aragón,4985
2020-04-28,02,Aragón,5004
2020-04-29,02,Aragón,5042
2020-04-30,02,Aragón,5091
2020-04-16,03,Asturias,2081
2020-04-17,03,Asturias,2124
2020-04-18,03,Asturias,2153
2020-04-19,03,Asturias,2172
2020-04-20,03,Asturias,2181
2020-04-21,03,Asturias,2192
2020-04-22,03,Asturias,2218
2020-04-23,03,Asturias,2229
2020-04-24,03,Asturias,2234
2020-04-25,03,Asturias,2238
2020-04-26,03,Asturias,2249
2020-04-27,03,Asturias,2254
2020-04-28,03,Asturias,2255
2020-04-29,03,Asturias,2266
2020-04-30,03,Asturias,2283
2020-04-16,04,Baleares,
2020-04-17,04,Baleares,
2020-04-18,04,Baleares,1724
2020-04-19,04,Baleares,1740
2020-04-20,04,Baleares,1749
2020-04-21,04,Baleares,1767
2020-04-22,04,Baleares,1788
2020-04-23,04,Baleares,1807
2020-04-24,04,Baleares,1821
2020-04-25,04,Baleares,1847
2020-04-26,04,Baleares,1854
2020-04-27,04,Baleares,1859
2020-04-28,04,Baleares,1870
2020-04-29,04,Baleares,1879
2020-04-30,04,Baleares,1883
2020-04-16,05,Canarias,1988
2020-04-17,05,Canarias,2009
2020-04-18,05,Canarias,2035
2020-04-19,05,Canarias,2047
2020-04-20,05,Canarias,2067
2020-04-21,05,Canarias,2085
2020-04-22,05,Canarias,2094
2020-04-23,05,Canarias,2113
2020-04-24,05,Canarias,2140
2020-04-25,05,Canarias,2155
2020-04-26,05,Canarias,2167
2020-04-27,05,Canarias,2178
2020-04-28,05,Canarias,2187
2020-04-29,05,Canarias,2202
2020-04-30,05,Canarias,2205
2020-04-16,06,Cantabria,
2020-04-17,06,Cantabria,
2020-04-18,06,Cantabria,
2020-04-19,06,Cantabria,1949
2020-04-20,06,Cantabria,1973
2020-04-21,06,Cantabria,1998
2020-04-22,06,Cantabria,2012
2020-04-23,06,Cantabria,2023
2020-04-24,06,Cantabria,2084
2020-04-25,06,Cantabria,2071
2020-04-26,06,Cantabria,2083
2020-04-27,06,Cantabria,2104
2020-04-28,06,Cantabria,2115
2020-04-29,06,Cantabria,2146
2020-04-30,06,Cantabria,2173
2020-04-16,08,Castilla-La Mancha,
2020-04-17,08,Castilla-La Mancha,
2020-04-18,08,Castilla-La Mancha,
2020-04-19,08,Castilla-La Mancha,14588
2020-04-20,08,Castilla-La Mancha,14725
2020-04-21,08,Castilla-La Mancha,14936
2020-04-22,08,Castilla-La Mancha,15053
2020-04-23,08,Castilla-La Mancha,15128
2020-04-24,08,Castilla-La Mancha,15365
2020-04-25,08,Castilla-La Mancha,15509
2020-04-26,08,Castilla-La Mancha,15609
2020-04-27,08,Castilla-La Mancha,15664
2020-04-28,08,Castilla-La Mancha,15706
2020-04-29,08,Castilla-La Mancha,15785
