fecha,cod_ine,CCAA,total
2020-03-04,01,Andalucía,1
2020-03-05,01,Andalucía,1
2020-03-06,01,Andalucía,1
2020-03-09,01,Andalucía,1
2020-03-10,01,Andalucía,1
2020-03-11,01,Andalucía,3
2020-03-12,01,Andalucía,4
2020-03-13,01,Andalucía,8
2020-03-16,01,Andalucía,11
2020-03-17,01,Andalucía,13
2020-03-18,01,Andalucía,21
2020-03-19,01,Andalucía,25
2020-03-20,01,Andalucía,38
2020-03-21,01,Andalucía,53
2020-03-22,01,Andalucía,55
2020-03-23,01,Andalucía,77
2020-03-24,01,Andalucía,102
2020-03-25,01,Andalucía,116
2020-03-26,01,Andalucía,134
2020-03-27,01,Andalucía,148
2020-03-28,01,Andalucía,172
2020-03-29,01,Andalucía,201
2020-03-30,01,Andalucía,216
2020-03-31,01,Andalucía,235
2020-04-01,01,Andalucía,260
2020-04-02,01,Andalucía,280
2020-04-03,01,Andalucía,338
2020-04-04,01,Andalucía,364
2020-04-05,01,Andalucía,474
2020-04-06,01,Andalucía,489
2020-04-07,01,Andalucía,499
2020-04-08,01,Andalucía,520
2020-04-09,01,Andalucía,538
2020-04-10,01,Andalucía,582
2020-04-11,01,Andalucía,602
2020-04-12,01,Andalucía,619
2020-04-13,01,Andalucía,621
2020-04-14,01,Andalucía,631
2020-04-15,01,Andalucía,665
2020-04-16,01,Andalucía,671
2020-04-17,01,Andalucía,675
2020-04-18,01,Andalucía,677
2020-04-19,01,Andalucía,687
2020-04-20,01,Andalucía,690
2020-04-21,01,Andalucía,692
2020-04-22,01,Andalucía,696
2020-04-23,01,Andalucía,702
2020-04-24,01,Andalucía,714
2020-04-25,01,Andalucía,717
2020-04-26,01,Andalucía,716
2020-04-27,01,Andalucía,720
2020-04-28,01,Andalucía,721
2020-04-29,01,Andalucía,722
2020-04-30,01,Andalucía,721
2020-03-04,02,Aragón,0
2020-03-05,02,Aragón,1
2020-03-06,02,Aragón,1
2020-03-09,02,Aragón,1
2020-03-10,02,Aragón,3
2020-03-11,02,Aragón,3
2020-03-12,02,Aragón,3
2020-03-13,02,Aragón,3
2020-03-16,02,Aragón,7
2020-03-17,02,Aragón,9
2020-03-18,02,Aragón,9
2020-03-19,02,Aragón,14
2020-03-20,02,Aragón,28
2020-03-21,02,Aragón,33
2020-03-22,02,Aragón,45
2020-03-23,02,Aragón,52
2020-03-24,02,Aragón,66
2020-03-25,02,Aragón,75
2020-03-26,02,Aragón,93
2020-03-27,02,Aragón,114
2020-03-28,02,Aragón,124
2020-03-29,02,Aragón,124
2020-03-30,02,Aragón,156
2020-03-31,02,Aragón,165
2020-04-01,02,Aragón,168
2020-04-02,02,Aragón,178
2020-04-03,02,Aragón,180
2020-04-04,02,Aragón,190
2020-04-05,02,Aragón,233
2020-04-06,02,Aragón,237
2020-04-07,02,Aragón,247
2020-04-08,02,Aragón,255
2020-04-09,02,Aragón,261
2020-04-10,02,Aragón,263
2020-04-11,02,Aragón,266
2020-04-12,02,Aragón,272
2020-04-13,02,Aragón,274
2020-04-14,02,Aragón,280
2020-04-15,02,Aragón,282
2020-04-16,02,Aragón,291
2020-04-17,02,Aragón,240
2020-04-18,02,Aragón,243
2020-04-19,02,Aragón,246
2020-04-20,02,Aragón,248
2020-04-21,02,Aragón,250
2020-04-22,02,Aragón,252
2020-04-23,02,Aragón,253
2020-04-24,02,Aragón,254
2020-04-25,02,Aragón,255
2020-04-26,02,Aragón,257
2020-04-27,02,Aragón,257
2020-04-28,02,Aragón,258
2020-04-29,02,Aragón,258
2020-04-30,02,Aragón,258
2020-03-04,03,Asturias,1
2020-03-05,03,Asturias,2
2020-03-06,03,Asturias,2
2020-03-09,03,Asturias,2
2020-03-10,03,Asturias,2
2020-03-11,03,Asturias,2
2020-03-12,03,Asturias,2
2020-03-13,03,Asturias,2
2020-03-16,03,Asturias,3
2020-03-17,03,Asturias,5
2020-03-18,03,Asturias,5
2020-03-19,03,Asturias,6
2020-03-20,03,Asturias,7
2020-03-21,03,Asturias,12
2020-03-22,03,Asturias,15
2020-03-23,03,Asturias,22
2020-03-24,03,Asturias,23
2020-03-25,03,Asturias,29
2020-03-26,03,Asturias,34
2020-03-27,03,Asturias,47
2020-03-28,03,Asturias,50
2020-03-29,03,Asturias,57
2020-03-30,03,Asturias,60
2020-03-31,03,Asturias,65
2020-04-01,03,Asturias,76
2020-04-02,03,Asturias,79
2020-04-03,03,Asturias,86
2020-04-04,03,Asturias,87
2020-04-05,03,Asturias,90
2020-04-06,03,Asturias,90
2020-04-07,03,Asturias,91
2020-04-08,03,Asturias,91
2020-04-09,03,Asturias,94
2020-04-10,03,Asturias,100
2020-04-11,03,Asturias,105
2020-04-12,03,Asturias,106
2020-04-13,03,Asturias,110
2020-04-14,03,Asturias,111
2020-04-15,03,Asturias,114
2020-04-16,03,Asturias,116
2020-04-17,03,Asturias,118
2020-04-18,03,Asturias,119
2020-04-19,03,Asturias,120
2020-04-20,03,Asturias,122
2020-04-21,03,Asturias,122
2020-04-22,03,Asturias,128
2020-04-23,03,Asturias,130
2020-04-24,03,Asturias,131
2020-04-25,03,Asturias,132
2020-04-26,03,Asturias,134
2020-04-27,03,Asturias,137
2020-04-28,03,Asturias,137
2020-04-29,03,Asturias,137
2020-04-30,03,Asturias,137
2020-03-04,04,Baleares,0
2020-03-05,04,Baleares,0
2020-03-06,04,Baleares,0
2020-03-09,04,Baleares,0
2020-03-10,04,Baleares,1
2020-03-11,04,Baleares,1
2020-03-12,04,Baleares,2
2020-03-13,04,Baleares,2
2020-03-16,04,Baleares,4
2020-03-17,04,Baleares,4
2020-03-18,04,Baleares,4
2020-03-19,04,Baleares,7
2020-03-20,04,Baleares,10
2020-03-21,04,Baleares,14
2020-03-22,04,Baleares,14
2020-03-23,04,Baleares,27
2020-03-24,04,Baleares,35
2020-03-25,04,Baleares,40
2020-03-26,04,Baleares,43
2020-03-27,04,Baleares,46
2020-03-28,04,Baleares,59
2020-03-29,04,Baleares,71
2020-03-30,04,Baleares,80
2020-03-31,04,Baleares,85
2020-04-01,04,Baleares,95
2020-04-02,04,Baleares,105
2020-04-03,04,Baleares,112
2020-04-04,04,Baleares,114
2020-04-05,04,Baleares,120
2020-04-06,04,Baleares,121
2020-04-07,04,Baleares,124
2020-04-08,04,Baleares,129
2020-04-09,04,Baleares,132
2020-04-10,04,Baleares,136
2020-04-11,04,Baleares,137
2020-04-12,04,Baleares,142
2020-04-13,04,Baleares,143
2020-04-14,04,Baleares,145
2020-04-15,04,Baleares,149
2020-04-16,04,Baleares,152
2020-04-17,04,Baleares,152
2020-04-18,04,Baleares,157
2020-04-19,04,Baleares,160
2020-04-20,04,Baleares,161
2020-04-21,04,Baleares,161
2020-04-22,04,Baleares,166
2020-04-23,04,Baleares,167
2020-04-24,04,Baleares,166
2020-04-25,04,Baleares,166
2020-04-26,04,Baleares,166
2020-04-27,04,Baleares,166
2020-04-28,04,Baleares,166
2020-04-29,04,Baleares,166
2020-04-30,04,Baleares,167
2020-03-04,05,Canarias,0
2020-03-05,05,Canarias,0
2020-03-06,05,Canarias,0
2020-03-09,05,Canarias,0
2020-03-10,05,Canarias,1
2020-03-11,05,Canarias,1
2020-03-12,05,Canarias,3
2020-03-13,05,Canarias,2
2020-03-16,05,Canarias,9
2020-03-17,05,Canarias,13
2020-03-18,05,Canarias,17
2020-03-19,05,Canarias,23
2020-03-20,05,Canarias,25
2020-03-21,05,Canarias,29
2020-03-22,05,Canarias,32
2020-03-23,05,Canarias,32
2020-03-24,05,Canarias,36
2020-03-25,05,Canarias,43
2020-03-26,05,Canarias,45
2020-03-27,05,Canarias,61
2020-03-28,05,Canarias,68
2020-03-29,05,Canarias,78
2020-03-30,05,Canarias,84
2020-03-31,05,Canarias,94
2020-04-01,05,Canarias,110
2020-04-02,05,Canarias,113
2020-04-03,05,Canarias,120
2020-04-04,05,Canarias,128
2020-04-05,05,Canarias,129
2020-04-06,05,Canarias,133
2020-04-07,05,Canarias,137
2020-04-08,05,Canarias,138
2020-04-09,05,Canarias,140
2020-04-10,05,Canarias,141
2020-04-11,05,Canarias,144
2020-04-12,05,Canarias,144
2020-04-13,05,Canarias,145
2020-04-14,05,Canarias,147
2020-04-15,05,Canarias,152
2020-04-16,05,Canarias,156
2020-04-17,05,Canarias,159
2020-04-18,05,Canarias,160
2020-04-19,05,Canarias,162
2020-04-20,05,Canarias,163
2020-04-21,05,Canarias,164
2020-04-22,05,Canarias,164
2020-04-23,05,Canarias,169
2020-04-24,05,Canarias,169
2020-04-25,05,Canarias,171
2020-04-26,05,Canarias,171
2020-04-27,05,Canarias,171
2020-04-28,05,Canarias,174
2020-04-29,05,Canarias,176
2020-04-30,05,Canarias,176
2020-03-04,06,Cantabria,0
2020-03-05,06,Cantabria,0
2020-03-06,06,Cantabria,0
2020-03-09,06,Cantabria,0
2020-03-10,06,Cantabria,0
2020-03-11,06,Cantabria,0
2020-03-12,06,Cantabria,0
2020-03-13,06,Cantabria,0
2020-03-16,06,Cantabria,2
2020-03-17,06,Cantabria,2
2020-03-18,06,Cantabria,3
2020-03-19,06,Cantabria,4
2020-03-20,06,Cantabria,7
2020-03-21,06,Cantabria,9
2020-03-22,06,Cantabria,9
2020-03-23,06,Cantabria,14
2020-03-24,06,Cantabria,16
2020-03-25,06,Cantabria,18
2020-03-26,06,Cantabria,26
2020-03-27,06,Cantabria,29
2020-03-28,06,Cantabria,37
2020-03-29,06,Cantabria,40
2020-03-30,06,Cantabria,46
2020-03-31,06,Cantabria,50
2020-04-01,06,Cantabria,54
2020-04-02,06,Cantabria,57
2020-04-03,06,Cantabria,59
2020-04-04,06,Cantabria,60
2020-04-05,06,Cantabria,62
2020-04-06,06,Cantabria,65
2020-04-07,06,Cantabria,66
2020-04-08,06,Cantabria,69
2020-04-09,06,Cantabria,71
2020-04-10,06,Cantabria,73
2020-04-11,06,Cantabria,75
2020-04-12,06,Cantabria,75
2020-04-13,06,Cantabria,75
2020-04-14,06,Cantabria,76
2020-04-15,06,Cantabria,76
2020-04-16,06,Cantabria,77
2020-04-17,06,Cantabria,78
2020-04-18,06,Cantabria,78
2020-04-19,06,Cantabria,78
2020-04-20,06,Cantabria,78
2020-04-21,06,Cantabria,78
2020-04-22,06,Cantabria,78
2020-04-23,06,Cantabria,78
2020-04-24,06,Cantabria,78
2020-04-25,06,Cantabria,78
2020-04-26,06,Cantabria,78
2020-04-27,06,Cantabria,78
2020-04-28,06,Cantabria,78
2020-04-29,06,Cantabria,79
2020-04-30,06,Cantabria,79
2020-03-04,08,Castilla-La Mancha,1
2020-03-05,08,Castilla-La Mancha,1
2020-03-06,08,Castilla-La Mancha,1
2020-03-09,08,Castilla-La Mancha,2
2020-03-10,08,Castilla-La Mancha,2
2020-03-11,08,Castilla-La Mancha,5
2020-03-12,08,Castilla-La Mancha,9
2020-03-13,08,Castilla-La Mancha,10
2020-03-16,08,Castilla-La Mancha,23
2020-03-17,08,Castilla-La Mancha,23
2020-03-18,08,Castilla-La Mancha,29
2020-03-19,08,Castilla-La Mancha,37
2020-03-20,08,Castilla-La Mancha,53
2020-03-21,08,Castilla-La Mancha,65
2020-03-22,08,Castilla-La Mancha,76
2020-03-23,08,Castilla-La Mancha,142
2020-03-24,08,Castilla-La Mancha,182
2020-03-25,08,Castilla-La Mancha,210
2020-03-26,08,Castilla-La Mancha,243
2020-03-27,08,Castilla-La Mancha,273
2020-03-28,08,Castilla-La Mancha,289
2020-03-29,08,Castilla-La Mancha,299
2020-03-30,08,Castilla-La Mancha,302
2020-03-31,08,Castilla-La Mancha,344
2020-04-01,08,Castilla-La Mancha,353
2020-04-02,08,Castilla-La Mancha,355
2020-04-03,08,Castilla-La Mancha,355
2020-04-04,08,Castilla-La Mancha,360
