fecha,cod_ine,municipio_distrito,casos_confirmados_ultimos_14dias,tasa_incidencia_acumulada_ultimos_14dias,casos_confirmados_totales,tasa_incidencia_acumulada_total
2020-05-13,07903,Madrid-Retiro,77,"64,53",1447,"1212,74"
2020-05-13,07904,Madrid-Salamanca,57,"39,01",1609,"1101,27"
2020-05-13,07901,Madrid-Centro,37,"27,44",1139,"844,65"
2020-05-13,07902,Madrid-Arganzuela,54,"35,11",1556,"1011,68"
2020-05-13,07905,Madrid-Chamartín,47,"32,23",1590,"1090,17"
2020-05-13,07906,Madrid-Tetuán,51,"32,27",2087,"1320,69"
2020-05-13,07907,Madrid-Chamberí,56,"40,18",1511,"1084,09"
2020-05-13,07908,Madrid-Fuencarral-El Pardo,93,"37,81",2934,"1192,98"
2020-05-13,07909,Madrid-Moncloa-Aravaca,71,"59,45",1348,"1128,8"
2020-05-13,07910,Madrid-Latina,121,"50,79",2714,"1139,29"
2020-05-13,07911,Madrid-Carabanchel,100,"39,51",2636,"1041,49"
2020-05-13,07912,Madrid-Usera,38,"27,19",1365,"976,81"
2020-05-13,07913,Madrid-Puente de Vallecas,105,"44,71",2993,"1274,39"
2020-05-13,07920,Madrid-San Blas-Canillejas,49,"30,98",1429,"903,62"
2020-05-13,07921,Madrid-Barajas,8,"16,34",419,"856,06"
2020-05-13,07914,Madrid-Moratalaz,34,"35,95",1297,"1371,47"
2020-05-13,07915,Madrid-Ciudad Lineal,56,"25,89",2165,1001
2020-05-13,07916,Madrid-Hortaleza,32,17,1709,"908,14"
2020-05-13,07917,Madrid-Villaverde,49,"32,9",1396,"937,25"
2020-05-13,07918,Madrid-Villa de Vallecas,31,"28,09",1195,"1082,77"
2020-05-13,07919,Madrid-Vicálvaro,40,"55,49",785,"1088,9"
2020-05-13,28115,Pozuelo de Alarcón,32,"37,03",770,"890,98"
2020-05-13,28007,Alcorcón,63,"36,95",1814,"1063,84"
2020-05-13,28096,Navalcarnero,10,"34,13",172,"587,07"
2020-05-13,28129,San Agustín del Guadalix,,"22,42",62,"463,41"
2020-05-13,28127,Las Rozas de Madrid,28,"29,22",769,"802,6"
2020-05-13,28089,Moraleja de Enmedio,,"19,47",25,"486,76"
2020-05-13,28155,Valdaracete,,"164,2",6,"985,22"
2020-05-13,28116,Pozuelo del Rey,,0,,"174,37"
2020-05-13,28118,Puebla de la Sierra,,0,,0
2020-05-13,28110,Perales de Tajuña,,"68,14",10,"340,72"
2020-05-13,28160,Valdemorillo,,"23,97",49,"391,44"
2020-05-13,28094,Navalafuente,,"69,01",7,"483,09"
2020-05-13,28167,Velilla de San Antonio,,"40,86",70,"572,08"
2020-05-13,28176,Villanueva de la Cañada,10,"46,63",145,"676,15"
2020-05-13,28177,Villanueva del Pardillo,7,"40,75",103,"599,53"
2020-05-13,28100,Nuevo Baztán,,0,28,"446,14"
2020-05-13,28175,Villamantilla,,0,7,"485,77"
2020-05-13,28174,Villamanta,,0,12,"469,67"
2020-05-13,28029,Cabanillas de la Sierra,,0,10,"1322,75"
2020-05-13,28037,Cenicientos,,"49,19",26,"1278,9"
