fecha,casos,altas,fallecimientos,ingresos_uci,hospitalizados
2020-02-25,3,,,,
2020-02-26,10,,,,
2020-02-27,16,,,,
2020-02-28,32,,,,
2020-02-29,44,,,,
2020-03-01,66,,,,
2020-03-02,114,,,,
2020-03-03,135,,,,
2020-03-04,198,,1,7,
2020-03-05,237,,3,9,
2020-03-06,365,,5,11,
2020-03-07,430,,8,,
2020-03-08,589,,17,,
2020-03-09,999,23,17,68,
2020-03-10,1622,135,35,100,
2020-03-11,2128,183,47,142,
2020-03-12,2950,189,84,190,
2020-03-13,4209,189,120,272,
2020-03-14,5753,517,136,293,
2020-03-15,7753,517,288,382,
2020-03-16,9191,530,309,432,
2020-03-17,11178,1028,491,563,3215
2020-03-18,13716,1081,598,774,5717
2020-03-19,17147,1107,767,939,
2020-03-20,19980,1585,1002,1141,10542
2020-03-21,24926,2125,1326,1612,13282
2020-03-22,28572,2575,1720,1785,15554
2020-03-23,33089,3355,2182,2355,18374
2020-03-24,39673,3794,2696,2636,22762
2020-03-25,47610,5367,3434,3166,26960
2020-03-26,56188,7015,4089,3679,31912
2020-03-27,64059,9357,4858,4165,36293
2020-03-28,72248,12285,5690,4575,40630
2020-03-29,78797,14709,6528,4907,43397
2020-03-30,85195,16780,7340,5231,46617
2020-03-31,94417,19259,8189,5607,49243
2020-04-01,102136,22647,9053,5872,51418
2020-04-02,110238,26743,10003,6092,54113
2020-04-03,117710,30513,10935,6416,56637
2020-04-04,124736,34219,11744,6532,57612
2020-04-05,130759,38080,12418,6861,58744
2020-04-06,135032,40437,13055,6931,59662
2020-04-07,140510,43208,13798,7069,63093
2020-04-08,146690,48021,14555,,
2020-04-09,152446,52165,15238,,
2020-04-10,157022,55668,15843,,
2020-04-11,161852,59109,16353,,
2020-04-12,166019,62391,16972,,
2020-04-13,169496,64727,17489,,
2020-04-14,172541,67504,18056,,
2020-04-15,177633,70853,18579,,
2020-04-16,182816,74797,19130,,
2020-04-17,188068,72963,19478,,
2020-04-18,191726,74662,20043,,
2020-04-19,195944,77357,20453,,
2020-04-20,200210,80587,20852,,
2020-04-21,204178,82514,21282,,
2020-04-22,208389,85915,21717,,
2020-04-23,213024,89250,22157,,
2020-04-24,219764,92355,22524,,
2020-04-25,223759,95708,22902,,
2020-04-26,226629,98732,23190,,
2020-04-27,229422,100875,23521,,114081
2020-04-28,232128,102548,23822,,114959
2020-04-29,236108,108947,24275,10721,115845
2020-04-30,239369,112050,24543,10776,116661
