,total_primera_ronda,total_porcentaje_primera_ronda,total_IC_95%_minimo_primera_ronda,total_IC_95%_maximo_primera_ronda,total_segunda_ronda,total_porcentaje_segunda_ronda,total_IC_95%_minimo_segunda_ronda,total_IC_95%_maximo_segunda_ronda,total_tercera_ronda,total_porcentaje_tercera_ronda,total_IC_95%_minimo_tercera_ronda,total_IC_95%_maximo_tercera_ronda
Araba/Álava,692,"7,4","5,5","9,9",727,"6,2","4,2","8,8",772,"6,4","4,5","9,1"
Albacete,1058,"11,7","8,8","15,3",1098,"11,5","9,1","14,6",1051,"10,8","8,4","13,8"
Alicante/Alacant,1573,"2,6","1,9","3,6",1671,"3,3","2,4","4,4",1564,"3,0","2,2","4,1"
Almería,986,"1,6","0,8","3,3",946,"2,5","1,5","4,2",901,"3,4","2,3","5,2"
Ávila,667,"6,6","4,6","9,4",677,"8,3","6,5","10,5",661,"8,0","6,1","10,3"
Badajoz,1583,"2,6","1,7","4,1",1599,"2,9","2,0","4,2",1577,"2,7","1,8","4,0"
"Balears, liles",1372,"2,3","1,6","3,5",1344,"1,5","0,9","2,5",1280,"1,4","0,8","2,4"
Barcelona,3696,"7,0","5,7","8,6",3793,"7,4","6,2","8,9",3664,"7,3","6,0","8,8"
Burgos,887,"4,9","3,2","7,5",922,"5,3","3,5","8,1",900,"5,7","3,9","8,4"
Caceres,1201,"3,0","1,8","5,0",1191,"3,9","2,5","6,3",1163,"3,9","2,3","6,6"
Cádiz,1385,"1,6","1,0","2,6",1382,"2,4","1,7","3,4",1324,"2,6","1,8","3,6"
Castellón/Castelló,803,"2,9","1,5","5,8",865,"3,8","2,2","6,5",838,"2,7","1,5","4,8"
Ciudad Real,1163,"10,2","7,9","13,2",1175,"9,7","7,5","12,5",1147,"9,1","7,0","11,7"
Córdoba,1117,"2,6","1,6","4,1",1112,"2,5","1,4","4,3",1087,"2,7","1,6","4,7"
"Coruña, A",1275,"1,8","1,1","2,9",1243,"2,2","1,5","3,2",1208,"1,6","1,1","2,5"
Cuenca,851,"13,2","10,4","16,6",835,"14,8","11,6","18,7",803,"11,4","8,4","15,2"
Girona,905,"2,6","1,8","3,8",991,"3,1","1,9","5,0",1065,"2,7","1,9","3,9"
Granada,1024,"2,8","1,7","4,4",1090,"3,3","2,3","4,8",1050,"3,5","2,3","5,5"
Guadalajara,814,"10,4","7,5","14,3",867,"10,6","8,5","13,0",844,"9,8","7,2","13,3"
Gipuzkoa,951,"2,5","1,4","4,5",1020,"2,6","1,4","4,6",1065,"2,5","1,3","4,5"
Huelva,930,"1,2","0,5","2,7",1006,"1,2","0,6","2,6",962,"1,2","0,5","2,7"
Huesca,733,"4,4","2,3","8,3",707,"4,7","2,5","8,6",678,"5,0","2,7","9,1"
Jaén,1062,"4,0","2,7","5,7",1050,"4,4","2,8","6,8",1022,"4,4","2,9","6,8"
León,886,"6,1","4,0","9,2",935,"5,7","3,5","9,1",934,"6,4","4,0","9,9"
Lleida,710,"3,8","2,4","6,0",831,"3,4","2,2","5,0",815,"2,9","1,8","4,6"
"Rioja, La",1324,"3,4","2,5","4,7",1402,"3,8","2,7","5,2",1356,"3,7","2,8","4,9"
Lugo,813,"2,2","1,1","4,4",790,"2,5","1,4","4,2",766,"1,5","0,7","3,5"
Madrid,3186,"11,3","9,8","13,0",3704,"11,4","9,9","13,0",3732,"11,7","10,3","13,3"
