provincia,total,total_porcentaje,total_IC_95%_minimo,total_IC_95%_maximo,hombres,hombres_porcentaje,hombres_IC_95%_minimo,hombres__IC_95%_maximo,mujeres,mujeres_porcentaje,mujeres_IC_95%_minimo,mujeres__IC_95%_maximo
Araba/Álava,686,"7,2","5,2","9,9",341,"6,9","4,4","10,7",345,"7,5","5,2","10,8"
Albacete,1059,"11,6","8,7","15,2",508,"10,3","7,6","13,8",551,"12,9","9,4","17,4"
Alicante/Alacant,1573,"2,7","2,0","3,6",754,"3,3","2,3","4,7",819,"2,1","1,3","3,4"
Almería,985,"1,8","0,9","3,7",463,"2,6","1,2","5,6",522,"1,0","0,4","2,4"
Ávila,665,"6,9","4,7","10,0",338,"5,6","3,4","9,3",327,"8,1","5,3","12,4"
Badajoz,1585,"2,6","1,7","3,8",794,"2,7","1,6","4,6",791,"2,4","1,5","3,9"
"Balears, liles",1356,"2,4","1,6","3,5",653,"1,9","1,1","3,3",703,"2,8","1,7","4,7"
Barcelona,3693,"7,1","5,9","8,5",1760,"7,3","5,7","9,2",1933,"6,9","5,6","8,4"
Burgos,883,"5,3","3,7","7,7",437,"5,0","2,9","8,4",446,"5,7","3,7","8,5"
Cáceres,1202,"3,7","2,3","5,9",595,"3,0","1,8","4,9",607,"4,4","2,5","7,5"
Cádiz,1382,"1,7","1,1","2,7",658,"1,0","0,5","2,0",724,"2,4","1,4","4,1"
Castellón/Castelló,801,"2,8","1,4","5,7",388,"2,2","0,8","5,9",413,"3,4","1,6","7,1"
Ciudad Real,1162,"11,1","8,3","14,8",566,"9,6","6,7","13,6",596,"12,6","9,4","16,7"
Córdoba,1118,"2,4","1,4","3,9",518,"2,6","1,5","4,5",600,"2,2","1,1","4,2"
"Coruña, A",1275,"1,8","1,2","2,7",583,"1,6","0,8","3,2",692,"1,9","1,1","3,4"
Cuenca,850,"13,5","10,8","16,9",433,"13,6","10,8","17,1",417,"13,5","9,9","18,1"
Girona,904,"2,5","1,7","3,6",437,"2,0","1,1","3,6",467,"3,0","2,0","4,3"
Granada,1007,"2,4","1,4","4,0",463,"2,8","1,5","5,1",544,"2,0","1,0","3,9"
Guadalajara,815,"10,9","8,1","14,4",393,"9,0","5,8","13,7",422,"12,8","9,3","17,4"
Gipuzkoa,950,"2,8","1,7","4,4",463,"2,9","1,6","5,3",487,"2,6","1,5","4,5"
Huelva,929,"1,5","0,7","3,3",432,"1,6","0,6","4,0",497,"1,4","0,6","3,1"
Huesca,732,"4,1","2,2","7,6",346,"4,8","2,4","9,4",386,"3,4","1,4","7,8"
Jaén,1056,"3,6","2,5","5,3",501,"4,0","2,2","7,0",555,"3,3","2,0","5,3"
León,884,"7,0","4,8","10,0",424,"6,2","3,8","9,9",460,"7,8","5,1","11,7"
Lleida,710,"3,7","2,4","5,7",329,"3,9","2,0","7,2",381,"3,5","2,2","5,6"
"Rioja, La",1323,"3,3","2,4","4,4",642,"3,4","2,3","5,1",681,"3,1","2,0","5,0"
Lugo,814,"2,3","1,2","4,2",393,"1,8","0,9","3,4",421,"2,7","1,2","6,0"
Madrid,3185,"11,3","9,8","13,0",1547,"11,3","9,4","13,4",1638,"11,3","9,6","13,3"
Málaga,1463,"4,4","2,9","6,5",695,"4,2","2,8","6,3",768,"4,5","2,8","7,1"
Murcia,1387,"1,4","0,8","2,4",651,"1,3","0,7","2,7",736,"1,5","0,7","3,2"
Navarra,1737,"5,8","4,3","7,6",875,"6,0","4,2","8,6",862,"5,5","3,9","7,7"
Ourense,686,"2,8","1,9","4,2",317,"3,3","1,7","6,4",369,"2,4","1,1","4,8"
Asturias,1545,"1,8","1,3","2,5",713,"1,9","1,1","3,3",832,"1,7","1,2","2,5"
Palencia,740,"6,4","4,7","8,8",366,"5,8","3,9","8,5",374,"7,1","5,1","9,7"
"Palmas, Las",1242,"1,4","0,9","2,2",570,"2,0","1,1","3,5",672,"0,8","0,3","2,0"
Pontevedra,1295,"2,3","1,7","3,0",609,"2,4","1,5","3,9",686,"2,1","1,3","3,6"
Salamanca,807,"7,9","5,5","11,1",386,"9,0","6,1","13,0",421,"6,8","4,3","10,6"
Santa Cruz de Tenerife,1082,"2,1","1,0","4,2",507,"2,0","1,0","4,0",575,"2,1","0,9","4,8"
Cantabria,1504,"3,2","2,1","5,0",731,"2,3","1,4","3,8",773,"4,0","2,4","6,7"
Segovia,539,"12,6","10,1","15,6",264,"10,6","7,4","14,9",275,"14,6","11,4","18,6"
Sevilla,1786,"2,3","1,6","3,5",877,"2,3","1,6","3,4",909,"2,4","1,3","4,2"
Soria,705,"14,2","11,5","17,4",357,"11,5","8,4","15,6",348,"16,9","13,2","21,4"
Tarragona,1011,"1,6","1,0","2,6",492,"2,5","1,5","4,1",519,"0,8","0,3","2,0"
Teruel,685,"3,3","1,7","6,3",345,"2,8","1,4","5,3",340,"3,9","1,9","8,0"
Toledo,1180,"9,3","6,6","12,9",585,"9,1","6,3","12,8",595,"9,5","6,2","14,2"
Valencia/Valéncia,1912,"2,3","1,5","3,5",922,"2,5","1,6","4,1",990,"2,0","1,2","3,4"
Valladolid,1082,"6,0","4,2","8,4",501,"5,2","3,7","7,3",581,"6,8","4,5","10,0"
Bizkaia,1194,"3,9","2,5","5,9",575,"3,2","1,9","5,4",619,"4,5","2,8","7,3"
Zamora,644,"5,9","3,5","10,0",316,"5,6","3,1","10,0",328,"6,3","3,2","11,9"
Zaragoza,1331,"5,3","4,0","7,1",631,"5,5","3,9","7,5",700,"5,2","3,6","7,4"
Ceuta,829,"1,1","0,5","2,3",376,"1,3","0,5","3,3",453,"1,0","0,5","2,1"
Melilla,927,"1,9","1,2","2,9",435,"1,6","0,7","3,9",492,"2,1","1,2","3,7"
