Provincia,total_primera_ronda,total_porcentaje_primera_ronda,total_IC_95%_minimo_primera_ronda,total_IC_95%_maximo_primera_ronda,total_segunda_ronda,total_porcentaje_segunda_ronda,total_IC_95%_minimo_segunda_ronda,total_IC_95%_maximo_segunda_ronda,total_seroconversion_IgG+,porcentaje_seroconversion_IgG+,total_IC_95%_minimo_seroconversion_IgG+,total_IC_95%_maximo_seroconversion_IgG+
Araba/Álava,687,"7,1","5,3","9,5",727,"6,2","4,3","10,7",670,"0,8","0,3","1,9"
Albacete,1060,"11,4","8,6","15,1",1099,"11,6","9,1","13,8",1021,"0,5","0,2","1,3"
Alicante/Alacant,1573,"2,5","1,8","3,6",1671,"3,3","2,4","4,7",1477,"0,9","0,5","1,5"
Almería,985,"2,1","1,0","4,3",946,"2,5","1,5","5,6",907,"0,9","0,4","2,0"
Ávila,665,"6,6","4,8","9,1",676,"8,3","6,5","9,3",627,"2,1","1,3","3,5"
Badajoz,1585,"2,5","1,6","3,8",1599,"2,9","2,0","4,6",1522,"0,7","0,4","1,2"
"Balears, liles",1372,"2,1","1,4","3,2",1327,"1,5","0,9","3,3",1258,"0,7","0,3","1,3"
Barcelona,3700,"6,8","5,5","8,4",3803,"7,4","6,1","9,2",3544,"1,0","0,7","1,4"
Burgos,883,"5,0","3,2","7,7",918,"5,4","3,5","8,4",862,"0,7","0,4","1,6"
Cáceres,1205,"2,9","1,8","4,9",1191,"4,0","2,5","4,9",1141,"1,3","0,8","2,3"
Cádiz,1382,"1,6","1,0","2,6",1379,"2,4","1,7","2,0",1291,"0,9","0,4","2,0"
Castellón/Castelló,804,"2,9","1,4","6,0",867,"3,8","2,2","5,9",773,"0,6","0,2","1,7"
Ciudad Real,1162,"9,9","7,4","13,1",1175,"9,8","7,5","13,6",1112,"0,8","0,4","1,5"
Córdoba,1118,"3,2","1,8","5,3",1111,"2,5","1,4","4,5",1074,"0,5","0,2","1,1"
"Coruña, A",1275,"1,8","1,1","2,8",1243,"2,2","1,5","3,2",1165,"0,5","0,2","1,1"
Cuenca,850,"13,2","10,3","16,8",835,"14,2","11,3","17,1",804,"1,3","0,8","2,1"
Girona,908,"2,4","1,6","3,7",987,"3,1","1,9","3,6",841,"1,3","0,7","2,6"
Granada,1024,"3,3","1,8","5,8",1090,"3,3","2,3","5,1",967,"0,5","0,3","1,1"
Guadalajara,815,"9,9","6,6","14,6",870,"10,5","8,5","13,7",783,"0,8","0,4","1,7"
