NOMBRE,DIRECCION,CIUDAD,PROVINCIA,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO,BOCADILLOS_BEBIDAS_CALIENTES,COMIDA_PREPARADA,DUCHAS
E.S Andamur El Límite,Autovía del Mediterráneo km 565,Huércal-overa,Almería,37.4813499,-1.87195,,,95052 87 90,SI,,
Estación de servicio Axarquia,A-7 en el kilómetro 292,Axarquía,Almería,36.7619941,-3.8884083,Tienda y aseos,,,,,
Restaurante Guadalquivir,Carretera Bailén-Motril,Mengíbar,Jaén,37.9830153,-3.7982928,Regalan bocadillo y una lata,12H - 14H,659 468 828,SI,,
Hotel-Restaurante Yuma La casa del camionero,Aldea de los Rios en la A-4 (salida 280).,,Jaén,38.1937262,-3.6735924,"Parking vigilado. Por ventailla: bocadillos, pan y otros productos",,,SI,,SI
Hostal Restaurante Los Mellizos,la N-IV  en el kilómetro 280,Guarromán,Jaén,38.1938049,-3.6747303,Menús para llevar llamando a un teléfono,,630 068 939,,SI,
Andamur Guarroman,"Polígono industrial de Guadiel, en la N-4 EN EL KILÓMETRO 288",Guadiel,Jaén,38.142865,-3.7253426,Servicio de menu todos los días,10H - 16H,,,SI,
Estación de Servicio BDMED Carboneros,"en la A-4, en el kilómetro 275 en Carboneros",Carboneros,Jaén,38.2282282,-3.6306307,"El restaurante Acebuche ofrece servicio de comida para llevar. Además, regalan una bebida a los transportistas en el Supermercado SUMA, que se encuentra en el mismo área",,,,SI,SI
Hotel Restaurante La Yedra,A 45 km 112 en Antequera,Antequera,Málaga,36.9815329,-4.4617183,,,952 701 497,,SI,
Hotel Restaurante Las Acacias,,,Málaga,36.7220778,-4.371812,Duchas y servicio con cita previa,,952 200 167.,,,SI
Gasolinera Cepsa Cuesta La Palma,"en la A-92, kilómetro 177",Loja,Granada,37.135359,-4.2853995,,,,SI,SI,
Restaurante La Ruta de Peñalba,Carretera N-II Kilómetro 401.800 en Peñalba,Peñalva,Huesca,41.5009061,-0.0309419,,,670 64 54 24,,SI,
Área de Servicio Canuhe,"en la A-23, en el kilómetro 332",,Huesca,41.9920297,-0.6693756,Tienda y aseos,24H,,SI,SI,SI
Estación de servicio Rausán Alfajarín,N-22 en el kilómetro 341,Algajarin,Zaragoza,41.6062768,-0.6940471,Tienda y aseos,24H,,SI,SI,SI
Restaurante El Navarro,"A-2, kilómetro 285",Épila,Zaragoza,41.5392725,-1.24005,Aseos,,,,,SI
Estación de Servicio El Portazgo,"Autovía de Logroño kilómetro 0,300",,Zaragoza,41.66044,-0.9275677,Tienda y aseos,24H,,,,
Estación de servicio Las Ventas 1,"carretera de Logroño en el kilómetro 10,500",,Zaragoza,40.4783104,-3.6831232,Tienda y aseos,24H,,,,
Estación de servicio El Cisne,"A-2, kilómetro 309",,Zaragoza,41.6253321,-1.0122994,Tienda y aseos,24H,,,,
Estación de servicio Aragón,"A-68, en el kilómetro 258",,Zaragoza,40.4783104,-3.6831232,Tienda y aseos. Solicitar llave para duchas,L-S: 6H - 22H | D y FES: 7H-22H,,,,SI
Hotel Restaurante La Jarilla,A-66 Salida 449,Jarilla,Cáceres,40.1883324,-6.0055568,Comidas y cenas llamando a los teléfonos,13H - 15H45 | 20H30 - 22H30,927 47 70 40/ 676 48 40 64/ 626 86 33 96,,SI,
Restaurante Los Olivos,N-630 en el kilómetro 591,,Cáceres,39.1644542,-6.2659978,Menús para llevar llamando a un teléfono,,927 38 40 01/676 73 65 10,,SI,
Repsol El Caldero,A-66 en el kilómetro 494,Malpartida de Plasencia,Cáceres,39.8830539,-6.2781863,,HASTA 22H,,,,SI
Valcarce Aldea del Cano,A-66 salida 576,,Cáceres,39.2899508,-6.3307804,,24H,,SI,,SI
Área de servicio Los Cerrillos,A-5 en el kilómetro 174,,Cáceres,39.8886124,-5.4699783,Menús para llevar,24H,,SI,SI,SI
Estación de Servicio Magna Oil El Nevero,Autovía A-5 salida 403,,Badajoz,38.8937142,-6.9938487,Tiendas y aseos,,,SI,SI,SI
E.S Magna Oil Vía de la Plata,Autovía A-5 salida 342,,Badajoz,38.9210932,-6.3776057,Tiendas y aseos,,,SI,SI,SI
Complejo Leo,A-66 en el kilómetro 630,Monesterio,Badajoz,38.0288374,-6.2216983,Tiendas y aseos,HASTA 20H,,SI,,SI
Catering La Gran Familia,"A-66, kilómetro 657",Villafranca de los Barros,Badajoz,40.4783104,-3.6831232,Café gratuito. Menu del día,,649 641 988,,SI,
Bar Raquel,"N-634 en el kilómetro 209, junto a la A-8 salida 210",Penagos,Cantabria,43.3369553,-3.8318788,Pedidos llamando al teléfono,,699 80 47 57,,,
Restaurante Los Arcos,Barrio La Sota S/N en Hoz de Anero,,Cantabria,43.3913602,-3.6669536,Menús para llevar llamando a un teléfono,,942 50 72 38,,,
Área de Servicio Avia Unquera Restaurante La Corbata,A-8 en la salida 272,Unquera,Cantabria,43.3751718,-4.5034123,Comidas y cenas,,,SI,SI,
Área de Servicio Avia Fombellida,A-67 en la salida 126,Fombellida,Cantabria,42.94011,-4.1244283,Comidas y cenas,,,SI,SI,
Área de Servicio Avia Gornzazo,A-67 en la salida 191,Gornazo,Cantabria,40.4783104,-3.6831232,Comidas y cenas,,,SI,SI,
Estación de Servicio Valcarce Ribaforada,A-68,,Navarra,41.9866092,-1.5330753,Comidas por encargo,,948 81 98 25,,SI,
Andamur Pamplona,"Ciudad del Transporte de Pamplona: Avenida del Este,1.",,Navarra,42.7326504,-1.6154654,,,,,SI,
Restaurante en la gasolinera de Sarasate,la N-240,,Navarra,42.4642481,-1.9818586,Menu 5€,,,SI,SI,SI
Área 177,A-2  en el kilómetro 117,Torremocha del Campo,Guadalajara,40.9752297,-2.6185125,,,,,SI,
Catering Santa Cruz. Área de Servicio Ángel III,A-4 en el kilómetro 217,Santa Cruz de Mudela,Ciudad Real,38.6360533,-3.4728345,Menús para llevar llamando a un teléfono,,926 33 10 17,,SI,
Área de servicio Restaurante La Laguna,"A-43 salida 129, sentido Valencia",Villarrobledo,Albacete,40.4783104,-3.6831232,,,,,SI,
Restaurante 6 Hermanos,"A-31, dirección Madrid en la salida 65",,Albacete,40.4684439,-4.7341502,Café gratuito. Menu del día,13H - 15H30 | 20H - 22H,,,SI,
Área de Servicio la Noguera de Pozo Seco,A-3 en el kilómetro 207,,Cuenca,39.5188367,-1.9531865,,,687 76 52 83,SI,SI,SI
Restaurante Castillejo de Iniesta,"A-3 , salida 224",,Cuenca,39.516561,-1.7558009,Aseos,24H,962 31 21 12,SI,SI,
Área de servicio de Uclés,A-3 en el kilómetro 90,,Cuenca,39.9614996,-2.9290332,Aseos,,617388611,,SI,
Galp Ocaña:,A-4 dirección Madrid-Córdoba en la salida 62,Ocaña,Toledo,39.9341354,-3.4914608,,,,SI,SI,SI
Empres Frigoríficos Sandoval,Polígono Bravo 3-4 en Granda (junto a Central Lechera Asturiana),,Asturias,43.3897497,-5.7823672,Maquina de café y snacks,,,,,SI
Hostal Asturias,"N-630,  en el kilómetro 448. A-66, salida 449",,,40.1875185,-6.0067479,Comidas y cenas,13H - 15H30 | 20H30 - 22H,927 477 05 Whassap 663 968 927,SI,SI,
Alojamiento Pensión Restaurante Cangas de Onis,N-634 en  Pola de Siero,,Asturias,43.3891602,-5.6175175,,,,,,
