NOMBRE,REFERENCIA,DIRECCION,PROVINCIA,CIUDAD,LATITUD,LONGITUD,COMENTARIO,HORARIO,TELEFONO
"AUTO AVION, SA",1,"BIRLOQUE, 86",A Coruña,A Coruña,"43,3420218","-8,4163823",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:15; 15:00-18:30,981177712
"GRAN TALLER E HIJOS, SL",2,"LUGAR BALADO, 37",A Coruña,Ordes,"43,068551","-8,430916",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:00; 15:00-19:00 / S: 09:00-13:00,981680303
"NEUMATICOS RODEX, SL",3,"CALLE TORRES QUEVEDO, 30-31 - POLIGONO INDUSTRIAL DE LA GRELA",A Coruña,A Coruña,"43,354205","-8,425791",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-20:00,629752368
"TALLERES ALTOMOVIL, SL",4,"CALLE CAMINO DEL BOSQUE, S/N - POLIGONO INDUSTRIAL DE LA GRELA",A Coruña,A Coruña,"43,346283","-8,423145",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:00-16:00,981170215
TALLERES BOADO,5,"CALLE FRAY PEDRO PAYO PIÑEIRO, 3",A Coruña,A Coruña,"43,344638","-8,396936",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-20:30,981288820
"ICF COMUNICACIONES, SL",6,"POLIGONO DE BERGONDO, PARCELA A1 NAVE 13",A Coruña,Bergondo,"43,311829","-8,278359",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-14:00,981795271
"TALLERES Y SERVICIOS LA TELVA II, SLU",7,"CALLE LA TELVA, 17 - SIGRAS",A Coruña,Cambre,"43,2977409","-8,360393",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-18:30,981662959
"NEUMATICOS J. SANCHEZ, SL",8,"LUGAR DE SIGÜEIRO, 4-6 - SIGÜEIRO",A Coruña,Santiago de Compostela,"42,9648987","-8,4500532",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:00; 15:00-20:00,981691382
"CASTYROMER, SL",9,"VIA PASTEUR, 11 - POLIGONO DEL TAMBRE",A Coruña,Santiago de Compostela,"42,9099421","-8,5155545",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-15:30,981583522
"TALLERES TAMEBA, SL",10,"CARRETERA PUENTE PASAJE AL BURGO, 37",A Coruña,A Coruña,"43,3299809","-8,3855305",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-14:00,608322230
"MABESOA, SL",11,"CARRETERA NACIONAL VI, KM 582 - SOÑEIRO",A Coruña,Sada,"43,3097089","-8,3169238",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-19:00,981648190
TALLERES MARINEDA,12,"CALLE NEWTON, 25 - POLIGONO INDUSTRIAL DE LA GRELA",A Coruña,A Coruña,"43,3509835","-8,4315496",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-18:30,981256949
TALLERES TAVEINCO,13,"LA TELVA, 3 - SIGRAS",A Coruña,Cambre,"43,2949177","-8,3615026",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-18:30,981661334
"BALLESTAS DEL NOROESTE, SL",14,"ESPIRITU SANTO, 73",A Coruña,Sada,"43,312167","-8,282194",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-19:00,981795280
"TALLERES MUIÑOS Y FARIÑA, SL",15,"CALLE ALTAMIRA, 22 B - ANCEIS",A Coruña,Cambre,"43,2683534","-8,3714606",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:00; 15:30-19:30,981674724
TALLERES BECAR,16,"CALLE TORRES QUEVEDO, 14 - POLIGONO INDUSTRIAL LA GRELA",A Coruña,A Coruña,"43,354357","-8,425452",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-19:30,608581142
MANUEL REY SA BETANZOS,17,"CARRETERA NACIONAL VI, KM 580",A Coruña,Bergondo,"43,305418","-8,272083",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:00; 15:00-19:00,981795626
"TALLERES VARLO, SL",18,"POLIGONO POCOMACO 2ª AVENIDA, 36, PARCELA A2/2",A Coruña,A Coruña,"43,331406","-8,432176",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-19:00,981281250
"NEUMATICOS REYCO RODA, SL",19,"AVENIDA MANUEL PLATAS VARELA, 203C",A Coruña,Arteixo,"43,325075","-8,4775903",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 09:00-13:30; 15:30-19:30,981602257
INTURASA CORUÑA,20,"CALLE ISAAC PERAL, PARCELA 169 - POLIGONO ESPIRITU SANTO",A Coruña,Sada,"43,317287","-8,287758",Taller de Vehículo Industrial abierto para casos de urgencia ,L-V: 08:30-13:30; 15:30-18:30,981649902
