código_web_decide_madrid;codigo_real
3421;1736
3434;3979
3448;4364
3456;3712
3460;5212
3461;2348
3467;3422
3488;4618
3492;4362
3495;4689
3502;137
3519;4506
3530;5000
3552;189
3562;4380
3616;3337
3655;2573
3657;3001
3667;3845
3679;1584
3683;4828
3685;4434
3694;27
3717;4956
3720;4994
3727;2285
3740;4981
3782;5082
3807;4946
3823;2972
3838;4716
3864;4594
3872;4802
3879;4544
3893;5362
3928;3294
3946;5578
3951;1472
4054;5071
4063;5294
4072;942
4132;4347
4169;796
4177;240
4191;5211
4245;633
4258;2642
4299;3844
4302;3837
4316;472
4359;5084
4365;4374
4379;5213
4382;5098
4399;2239
4429;5007
4444;4515
4454;4400
4467;5218
4474;4756
4515;3619
4517;3305
4543;952
4603;3287
4654;1511
4656;4052
4662;4746
4675;3189
4676;3945
4711;4373
4731;5224
4750;1768
4793;665
4796;1605
4826;5042
4847;513
4861;3595
4868;3556
4881;5193
4885;5431
4890;3752
4899;4176
4903;5560
4922;1968
4944;4260
4975;4927
4976;3937
5031;4286
5032;4685
5085;5152
5141;5239
5155;2757
5177;2389
5178;1804
5193;4801
5225;1132
5255;3885
5259;4120
5278;990
5295;659
5336;4403
5376;540
5381;4487
5383;5394
5384;5064
5391;4118
5419;4046
5437;4387
5475;4623
5480;926
5517;1200
5518;4336
5548;3428
5556;4932
5564;5280
5596;4111
5597;4335
5607;2970
5614;3399
5617;3355
5634;3855
5652;4894
5655;4903
5674;1460
5697;1220
5701;5312
5724;3381
5740;4238
5753;3320
5785;1236
5842;3195
5847;3446
5848;4230
5894;4787
5899;4948
5901;343
5909;840
5910;4757
5947;3944
5948;3221
5954;4789
5976;3941
6014;4399
6021;1211
6031;4166
6065;3423
6105;1491
6127;4850
6202;3559
6212;4620
6219;4580
6229;4105
6234;4622
6251;4082
6282;1233
6284;3340
6301;4396
6329;2962
6349;3804
6379;4228
6427;4751
6507;3410
6555;4091
6633;3588
6666;4616
6690;1591
6725;5297
6735;5484
6762;5462
6854;5130
6876;3456
6902;4353
6907;4019
6939;5359
6978;4571
6992;4247
7005;4695
7028;534
7055;5038
7106;4565
7164;3176
7209;4926
7232;4838
7239;1734
7251;4129
7263;4147
7298;4811
7301;4306
7334;1740
7344;3335
7352;2287
7368;835
7385;3957
7409;73
7481;4875
7964;3781
8336;2936
8427;3174
8451;4910
8452;4887
8453;24
8454;558
8455;5079
8457;84
8460;1852
8461;623
